school_id,major_id,year,province,subject_type,min_score,min_rank,plan_count
S001,M00101,2023,北京,物理,599,6108,23
S001,M00101,2024,北京,物理,599,6012,27
S001,M00101,2025,北京,物理,598,6520,13
S001,M00101,2023,北京,历史,600,5674,14
S001,M00101,2024,北京,历史,598,6295,15
S001,M00101,2025,北京,历史,600,5720,10
S001,M00101,2023,广东,物理,591,11004,13
S001,M00101,2024,广东,物理,589,12062,20
S001,M00101,2025,广东,物理,591,10748,17
S001,M00101,2023,广东,历史,591,10748,12
S001,M00101,2024,广东,历史,591,10773,7
S001,M00101,2025,广东,历史,590,11667,27
S001,M00101,2023,江苏,物理,592,9680,12
S001,M00101,2024,江苏,物理,593,9511,21
S001,M00101,2025,江苏,物理,593,8986,5
S001,M00101,2023,江苏,历史,592,9964,8
S001,M00101,2024,江苏,历史,592,9796,17
S001,M00101,2025,江苏,历史,594,8939,17
S001,M00101,2023,四川,物理,592,10238,11
S001,M00101,2024,四川,物理,592,9678,5
S001,M00101,2025,四川,物理,593,9454,27
S001,M00101,2023,四川,历史,592,9880,27
S001,M00101,2024,四川,历史,592,9793,6
S001,M00101,2025,四川,历史,591,10548,26
S001,M00101,2023,湖南,物理,595,8324,4
S001,M00101,2024,湖南,物理,595,8271,6
S001,M00101,2025,湖南,物理,593,9251,20
S001,M00101,2023,湖南,历史,593,9117,18
S001,M00101,2024,湖南,历史,593,9275,12
S001,M00101,2025,湖南,历史,595,8255,13
S001,M00101,2023,河南,物理,589,11975,20
S001,M00101,2024,河南,物理,590,11247,9
S001,M00101,2025,河南,物理,589,12552,3
S001,M00101,2023,河南,历史,590,11580,5
S001,M00101,2024,河南,历史,590,11318,28
S001,M00101,2025,河南,历史,591,11136,5
S001,M00102,2023,北京,历史,600,5541,13
S001,M00102,2024,北京,历史,600,5503,29
S001,M00102,2025,北京,历史,600,5536,16
S001,M00102,2023,广东,历史,596,7547,8
S001,M00102,2024,广东,历史,595,7787,25
S001,M00102,2025,广东,历史,594,8436,13
S001,M00102,2023,江苏,历史,595,8318,8
S001,M00102,2024,江苏,历史,595,8305,10
S001,M00102,2025,江苏,历史,595,8257,18
S001,M00102,2023,四川,历史,596,7459,5
S001,M00102,2024,四川,历史,597,7081,13
S001,M00102,2025,四川,历史,595,7933,28
S001,M00102,2023,湖南,历史,592,9680,9
S001,M00102,2024,湖南,历史,592,10268,20
S001,M00102,2025,湖南,历史,593,9270,12
S001,M00102,2023,河南,历史,597,7040,3
S001,M00102,2024,河南,历史,598,6564,7
S001,M00102,2025,河南,历史,597,6759,17
S001,M00103,2023,北京,历史,598,6643,10
S001,M00103,2024,北京,历史,599,6231,20
S001,M00103,2025,北京,历史,598,6694,11
S001,M00103,2023,广东,历史,592,10068,11
S001,M00103,2024,广东,历史,591,10383,13
S001,M00103,2025,广东,历史,591,10869,14
S001,M00103,2023,江苏,历史,591,10512,11
S001,M00103,2024,江苏,历史,590,11575,2
S001,M00103,2025,江苏,历史,592,10066,14
S001,M00103,2023,四川,历史,593,9503,26
S001,M00103,2024,四川,历史,592,9880,26
S001,M00103,2025,四川,历史,592,9969,29
S001,M00103,2023,湖南,历史,592,10357,25
S001,M00103,2024,湖南,历史,591,10379,3
S001,M00103,2025,湖南,历史,592,9956,21
S001,M00103,2023,河南,历史,590,11450,26
S001,M00103,2024,河南,历史,591,10986,8
S001,M00103,2025,河南,历史,590,11879,10
S001,M00104,2023,北京,物理,601,5413,27
S001,M00104,2024,北京,物理,599,6094,23
S001,M00104,2025,北京,物理,599,5910,6
S001,M00104,2023,广东,物理,595,7795,2
S001,M00104,2024,广东,物理,595,8267,11
S001,M00104,2025,广东,物理,594,8811,15
S001,M00104,2023,江苏,物理,592,10106,11
S001,M00104,2024,江苏,物理,591,11043,12
S001,M00104,2025,江苏,物理,592,10090,23
S001,M00104,2023,四川,物理,592,10183,17
S001,M00104,2024,四川,物理,591,10697,28
S001,M00104,2025,四川,物理,591,11021,25
S001,M00104,2023,湖南,物理,591,10601,29
S001,M00104,2024,湖南,物理,592,9840,21
S001,M00104,2025,湖南,物理,592,9830,11
S001,M00104,2023,河南,物理,596,7538,27
S001,M00104,2024,河南,物理,596,7580,30
S001,M00104,2025,河南,物理,597,6908,8
S001,M00105,2023,北京,历史,600,5442,27
S001,M00105,2024,北京,历史,600,5506,28
S001,M00105,2025,北京,历史,601,5300,24
S001,M00105,2023,广东,历史,594,8780,5
S001,M00105,2024,广东,历史,593,9122,26
S001,M00105,2025,广东,历史,592,10178,14
S001,M00105,2023,江苏,历史,594,8395,26
S001,M00105,2024,江苏,历史,596,7614,6
S001,M00105,2025,江苏,历史,594,8632,14
S001,M00105,2023,四川,历史,592,10026,5
S001,M00105,2024,四川,历史,592,10082,13
S001,M00105,2025,四川,历史,592,9831,14
S001,M00105,2023,湖南,历史,598,6645,3
S001,M00105,2024,湖南,历史,597,6792,26
S001,M00105,2025,湖南,历史,597,7063,29
S001,M00105,2023,河南,历史,594,8412,16
S001,M00105,2024,河南,历史,594,8806,11
S001,M00105,2025,河南,历史,593,9253,10
S001,M00106,2023,北京,物理,598,6726,15
S001,M00106,2024,北京,物理,599,6073,17
S001,M00106,2025,北京,物理,599,6127,27
S001,M00106,2023,北京,历史,597,6760,9
S001,M00106,2024,北京,历史,598,6653,22
S001,M00106,2025,北京,历史,599,6124,4
S001,M00106,2023,广东,物理,593,9159,6
S001,M00106,2024,广东,物理,591,10697,30
S001,M00106,2025,广东,物理,592,10324,8
