province,subject_type,year,benke,tekong
北京,综合,2026,429,521
上海,综合,2026,403,504
天津,综合,2026,458,547
山东,综合,2026,442,525
浙江,综合,2026,494,594
海南,综合,2026,480,568
河北,物理,2026,443,510
河北,历史,2026,485,542
江苏,物理,2026,456,513
江苏,历史,2026,484,532
福建,物理,2026,446,528
福建,历史,2026,458,533
重庆,物理,2026,406,496
重庆,历史,2026,415,510
辽宁,物理,2026,344,508
辽宁,历史,2026,442,527
黑龙江,物理,2026,340,464
黑龙江,历史,2026,385,466
广东,物理,2026,425,539
广东,历史,2026,440,546
内蒙古,物理,2026,363,488
内蒙古,历史,2026,403,512
河南,物理,2026,419,513
河南,历史,2026,459,534
四川,物理,2026,435,519
四川,历史,2026,455,525
湖北,物理,2026,435,529
湖北,历史,2026,443,532
安徽,物理,2026,344,508
安徽,历史,2026,442,527
云南,物理,2026,435,505
云南,历史,2026,465,545
湖南,物理,2026,400,481
湖南,历史,2026,446,494
江西,物理,2026,412,505
江西,历史,2026,479,535
宁夏,物理,2026,360,437
宁夏,历史,2026,393,474
吉林,物理,2026,321,473
吉林,历史,2026,343,478
贵州,物理,2026,393,494
贵州,历史,2026,439,503
山西,物理,2026,401,524
山西,历史,2026,409,538
广西,物理,2026,368,510
广西,历史,2026,398,520
陕西,物理,2026,376,451
陕西,历史,2026,385,462
甘肃,物理,2026,367,477
甘肃,历史,2026,405,508
青海,物理,2026,344,417
青海,历史,2026,376,427
新疆,物理,2026,304,468
新疆,历史,2026,315,451
