id,name,category,school_id,riasec_code,heat,employment_rate,intro,core_courses,career_paths,industry_outlook,suits
D918_13789ce5,医学检验技术,医学,D918,IS,50.0,0.85,,,,,
D918_a9cc3c82,护理,医学,D918,IS,50.0,0.85,,,,,
E612_a0eed8ba,酒店管理与数字化运营,管理学,E612,EC,50.0,0.85,,,,,
E612_587a3e69,跨境电子商务,管理学,E612,EC,50.0,0.85,,,,,
E612_25826e66,软件技术,工学,E612,RI,50.0,0.85,,,,,
E612_5f81dfe7,人力资源管理,管理学,E612,EC,50.0,0.85,,,,,
E612_7bb5cdfb,融媒体技术与运营,工学,E612,RI,50.0,0.85,,,,,
E612_859b5b98,市场营销,管理学,E612,EC,50.0,0.85,,,,,
E612_b2c69533,空中乘务,工学,E612,RI,50.0,0.85,,,,,
E612_76b07ba9,民航空中安全保卫,工学,E612,RI,50.0,0.85,,,,,
E612_ed875a16,计算机应用技术,工学,E612,RI,50.0,0.85,,,,,
C717_a729efdb,宠物养护与驯导,工学,C717,RI,50.0,0.85,,,,,
C717_9827507d,应用英语,文学,C717,AS,50.0,0.85,,,,,
C717_9fd779fd,大数据与会计,管理学,C717,EC,50.0,0.85,,,,,
C717_ed875a16,计算机应用技术,工学,C717,RI,50.0,0.85,,,,,
C717_46129690,电子商务,管理学,C717,EC,50.0,0.85,,,,,
C717_e62376d6,旅游管理,管理学,C717,EC,50.0,0.85,,,,,
C717_aa7301ca,烹饪工艺与营养,工学,C717,RI,50.0,0.85,,,,,
C717_12431835,高速铁路客运服务,工学,C717,RI,50.0,0.85,,,,,
C717_859b5b98,市场营销,管理学,C717,EC,50.0,0.85,,,,,
C717_5ea08cb5,智慧健康养老服务与管理,管理学,C717,EC,50.0,0.85,,,,,
C717_69b2c5f6,新能源汽车技术,工学,C717,RI,50.0,0.85,,,,,
C717_8eb4c300,建筑工程技术,工学,C717,RI,50.0,0.85,,,,,
C717_a075fcbd,现代物流管理,管理学,C717,EC,50.0,0.85,,,,,
C717_b2c69533,空中乘务,工学,C717,RI,50.0,0.85,,,,,
D892_3e090082,法学,法学,D892,SE,50.0,0.85,,,,,
D892_2782407f,汉语言文学,文学,D892,AS,50.0,0.85,,,,,
D892_65072ce5,国际经济与贸易,经济学,D892,IE,50.0,0.85,,,,,
D892_e62376d6,旅游管理,管理学,D892,EC,50.0,0.85,,,,,
D892_0f68690e,投资学,经济学,D892,IE,50.0,0.85,,,,,
D892_b122dd9c,时尚传播,文学,D892,AS,50.0,0.85,,,,,
D892_0bbd8357,俄语,文学,D892,AS,50.0,0.85,,,,,
D892_26a3eadd,艺术管理,艺术学,D892,AE,50.0,0.85,,,,,
D892_635cbd00,数字经济,经济学,D892,IE,50.0,0.85,,,,,
D892_d36cf31a,金融科技,经济学,D892,IE,50.0,0.85,,,,,
D892_354caa4f,区块链工程,工学,D892,RI,50.0,0.85,,,,,
E893_a9cc3c82,护理,医学,E893,IS,50.0,0.85,,,,,
E893_5ea08cb5,智慧健康养老服务与管理,管理学,E893,EC,50.0,0.85,,,,,
E893_2fbccc83,现代家政服务与管理,管理学,E893,EC,50.0,0.85,,,,,
E893_261e385b,口腔卫生保健,医学,E893,IS,50.0,0.85,,,,,
E893_5feb07ba,健康大数据管理与服务,管理学,E893,EC,50.0,0.85,,,,,
E893_0793ba58,康复治疗技术,医学,E893,IS,50.0,0.85,,,,,
E893_56965743,医学美容技术,医学,E893,IS,50.0,0.85,,,,,
E893_13789ce5,医学检验技术,医学,E893,IS,50.0,0.85,,,,,
E893_900f2b74,中医康复技术,医学,E893,IS,50.0,0.85,,,,,
E893_c89c522f,药学,医学,E893,IS,50.0,0.85,,,,,
E893_6f55c7aa,助产,工学,E893,RI,50.0,0.85,,,,,
E893_0b31530d,药品经营与管理,管理学,E893,EC,50.0,0.85,,,,,
E236_9fd779fd,大数据与会计,管理学,E236,EC,50.0,0.85,,,,,
E236_e62376d6,旅游管理,管理学,E236,EC,50.0,0.85,,,,,
E236_69b2c5f6,新能源汽车技术,工学,E236,RI,50.0,0.85,,,,,
E236_a9cc3c82,护理,医学,E236,IS,50.0,0.85,,,,,
E236_a0eed8ba,酒店管理与数字化运营,管理学,E236,EC,50.0,0.85,,,,,
E236_4104bd41,会展策划与管理,管理学,E236,EC,50.0,0.85,,,,,
E236_9ffd0c61,国际邮轮乘务管理,管理学,E236,EC,50.0,0.85,,,,,
D931_69b2c5f6,新能源汽车技术,工学,D931,RI,50.0,0.85,,,,,
D931_587a3e69,跨境电子商务,管理学,D931,EC,50.0,0.85,,,,,
D931_14c7ff7d,机场运行服务与管理,管理学,D931,EC,50.0,0.85,,,,,
D931_83753c3d,航空发动机维修技术,工学,D931,RI,50.0,0.85,,,,,
D931_82ba2f97,航海技术,工学,D931,RI,50.0,0.85,,,,,
D931_7b148273,民航安全技术管理,管理学,D931,EC,50.0,0.85,,,,,
D931_76b07ba9,民航空中安全保卫,工学,D931,RI,50.0,0.85,,,,,
D931_bd299fd9,网络营销与直播电商,工学,D931,RI,50.0,0.85,,,,,
D931_5edc3804,大数据与财务管理,管理学,D931,EC,50.0,0.85,,,,,
D931_e62376d6,旅游管理,管理学,D931,EC,50.0,0.85,,,,,
D931_41c06279,无人机应用技术,工学,D931,RI,50.0,0.85,,,,,
D931_9ffd0c61,国际邮轮乘务管理,管理学,D931,EC,50.0,0.85,,,,,
D931_7da91de9,航空物流管理,管理学,D931,EC,50.0,0.85,,,,,
D931_b2c69533,空中乘务,工学,D931,RI,50.0,0.85,,,,,
D931_859b5b98,市场营销,管理学,D931,EC,50.0,0.85,,,,,
D931_12431835,高速铁路客运服务,工学,D931,RI,50.0,0.85,,,,,
D931_1a35bacf,茶艺与茶文化,工学,D931,RI,50.0,0.85,,,,,
D931_35c26cb4,应用俄语,文学,D931,AS,50.0,0.85,,,,,
D931_d0435f11,飞机机电设备维修,工学,D931,RI,50.0,0.85,,,,,
B075_2c7dc49e,电气工程及其自动化,工学,B075,RI,50.0,0.85,,,,,
B075_b3956f6b,智能电网信息工程,工学,B075,RI,50.0,0.85,,,,,
B075_9aaf36a4,机械设计制造及其自动化,艺术学,B075,AE,50.0,0.85,,,,,
B075_afe1eaff,数据科学与大数据技术,理学,B075,IR,50.0,0.85,,,,,
B075_93824d33,通信工程,工学,B075,RI,50.0,0.85,,,,,
B075_49e833b7,医学影像学,医学,B075,IS,50.0,0.85,,,,,
B075_6160840f,水利水电工程,工学,B075,RI,50.0,0.85,,,,,
B075_f25bb6a7,光电信息科学与工程,理学,B075,IR,50.0,0.85,,,,,
B075_db068082,能源与动力工程,工学,B075,RI,50.0,0.85,,,,,
B075_24b7d9f3,储能科学与工程,理学,B075,IR,50.0,0.85,,,,,
B075_5f2ebb4c,临床医学,医学,B075,IS,50.0,0.85,,,,,
B075_6cc4a66e,中医学,医学,B075,IS,50.0,0.85,,,,,
B075_eba295c9,核工程与核技术,工学,B075,RI,50.0,0.85,,,,,
B075_76b7a70a,智能制造工程,工学,B075,RI,50.0,0.85,,,,,
B075_e4f6285f,材料成型及控制工程,工学,B075,RI,50.0,0.85,,,,,
B075_7358a7db,新能源材料与器件,工学,B075,RI,50.0,0.85,,,,,
B075_9bd3c246,物理学,理学,B075,IR,50.0,0.85,,,,,
B075_67f60883,港口航道与海岸工程,工学,B075,RI,50.0,0.85,,,,,
B075_bf991b45,数学与应用数学,理学,B075,IR,50.0,0.85,,,,,
B075_aa3f7342,英语,文学,B075,AS,50.0,0.85,,,,,
B075_5f81dfe7,人力资源管理,管理学,B075,EC,50.0,0.85,,,,,
B075_49935f0b,供应链管理,管理学,B075,EC,50.0,0.85,,,,,
B075_3cdf4106,地质工程,理学,B075,IR,50.0,0.85,,,,,
B075_13fefbb8,药学,医学,B075,IS,50.0,0.85,,,,,
B075_83b0ada5,城乡规划,工学,B075,RI,50.0,0.85,,,,,
B075_ef03e947,制药工程,工学,B075,RI,50.0,0.85,,,,,
B075_d6fb2099,建筑学,工学,B075,RI,50.0,0.85,,,,,
B075_0f68690e,投资学,经济学,B075,IE,50.0,0.85,,,,,
B075_00b3121e,工程管理,管理学,B075,EC,50.0,0.85,,,,,
B075_c9d36cc2,化学工程与工艺,理学,B075,IR,50.0,0.85,,,,,
B075_4818f88c,护理学,医学,B075,IS,50.0,0.85,,,,,
B075_dd53ad73,生物工程,工学,B075,RI,50.0,0.85,,,,,
B075_79534ba3,化学,理学,B075,IR,50.0,0.85,,,,,
B075_db8cb124,生物科学,理学,B075,IR,50.0,0.85,,,,,
B075_49ba25b1,土木工程,工学,B075,RI,50.0,0.85,,,,,
D236_3e090082,法学,法学,D236,SE,50.0,0.85,,,,,
D236_5f2ebb4c,临床医学,医学,D236,IS,50.0,0.85,,,,,
D236_6160840f,水利水电工程,工学,D236,RI,50.0,0.85,,,,,
D236_2c7dc49e,电气工程及其自动化,工学,D236,RI,50.0,0.85,,,,,
D236_9fd779fd,大数据与会计,管理学,D236,EC,50.0,0.85,,,,,
D236_6ce5acd1,发电厂及电力系统,工学,D236,RI,50.0,0.85,,,,,
D236_94275a41,水利水电建筑工程,工学,D236,RI,50.0,0.85,,,,,
D236_d90e2085,输配电工程技术,工学,D236,RI,50.0,0.85,,,,,
