id,name,province,city,level,type,tags
S001,清华大学,北京,北京,985,综合,985|综合|双一流
S002,北京大学,北京,北京,985,综合,985|综合|双一流
S003,北京航空航天大学,北京,北京,985,理工,985|理工|双一流
S004,北京理工大学,北京,北京,985,理工,985|理工|双一流
S005,北京师范大学,北京,北京,985,师范,985|师范|双一流
S006,中国人民大学,北京,北京,985,综合,985|综合|双一流
S007,复旦大学,上海,上海,985,综合,985|综合|双一流
S008,上海交通大学,上海,上海,985,综合,985|综合|双一流
S009,同济大学,上海,上海,985,理工,985|理工|双一流
S010,华东师范大学,上海,上海,985,师范,985|师范|双一流
S011,上海财经大学,上海,上海,211,财经,211|财经
S012,中山大学,广东,广州,985,综合,985|综合|双一流
S013,华南理工大学,广东,广州,985,理工,985|理工|双一流
S014,深圳大学,广东,深圳,普通,综合,普通|综合
S015,南京大学,江苏,南京,985,综合,985|综合|双一流
S016,东南大学,江苏,南京,985,理工,985|理工|双一流
S017,南京航空航天大学,江苏,南京,211,理工,211|理工
S018,南京师范大学,江苏,南京,211,师范,211|师范
S019,四川大学,四川,成都,985,综合,985|综合|双一流
S020,电子科技大学,四川,成都,985,理工,985|理工|双一流
S021,西南财经大学,四川,成都,211,财经,211|财经
S022,中南大学,湖南,长沙,985,综合,985|综合|双一流
S023,湖南大学,湖南,长沙,985,综合,985|综合|双一流
S024,湖南师范大学,湖南,长沙,211,师范,211|师范
S025,武汉大学,湖北,武汉,985,综合,985|综合|双一流
S026,华中科技大学,湖北,武汉,985,理工,985|理工|双一流
S027,华中师范大学,湖北,武汉,211,师范,211|师范
S028,西安交通大学,陕西,西安,985,综合,985|综合|双一流
S029,西北工业大学,陕西,西安,985,理工,985|理工|双一流
S030,西安电子科技大学,陕西,西安,211,理工,211|理工
S031,哈尔滨工业大学,黑龙江,哈尔滨,985,理工,985|理工|双一流
S032,浙江大学,浙江,杭州,985,综合,985|综合|双一流
S033,中国科学技术大学,安徽,合肥,985,理工,985|理工|双一流
S034,天津大学,天津,天津,985,理工,985|理工|双一流
S035,南开大学,天津,天津,985,综合,985|综合|双一流
S036,山东大学,山东,济南,985,综合,985|综合|双一流
S037,重庆大学,重庆,重庆,985,综合,985|综合|双一流
S038,郑州大学,河南,郑州,211,综合,211|综合
S039,兰州大学,甘肃,兰州,985,综合,985|综合|双一流
S040,大连理工大学,辽宁,大连,985,理工,985|理工|双一流
S041,南宁工程学院,广西,南宁,普通,理工,普通|理工
S042,苏州师范学院,江苏,苏州,普通,理工,普通|理工
S043,昆明工商学院,云南,昆明,普通,师范,普通|师范
S044,浙江工商大学,浙江,宁波,双一流,综合,双一流|综合
S045,浙江工商大学,浙江,宁波,双一流,财经,双一流|财经
S046,长春医科学院,吉林,长春,普通,理工,普通|理工
S047,长春工商学院,吉林,长春,普通,综合,普通|综合
S048,南昌师范学院,江西,南昌,普通,师范,普通|师范
S049,福建师范大学,福建,厦门,211,师范,211|师范
S050,江苏科技大学,江苏,徐州,双一流,财经,双一流|财经
S051,昆明工商学院,云南,昆明,普通,综合,普通|综合
S052,宁波师范学院,浙江,宁波,普通,财经,普通|财经
S053,太原师范学院,山西,太原,普通,师范,普通|师范
S054,太原医科学院,山西,太原,普通,综合,普通|综合
S055,昆明工程学院,云南,昆明,普通,财经,普通|财经
S056,太原理工学院,山西,太原,普通,财经,普通|财经
S057,山东理工大学,山东,青岛,211,财经,211|财经
S058,河北科技大学,河北,石家庄,双一流,师范,双一流|师范
S059,厦门科技学院,福建,厦门,普通,师范,普通|师范
S060,青岛理工学院,山东,青岛,普通,综合,普通|综合
S061,辽宁师范大学,辽宁,沈阳,双一流,财经,双一流|财经
S062,无锡师范学院,江苏,无锡,普通,医科,普通|医科
S063,太原财经学院,山西,太原,普通,理工,普通|理工
S064,苏州师范学院,江苏,苏州,普通,师范,普通|师范
S065,石家庄工程学院,河北,石家庄,普通,理工,普通|理工
S066,贵州理工大学,贵州,贵阳,211,师范,211|师范
S067,贵州医科大学,贵州,贵阳,双一流,财经,双一流|财经
S068,江苏理工大学,江苏,无锡,双一流,综合,双一流|综合
S069,云南工程大学,云南,昆明,211,师范,211|师范
S070,江苏科技大学,江苏,无锡,211,综合,211|综合
S071,福建医科大学,福建,福州,双一流,财经,双一流|财经
S072,厦门师范学院,福建,厦门,普通,综合,普通|综合
S073,福州医科学院,福建,福州,普通,师范,普通|师范
S074,南昌工程学院,江西,南昌,普通,综合,普通|综合
S075,徐州医科学院,江苏,徐州,普通,师范,普通|师范
S076,长春科技学院,吉林,长春,普通,财经,普通|财经
S077,苏州医科学院,江苏,苏州,普通,财经,普通|财经
S078,贵州理工大学,贵州,贵阳,双一流,医科,双一流|医科
S079,南昌工程学院,江西,南昌,普通,师范,普通|师范
S080,南昌医科学院,江西,南昌,普通,师范,普通|师范
S081,石家庄科技学院,河北,石家庄,普通,财经,普通|财经
S082,南宁师范学院,广西,南宁,普通,师范,普通|师范
S083,宁波理工学院,浙江,宁波,普通,医科,普通|医科
S084,沈阳工程学院,辽宁,沈阳,普通,医科,普通|医科
S085,太原财经学院,山西,太原,普通,综合,普通|综合
S086,贵阳医科学院,贵州,贵阳,普通,综合,普通|综合
S087,山东理工大学,山东,青岛,211,理工,211|理工
S088,江西理工大学,江西,南昌,双一流,财经,双一流|财经
S089,厦门工商学院,福建,厦门,普通,师范,普通|师范
S090,南宁师范学院,广西,南宁,普通,理工,普通|理工
S091,福建理工大学,福建,福州,211,师范,211|师范
S092,石家庄工商学院,河北,石家庄,普通,理工,普通|理工
S093,福建工商大学,福建,福州,双一流,财经,双一流|财经
S094,福州理工学院,福建,福州,普通,财经,普通|财经
S095,山东理工大学,山东,青岛,双一流,师范,双一流|师范
S096,辽宁财经大学,辽宁,沈阳,双一流,师范,双一流|师范
S097,福建师范大学,福建,厦门,双一流,综合,双一流|综合
S098,辽宁师范大学,辽宁,沈阳,211,理工,211|理工
S099,河北医科大学,河北,石家庄,211,财经,211|财经
S100,徐州理工学院,江苏,徐州,普通,综合,普通|综合
