score,rank
403,51853
404,51636
406,51238
407,51045
408,50831
409,50613
410,50400
411,50214
412,49989
413,49783
414,49553
415,49333
416,49104
417,48872
418,48656
419,48421
420,48200
422,47720
423,47467
424,47237
425,47021
426,46776
427,46540
428,46289
429,46049
430,45752
431,45490
432,45228
433,44950
434,44659
435,44393
436,44140
437,43857
438,43572
439,43317
440,43047
441,42770
442,42490
444,41950
445,41660
446,41359
447,41104
448,40843
449,40546
450,40236
451,39959
452,39676
453,39380
454,39095
455,38809
456,38511
457,38189
458,37885
459,37625
460,37348
461,37047
463,36432
464,36139
465,35824
466,35520
467,35222
468,34937
469,34621
470,34302
471,34003
472,33695
473,33371
474,33030
475,32714
476,32397
477,32095
479,31478
480,31172
481,30885
482,30567
483,30252
484,29944
485,29657
486,29350
487,29015
488,28682
489,28369
490,28062
491,27734
492,27414
493,27132
494,26835
495,26517
496,26219
497,25915
498,25581
499,25275
501,24671
502,24293
503,23965
504,23633
505,23262
506,22975
507,22645
508,22324
509,21998
510,21697
511,21405
512,21071
513,20749
514,20410
515,20098
516,19781
517,19456
518,19151
520,18521
521,18230
522,17903
523,17585
524,17276
525,16978
526,16661
527,16358
528,16087
529,15801
530,15521
531,15204
532,14891
533,14580
534,14281
536,13677
537,13394
538,13066
539,12779
540,12508
541,12206
542,11898
543,11601
544,11310
545,11015
546,10731
547,10453
548,10172
549,9911
550,9637
551,9381
552,9092
553,8821
554,8553
555,8309
556,8062
558,7604
559,7373
560,7131
561,6888
562,6648
563,6419
564,6183
565,5962
566,5753
567,5517
568,5330
569,5122
570,4886
571,4682
572,4460
573,4277
574,4069
575,3891
576,3708
577,3521
578,3338
579,3163
580,2980
581,2819
583,2495
584,2329
585,2175
586,2041
587,1909
588,1786
589,1667
590,1554
591,1442
592,1321
593,1197
594,1108
595,1006
596,909
597,835
598,754
599,681
600,626
601,563
602,486
603,427
605,325
606,285
607,249
608,219
609,193
610,159
611,140
612,125
613,109
614,91
615,67
616,58
