score,rank
180,112406
181,112405
182,112404
183,112400
184,112397
185,112396
186,112395
187,112395
188,112392
189,112391
190,112389
191,112389
192,112388
193,112385
194,112384
195,112381
196,112378
197,112376
198,112373
199,112365
200,112361
201,112361
202,112357
203,112350
204,112349
205,112348
206,112343
207,112335
208,112332
209,112327
210,112323
211,112315
212,112309
213,112306
214,112301
215,112295
216,112288
217,112279
218,112273
219,112261
220,112254
221,112242
222,112237
223,112229
224,112224
225,112216
226,112208
227,112202
228,112196
229,112185
230,112180
231,112166
232,112156
233,112147
234,112137
235,112122
236,112106
237,112096
238,112082
239,112071
240,112058
241,112042
242,112025
243,112008
244,111983
245,111966
246,111949
247,111930
248,111906
249,111882
250,111845
251,111806
252,111775
253,111751
254,111720
255,111690
256,111663
257,111627
258,111585
259,111553
260,111515
261,111454
262,111409
263,111369
264,111324
265,111277
266,111222
267,111164
268,111094
269,111044
270,110983
271,110933
272,110873
273,110802
274,110726
275,110667
276,110593
277,110503
278,110434
279,110347
280,110266
281,110188
282,110076
283,109970
284,109861
285,109776
286,109699
287,109606
288,109497
289,109395
290,109272
291,109169
292,109051
293,108928
294,108813
295,108696
296,108571
297,108439
298,108315
299,108195
300,108046
301,107869
302,107709
303,107561
304,107387
305,107237
306,107072
307,106901
308,106736
309,106558
310,106368
311,106208
312,106012
313,105833
314,105649
315,105463
316,105254
317,105060
318,104848
319,104647
320,104436
321,104231
322,103999
323,103771
324,103557
325,103319
326,103107
327,102842
328,102595
329,102334
330,102028
331,101773
332,101526
333,101251
334,100969
335,100707
336,100424
337,100140
338,99848
339,99540
340,99233
341,98907
342,98585
343,98289
344,97987
345,97659
346,97350
347,97013
348,96682
349,96365
350,96030
351,95699
352,95332
353,94994
354,94641
355,94253
356,93891
357,93529
358,93117
359,92734
360,92349
361,91950
362,91548
363,91158
364,90727
365,90337
366,89904
367,89482
368,89072
369,88664
370,88282
371,87830
372,87417
373,86984
374,86560
375,86088
376,85646
377,85212
378,84744
379,84283
380,83818
381,83372
382,82873
383,82431
384,82019
385,81554
386,81096
387,80645
388,80198
389,79742
390,79261
391,78799
392,78302
393,77841
394,77341
395,76830
396,76353
397,75888
398,75387
399,74907
400,74401
401,73948
402,73470
403,72967
404,72438
405,71948
406,71493
407,70982
408,70503
409,69998
410,69499
411,69008
412,68539
413,68009
414,67497
415,67011
416,66532
417,66011
418,65557
419,65033
420,64539
421,64023
422,63518
423,63003
424,62472
425,61984
426,61528
427,61023
428,60501
429,60027
430,59483
431,58996
432,58493
433,58000
434,57488
435,57005
436,56485
437,56000
438,55518
439,55019
440,54506
441,53989
442,53510
443,52998
444,52507
445,52029
446,51506
447,51009
448,50496
449,49998
450,49536
451,49043
452,48612
453,48096
454,47617
455,47120
456,46701
457,46189
458,45723
459,45219
460,44764
461,44317
462,43827
463,43360
464,42895
465,42449
466,42007
467,41567
468,41104
469,40666
470,40197
471,39747
472,39292
473,38838
474,38424
475,37953
476,37506
477,37042
478,36584
479,36151
480,35677
481,35255
482,34807
483,34413
484,33983
485,33563
486,33157
487,32728
488,32361
489,31912
490,31498
491,31075
492,30679
493,30285
494,29873
495,29462
496,29068
497,28634
498,28212
499,27843
500,27471
501,27096
502,26699
503,26333
504,25956
505,25588
506,25231
507,24843
508,24463
509,24086
510,23735
511,23330
512,22939
513,22590
514,22248
515,21889
516,21531
517,21194
518,20803
519,20482
520,20125
521,19782
522,19410
523,19044
524,18713
525,18415
526,18065
527,17696
528,17367
529,17078
530,16779
531,16448
532,16144
533,15820
534,15517
535,15197
536,14863
537,14556
538,14239
539,13954
540,13686
541,13403
542,13100
543,12804
544,12529
545,12232
546,11945
547,11671
548,11404
549,11180
550,10904
551,10653
552,10410
553,10144
554,9892
555,9645
556,9401
557,9185
558,8963
559,8742
560,8524
561,8295
562,8092
563,7862
564,7644
565,7445
566,7243
567,7026
568,6805
569,6604
570,6424
571,6234
572,6067
573,5913
574,5721
575,5538
576,5366
577,5209
578,5057
579,4893
580,4735
581,4591
582,4443
583,4285
584,4152
585,3982
586,3856
587,3705
588,3570
589,3425
590,3286
591,3165
592,3053
593,2915
594,2816
595,2704
596,2591
597,2496
598,2389
599,2302
600,2215
601,2112
602,2020
603,1914
604,1819
605,1731
606,1650
607,1553
608,1485
609,1407
610,1333
611,1264
612,1199
613,1137
614,1094
615,1046
616,984
617,921
618,862
619,811
620,767
621,721
622,679
623,645
624,604
625,570
626,529
627,493
628,462
629,428
630,400
631,369
632,343
633,325
634,303
635,278
636,259
637,236
638,214
639,194
640,180
641,155
642,146
643,131
644,119
645,107
646,91
647,80
648,72
649,68
650,62
651,59
652,57
653,56
654,53
655,51
