score,rank
180,173282
181,173280
182,173278
183,173276
184,173274
185,173272
186,173267
187,173266
188,173263
189,173261
190,173260
191,173258
192,173255
193,173254
194,173251
195,173245
196,173244
197,173239
198,173237
199,173236
200,173234
201,173231
202,173224
203,173220
204,173216
205,173210
206,173206
207,173199
208,173191
209,173188
210,173185
211,173176
212,173170
213,173165
214,173156
215,173151
216,173147
217,173139
218,173133
219,173121
220,173109
221,173095
222,173085
223,173073
224,173058
225,173047
226,173033
227,173017
228,172997
229,172978
230,172966
231,172950
232,172934
233,172912
234,172884
235,172863
236,172837
237,172810
238,172787
239,172757
240,172728
241,172700
242,172662
243,172633
244,172602
245,172578
246,172539
247,172505
248,172462
249,172417
250,172381
251,172348
252,172302
253,172267
254,172212
255,172159
256,172107
257,172044
258,171991
259,171931
260,171880
261,171823
262,171768
263,171709
264,171640
265,171570
266,171511
267,171456
268,171375
269,171296
270,171231
271,171152
272,171081
273,171004
274,170906
275,170813
276,170737
277,170650
278,170560
279,170476
280,170372
281,170260
282,170158
283,170070
284,169948
285,169860
286,169751
287,169636
288,169517
289,169376
290,169271
291,169151
292,169037
293,168909
294,168780
295,168660
296,168527
297,168399
298,168267
299,168141
300,167983
301,167811
302,167643
303,167514
304,167359
305,167221
306,167052
307,166886
308,166712
309,166528
310,166342
311,166169
312,166003
313,165822
314,165636
315,165432
316,165247
317,165045
318,164854
319,164635
320,164447
321,164222
322,163999
323,163758
324,163494
325,163284
326,163068
327,162835
328,162612
329,162388
330,162137
331,161867
332,161632
333,161371
334,161117
335,160841
336,160568
337,160335
338,160052
339,159781
340,159514
341,159247
342,158979
343,158702
344,158413
345,158115
346,157783
347,157451
348,157166
349,156838
350,156499
351,156173
352,155847
353,155517
354,155169
355,154808
356,154420
357,154084
358,153743
359,153381
360,153020
361,152645
362,152263
363,151881
364,151509
365,151130
366,150715
367,150304
368,149878
369,149443
370,149001
371,148582
372,148147
373,147718
374,147300
375,146843
376,146387
377,145931
378,145503
379,145066
380,144572
381,144106
382,143622
383,143142
384,142677
385,142180
386,141681
387,141148
388,140638
389,140128
390,139626
391,139138
392,138608
393,138088
394,137577
395,137057
396,136549
397,136022
398,135460
399,134892
400,134328
401,133798
402,133222
403,132650
404,132084
405,131480
406,130878
407,130262
408,129696
409,129051
410,128463
411,127823
412,127189
413,126599
414,126024
415,125420
416,124734
417,124077
418,123391
419,122730
420,122061
421,121395
422,120700
423,120001
424,119310
425,118635
426,118011
427,117315
428,116601
429,115840
430,115133
431,114482
432,113794
433,113145
434,112423
435,111658
436,110940
437,110250
438,109528
439,108767
440,108039
441,107257
442,106508
443,105773
444,105016
445,104303
446,103553
447,102836
448,102085
449,101379
450,100585
451,99825
452,98983
453,98245
454,97446
455,96692
456,95979
457,95196
458,94444
459,93709
460,92913
461,92196
462,91420
463,90658
464,89904
465,89168
466,88430
467,87639
468,86842
469,86015
470,85253
471,84481
472,83722
473,82926
474,82168
475,81411
476,80652
477,79927
478,79199
479,78457
480,77767
481,77016
482,76268
483,75535
484,74757
485,74049
486,73360
487,72622
488,71869
489,71158
490,70392
491,69659
492,68911
493,68200
494,67462
495,66730
496,66012
497,65270
498,64525
499,63813
500,63097
501,62419
502,61709
503,60983
504,60276
505,59581
506,58868
507,58183
508,57507
509,56824
510,56116
511,55401
512,54745
513,54037
514,53307
515,52642
516,52003
517,51310
518,50619
519,49983
520,49360
521,48775
522,48100
523,47398
524,46781
525,46056
526,45400
527,44759
528,44143
529,43507
530,42886
531,42262
532,41680
533,41041
534,40403
535,39840
536,39237
537,38653
538,38037
539,37443
540,36922
541,36341
542,35759
543,35181
544,34605
545,34052
546,33483
547,32923
548,32350
549,31830
550,31275
551,30718
552,30166
553,29629
554,29087
555,28548
556,28007
557,27488
558,26994
559,26501
560,26012
561,25533
562,25022
563,24566
564,24086
565,23641
566,23188
567,22756
568,22302
569,21863
570,21389
571,20930
572,20457
573,20029
574,19583
575,19141
576,18720
577,18291
578,17875
579,17418
580,16983
581,16561
582,16173
583,15809
584,15420
585,15032
586,14637
587,14254
588,13884
589,13520
590,13167
591,12808
592,12494
593,12141
594,11835
595,11493
596,11160
597,10811
598,10501
599,10210
600,9898
601,9598
602,9305
603,9009
604,8700
605,8388
606,8153
607,7869
608,7586
609,7324
610,7049
611,6790
612,6528
613,6293
614,6035
615,5800
616,5559
617,5336
618,5120
619,4901
620,4699
621,4510
622,4329
623,4154
624,3981
625,3813
626,3655
627,3460
628,3292
629,3137
630,2974
631,2827
632,2672
633,2517
634,2392
635,2260
636,2137
637,2011
638,1924
639,1810
640,1698
641,1599
642,1508
643,1434
644,1345
645,1261
646,1177
647,1093
648,1022
649,951
650,876
651,826
652,768
653,718
654,666
655,619
656,572
657,531
658,490
659,452
660,415
661,375
662,346
663,327
664,299
665,268
666,243
667,228
668,206
669,191
670,169
671,153
672,135
673,116
674,104
675,95
676,90
677,84
678,69
679,57
680,53
681,53
682,53
683,52
