score,rank
200,31884
201,31883
202,31878
203,31874
204,31867
205,31864
206,31856
207,31853
208,31847
209,31844
210,31838
211,31836
212,31828
213,31826
214,31817
215,31812
216,31806
217,31797
218,31788
219,31782
220,31776
221,31768
222,31756
223,31747
224,31738
225,31728
226,31719
227,31710
228,31695
229,31682
230,31667
231,31658
232,31645
233,31640
234,31625
235,31613
236,31600
237,31589
238,31578
239,31561
240,31548
241,31536
242,31520
243,31499
244,31487
245,31475
246,31461
247,31439
248,31427
249,31411
250,31396
251,31387
252,31370
253,31355
254,31334
255,31312
256,31290
257,31259
258,31242
259,31212
260,31194
261,31171
262,31152
263,31131
264,31101
265,31083
266,31061
267,31033
268,31010
269,30983
270,30944
271,30909
272,30886
273,30858
274,30837
275,30806
276,30777
277,30751
278,30720
279,30690
280,30670
281,30626
282,30595
283,30542
284,30502
285,30461
286,30421
287,30379
288,30348
289,30300
290,30264
291,30216
292,30168
293,30122
294,30073
295,30032
296,29974
297,29938
298,29883
299,29838
300,29793
301,29748
302,29696
303,29644
304,29590
305,29532
306,29489
307,29425
308,29368
309,29313
310,29261
311,29206
312,29157
313,29097
314,29023
315,28969
316,28918
317,28855
318,28808
319,28756
320,28681
321,28612
322,28548
323,28467
324,28403
325,28331
326,28256
327,28178
328,28112
329,28032
330,27953
331,27893
332,27832
333,27766
334,27702
335,27626
336,27549
337,27454
338,27384
339,27298
340,27217
341,27136
342,27028
343,26944
344,26856
345,26775
346,26676
347,26592
348,26505
349,26418
350,26316
351,26207
352,26106
353,26009
354,25907
355,25830
356,25728
357,25638
358,25539
359,25446
360,25351
361,25262
362,25146
363,25043
364,24925
365,24811
366,24692
367,24589
368,24477
369,24363
370,24262
371,24168
372,24074
373,23946
374,23844
375,23744
376,23628
377,23520
378,23402
379,23299
380,23180
381,23067
382,22979
383,22853
384,22742
385,22631
386,22507
387,22393
388,22269
389,22144
390,22029
391,21901
392,21773
393,21640
394,21508
395,21393
396,21262
397,21137
398,21014
399,20880
400,20775
401,20635
402,20514
403,20368
404,20225
405,20106
406,19995
407,19871
408,19738
409,19600
410,19460
411,19345
412,19229
413,19092
414,18943
415,18825
416,18700
417,18572
418,18439
419,18323
420,18193
421,18060
422,17912
423,17770
424,17631
425,17498
426,17352
427,17223
428,17120
429,16970
430,16838
431,16711
432,16572
433,16449
434,16326
435,16218
436,16088
437,15967
438,15826
439,15699
440,15570
441,15455
442,15331
443,15220
444,15083
445,14953
446,14826
447,14700
448,14590
449,14468
450,14342
451,14206
452,14093
453,13953
454,13829
455,13721
456,13560
457,13412
458,13303
459,13166
460,13025
461,12908
462,12800
463,12685
464,12573
465,12459
466,12334
467,12204
468,12086
469,11955
470,11822
471,11706
472,11587
473,11454
474,11329
475,11205
476,11089
477,10984
478,10877
479,10746
480,10630
481,10492
482,10400
483,10268
484,10166
485,10062
486,9947
487,9828
488,9704
489,9583
490,9481
491,9352
492,9235
493,9126
494,9000
495,8897
496,8778
497,8666
498,8566
499,8455
500,8356
501,8262
502,8149
503,8046
504,7928
505,7820
506,7731
507,7632
508,7517
509,7421
510,7341
511,7247
512,7151
513,7020
514,6929
515,6821
516,6727
517,6642
518,6551
519,6475
520,6374
521,6287
522,6198
523,6116
524,6017
525,5925
526,5836
527,5732
528,5651
529,5581
530,5486
531,5397
532,5306
533,5207
534,5137
535,5055
536,4953
537,4873
538,4801
539,4723
540,4635
541,4554
542,4488
543,4397
544,4310
545,4227
546,4156
547,4083
548,4005
549,3939
550,3868
551,3790
552,3729
553,3660
554,3592
555,3541
556,3478
557,3414
558,3343
559,3272
560,3203
561,3131
562,3073
563,3020
564,2964
565,2903
566,2845
567,2779
568,2714
569,2656
570,2596
571,2522
572,2469
573,2419
574,2370
575,2301
576,2242
577,2180
578,2126
579,2075
580,2024
581,1988
582,1937
583,1888
584,1831
585,1791
586,1744
587,1699
588,1662
589,1618
590,1569
591,1518
592,1473
593,1436
594,1403
595,1355
596,1319
597,1280
598,1240
599,1206
600,1175
601,1140
602,1102
603,1066
604,1031
605,1001
606,964
607,940
608,912
609,874
610,845
611,812
612,788
613,764
614,735
615,713
616,677
617,655
618,621
619,594
620,570
621,536
622,517
623,491
624,466
625,439
626,416
627,394
628,380
629,366
630,342
631,325
632,302
633,277
634,260
635,250
636,229
637,217
638,202
639,195
640,188
641,172
642,160
643,152
644,141
645,130
646,121
647,114
648,108
649,97
650,91
651,85
652,80
653,72
654,65
655,60
656,53
657,51
658,47
659,44
660,39
661,32
662,31
663,30
664,28
665,26
666,21
667,18
668,17
669,14
670,12
