score,rank
200,85702
201,85698
202,85693
203,85689
204,85685
205,85678
206,85668
207,85660
208,85653
209,85648
210,85638
211,85631
212,85618
213,85613
214,85607
215,85598
216,85589
217,85579
218,85567
219,85556
220,85541
221,85530
222,85519
223,85505
224,85492
225,85480
226,85468
227,85457
228,85437
229,85419
230,85407
231,85386
232,85366
233,85351
234,85331
235,85320
236,85297
237,85276
238,85254
239,85232
240,85208
241,85183
242,85150
243,85125
244,85098
245,85069
246,85034
247,84998
248,84968
249,84931
250,84899
251,84863
252,84827
253,84798
254,84772
255,84733
256,84698
257,84658
258,84617
259,84564
260,84520
261,84462
262,84411
263,84356
264,84307
265,84245
266,84185
267,84115
268,84065
269,84007
270,83942
271,83860
272,83798
273,83741
274,83667
275,83602
276,83544
277,83486
278,83401
279,83324
280,83232
281,83147
282,83076
283,83006
284,82913
285,82815
286,82734
287,82624
288,82529
289,82423
290,82329
291,82229
292,82146
293,82051
294,81933
295,81811
296,81684
297,81581
298,81471
299,81350
300,81223
301,81105
302,80993
303,80869
304,80741
305,80601
306,80478
307,80351
308,80231
309,80115
310,79972
311,79835
312,79691
313,79541
314,79398
315,79229
316,79088
317,78940
318,78759
319,78594
320,78409
321,78247
322,78075
323,77895
324,77714
325,77528
326,77352
327,77193
328,77013
329,76813
330,76626
331,76461
332,76267
333,76089
334,75896
335,75685
336,75478
337,75279
338,75055
339,74882
340,74687
341,74466
342,74272
343,74024
344,73788
345,73587
346,73398
347,73165
348,72946
349,72706
350,72492
351,72255
352,72013
353,71767
354,71557
355,71357
356,71091
357,70885
358,70637
359,70396
360,70171
361,69936
362,69665
363,69399
364,69152
365,68893
366,68649
367,68384
368,68133
369,67855
370,67585
371,67326
372,67056
373,66810
374,66541
375,66293
376,66015
377,65754
378,65472
379,65179
380,64898
381,64646
382,64385
383,64089
384,63789
385,63511
386,63244
387,62954
388,62663
389,62363
390,62075
391,61769
392,61462
393,61148
394,60857
395,60559
396,60236
397,59934
398,59624
399,59306
400,59030
401,58732
402,58435
403,58118
404,57811
405,57495
406,57195
407,56908
408,56608
409,56291
410,55978
411,55670
412,55367
413,55044
414,54723
415,54447
416,54136
417,53837
418,53530
419,53224
420,52926
421,52568
422,52242
423,51913
424,51615
425,51297
426,50975
427,50679
428,50348
429,50020
430,49708
431,49394
432,49102
433,48772
434,48433
435,48108
436,47803
437,47481
438,47164
439,46865
440,46537
441,46194
442,45883
443,45590
444,45281
445,44986
446,44644
447,44304
448,44003
449,43711
450,43413
451,43075
452,42742
453,42433
454,42136
455,41817
456,41476
457,41171
458,40860
459,40571
460,40227
461,39924
462,39605
463,39282
464,38998
465,38711
466,38409
467,38098
468,37820
469,37546
470,37245
471,36913
472,36662
473,36374
474,36080
475,35781
476,35497
477,35215
478,34919
479,34605
480,34307
481,34022
482,33757
483,33450
484,33149
485,32860
486,32575
487,32288
488,31980
489,31708
490,31400
491,31104
492,30827
493,30558
494,30233
495,29951
496,29651
497,29366
498,29082
499,28807
500,28524
501,28233
502,27929
503,27648
504,27383
505,27120
506,26823
507,26557
508,26273
509,25993
510,25760
511,25518
512,25258
513,24971
514,24725
515,24485
516,24208
517,23930
518,23653
519,23393
520,23100
521,22826
522,22581
523,22346
524,22079
525,21811
526,21541
527,21284
528,21054
529,20802
530,20543
531,20262
532,20019
533,19732
534,19488
535,19223
536,18984
537,18715
538,18454
539,18201
540,17995
541,17777
542,17535
543,17312
544,17069
545,16818
546,16605
547,16398
548,16198
549,15975
550,15759
551,15529
552,15309
553,15084
554,14864
555,14641
556,14440
557,14229
558,14015
559,13783
560,13564
561,13329
562,13137
563,12941
564,12717
565,12517
566,12337
567,12133
568,11930
569,11717
570,11528
571,11324
572,11115
573,10922
574,10721
575,10518
576,10312
577,10122
578,9925
579,9734
580,9561
581,9392
582,9208
583,9034
584,8868
585,8683
586,8508
587,8340
588,8181
589,8017
590,7864
591,7687
592,7517
593,7348
594,7188
595,7031
596,6876
597,6720
598,6571
599,6399
600,6257
601,6091
602,5948
603,5826
604,5688
605,5553
606,5403
607,5290
608,5157
609,5011
610,4896
611,4782
612,4648
613,4523
614,4407
615,4279
616,4155
617,4028
618,3911
619,3776
620,3650
621,3549
622,3466
623,3345
624,3225
625,3119
626,3001
627,2895
628,2786
629,2693
630,2595
631,2514
632,2432
633,2330
634,2257
635,2170
636,2094
637,2019
638,1943
639,1870
640,1790
641,1713
642,1643
643,1567
644,1496
645,1427
646,1362
647,1304
648,1229
649,1165
650,1107
651,1063
652,998
653,934
654,887
655,833
656,790
657,749
658,705
659,673
660,633
661,597
662,565
663,530
664,496
665,464
666,438
667,412
668,382
669,357
670,329
671,304
672,283
673,264
674,243
675,227
676,202
677,179
678,164
679,152
680,137
681,124
682,114
683,103
684,97
685,89
686,81
687,71
688,66
689,61
690,50
691,47
692,44
693,39
694,32
695,29
696,24
697,23
698,21
699,16
700,15
702,12
703,11
