score,rank
100,71090
110,71072
120,71054
130,71041
140,71021
150,71004
160,70982
170,70961
180,70945
190,70925
200,70902
210,70883
220,70847
230,70806
240,70761
250,70705
260,70629
270,70500
280,70356
290,70171
300,69946
310,69702
320,69384
330,69005
340,68544
350,68012
360,67408
370,66715
380,65892
381,65792
382,65704
383,65609
384,65529
385,65433
386,65328
387,65230
388,65136
389,65033
390,64931
391,64835
392,64722
393,64619
394,64502
395,64408
396,64294
397,64174
398,64059
399,63940
400,63817
401,63701
402,63566
403,63424
404,63288
405,63163
406,63033
407,62899
408,62760
409,62605
410,62487
411,62362
412,62204
413,62068
414,61890
415,61750
416,61598
417,61430
418,61283
419,61125
420,60962
421,60796
422,60642
423,60470
424,60310
425,60127
426,59962
427,59791
428,59625
429,59457
430,59286
431,59124
432,58928
433,58739
434,58563
435,58401
436,58190
437,57989
438,57793
439,57607
440,57401
441,57203
442,56996
443,56791
444,56583
445,56359
446,56128
447,55937
448,55692
449,55479
450,55252
451,55028
452,54812
453,54602
454,54371
455,54163
456,53950
457,53704
458,53479
459,53263
460,53023
461,52770
462,52529
463,52272
464,52016
465,51755
466,51517
467,51279
468,51014
469,50758
470,50501
471,50232
472,49967
473,49715
474,49441
475,49180
476,48927
477,48645
478,48389
479,48116
480,47847
481,47580
482,47308
483,47012
484,46713
485,46427
486,46137
487,45863
488,45567
489,45313
490,45011
491,44728
492,44449
493,44138
494,43862
495,43515
496,43213
497,42909
498,42598
499,42294
500,41980
501,41679
502,41377
503,41066
504,40792
505,40476
506,40171
507,39904
508,39611
509,39322
510,39014
511,38703
512,38400
513,38068
514,37797
515,37476
516,37173
517,36878
518,36598
519,36287
520,35977
521,35691
522,35354
523,35062
524,34733
525,34418
526,34093
527,33812
528,33504
529,33184
530,32882
531,32575
532,32274
533,31971
534,31638
535,31308
536,31035
537,30694
538,30398
539,30115
540,29806
541,29500
542,29176
543,28875
544,28593
545,28300
546,27946
547,27668
548,27371
549,27079
550,26772
551,26466
552,26163
553,25855
554,25553
555,25222
556,24898
557,24602
558,24293
559,24006
560,23710
561,23430
562,23143
563,22819
564,22512
565,22210
566,21955
567,21643
568,21326
569,21047
570,20743
571,20457
572,20151
573,19881
574,19560
575,19257
576,18979
577,18707
578,18434
579,18140
580,17872
581,17602
582,17340
583,17082
584,16826
585,16545
586,16262
587,15967
588,15712
589,15471
590,15193
591,14944
592,14679
593,14422
594,14159
595,13877
596,13638
597,13399
598,13160
599,12937
600,12682
601,12439
602,12184
603,11935
604,11689
605,11428
606,11198
607,10960
608,10738
609,10518
610,10283
611,10063
612,9835
613,9620
614,9381
615,9166
616,8958
617,8762
618,8536
619,8320
620,8112
621,7903
622,7682
623,7489
624,7289
625,7115
626,6945
627,6754
628,6568
629,6365
630,6170
631,5989
632,5800
633,5634
634,5458
635,5285
636,5108
637,4949
638,4787
639,4622
640,4481
641,4336
642,4208
643,4047
644,3891
645,3736
646,3597
647,3453
648,3295
649,3157
650,3031
651,2915
652,2775
653,2656
654,2525
655,2409
656,2303
657,2199
658,2096
659,1987
660,1878
661,1773
662,1681
663,1585
664,1500
665,1411
666,1337
667,1251
668,1176
669,1080
670,1006
671,943
672,879
673,806
674,750
675,680
676,631
677,577
678,517
679,475
680,439
681,398
682,356
683,326
684,304
685,278
686,248
687,221
688,189
689,163
690,146
691,132
692,111
