score,rank
100,24255
101,24255
102,24253
103,24252
104,24252
105,24252
106,24252
107,24252
108,24252
109,24252
110,24252
111,24251
112,24251
113,24251
114,24251
115,24250
116,24249
117,24249
118,24248
119,24248
120,24248
121,24247
122,24247
123,24247
124,24247
125,24247
126,24246
127,24245
128,24244
129,24243
130,24241
131,24241
132,24240
133,24239
134,24239
135,24239
136,24237
137,24237
138,24236
139,24236
140,24236
141,24235
142,24233
143,24232
144,24230
145,24228
146,24227
147,24227
148,24225
149,24224
150,24223
151,24222
152,24222
153,24218
154,24217
155,24216
156,24215
157,24215
158,24214
159,24214
160,24212
161,24211
162,24208
163,24205
164,24201
165,24199
166,24197
167,24195
168,24192
169,24192
170,24190
171,24188
172,24185
173,24180
174,24178
175,24177
176,24173
177,24173
178,24173
179,24169
180,24164
181,24164
182,24161
183,24161
184,24156
185,24152
186,24152
187,24151
188,24151
189,24147
190,24146
191,24144
192,24141
193,24137
194,24135
195,24129
196,24127
197,24122
198,24121
199,24120
200,24119
201,24114
202,24112
203,24107
204,24105
205,24104
206,24098
207,24091
208,24086
209,24081
210,24077
211,24076
212,24071
213,24065
214,24063
215,24060
216,24055
217,24050
218,24043
219,24031
220,24024
221,24021
222,24014
223,24007
224,24000
225,23990
226,23984
227,23977
228,23959
229,23949
230,23943
231,23933
232,23926
233,23915
234,23906
235,23898
236,23889
237,23877
238,23868
239,23859
240,23847
241,23835
242,23825
243,23811
244,23801
245,23791
246,23784
247,23770
248,23758
249,23741
250,23726
251,23712
252,23697
253,23687
254,23671
255,23659
256,23652
257,23633
258,23620
259,23600
260,23572
261,23553
262,23540
263,23521
264,23503
265,23491
266,23472
267,23454
268,23424
269,23400
270,23383
271,23367
272,23344
273,23324
274,23304
275,23282
276,23264
277,23237
278,23223
279,23204
280,23192
281,23172
282,23133
283,23103
284,23075
285,23054
286,23023
287,23002
288,22980
289,22953
290,22934
291,22903
292,22869
293,22827
294,22800
295,22762
296,22730
297,22699
298,22666
299,22631
300,22594
301,22564
302,22526
303,22490
304,22453
305,22422
306,22386
307,22337
308,22287
309,22240
310,22204
311,22151
312,22108
313,22076
314,22032
315,21989
316,21941
317,21890
318,21843
319,21790
320,21748
321,21701
322,21648
323,21596
324,21551
325,21495
326,21445
327,21395
328,21335
329,21282
330,21227
331,21172
332,21093
333,21047
334,20987
335,20930
336,20877
337,20826
338,20747
339,20679
340,20618
341,20537
342,20477
343,20415
344,20361
345,20310
346,20248
347,20194
348,20128
349,20070
350,20001
351,19927
352,19840
353,19767
354,19707
355,19645
356,19569
357,19507
358,19436
359,19364
360,19287
361,19206
362,19110
363,19020
364,18945
365,18889
366,18802
367,18719
368,18647
369,18560
370,18491
371,18413
372,18329
373,18248
374,18158
375,18088
376,18014
377,17936
378,17828
379,17747
380,17660
381,17575
382,17495
383,17393
384,17305
385,17213
386,17140
387,17067
388,16977
389,16902
390,16803
391,16720
392,16637
393,16546
394,16467
395,16381
396,16308
397,16217
398,16137
399,16058
400,15958
401,15848
402,15761
403,15655
404,15573
405,15486
406,15389
407,15302
408,15222
409,15118
410,15039
411,14936
412,14845
413,14761
414,14684
415,14596
416,14500
417,14410
418,14326
419,14225
420,14132
421,14039
422,13951
423,13859
424,13749
425,13678
426,13586
427,13502
428,13398
429,13294
430,13196
431,13112
432,13025
433,12922
434,12817
435,12727
436,12622
437,12509
438,12430
439,12343
440,12253
441,12150
442,12064
443,11957
444,11842
445,11737
446,11655
447,11552
448,11469
449,11380
450,11270
451,11177
452,11072
453,10972
454,10872
455,10766
456,10662
457,10577
458,10489
459,10390
460,10292
461,10189
462,10091
463,9983
464,9891
465,9796
466,9709
467,9622
468,9521
469,9417
470,9320
471,9239
472,9145
473,9049
474,8943
475,8844
476,8756
477,8659
478,8571
479,8473
480,8390
481,8289
482,8201
483,8107
484,8022
485,7930
486,7842
487,7748
488,7660
489,7578
490,7489
491,7402
492,7313
493,7238
494,7143
495,7056
496,6970
497,6875
498,6790
499,6716
500,6634
501,6542
502,6449
503,6383
504,6300
505,6229
506,6151
507,6067
508,5987
509,5902
510,5835
511,5757
512,5666
513,5591
514,5523
515,5454
516,5379
517,5296
518,5237
519,5157
520,5102
521,5039
522,4953
523,4865
524,4787
525,4719
526,4646
527,4588
528,4524
529,4453
530,4381
531,4329
532,4273
533,4206
534,4143
535,4080
536,3997
537,3939
538,3876
539,3808
540,3751
541,3696
542,3645
543,3584
544,3520
545,3454
546,3390
547,3312
548,3238
549,3185
550,3125
551,3080
552,3035
553,2983
554,2932
555,2872
556,2826
557,2771
558,2716
559,2674
560,2622
561,2572
562,2510
563,2451
564,2399
565,2349
566,2315
567,2270
568,2232
569,2183
570,2127
571,2075
572,2039
573,1997
574,1956
575,1918
576,1857
577,1816
578,1768
579,1723
580,1683
581,1657
582,1627
583,1585
584,1537
585,1505
586,1469
587,1432
588,1393
589,1361
590,1335
591,1297
592,1273
593,1241
594,1214
595,1176
596,1140
597,1106
598,1082
599,1058
600,1028
601,1000
602,963
603,930
604,895
605,863
606,827
607,801
608,778
609,759
610,737
611,709
612,681
613,659
614,639
615,619
616,602
617,582
618,555
619,533
620,513
621,495
622,477
623,463
624,451
625,434
626,413
627,391
628,371
629,360
630,348
631,337
632,325
633,312
634,301
635,288
636,269
637,253
638,238
639,225
640,214
641,202
642,188
643,175
644,171
645,159
646,145
647,137
648,130
649,126
650,120
651,110
652,106
653,101
654,94
655,90
656,87
657,85
658,79
659,72
660,69
661,65
662,62
663,57
664,54
665,50
666,45
667,42
668,38
669,32
670,28
671,23
672,20
673,18
674,16
675,16
676,14
677,12
678,11
