score,rank
0,80421
1,79098
2,79098
3,79098
4,79097
5,79097
6,79097
7,79097
8,79096
9,79096
10,79095
11,79095
12,79095
13,79095
14,79095
15,79095
16,79095
17,79095
18,79094
19,79094
20,79094
21,79094
22,79094
23,79093
24,79092
25,79092
26,79091
27,79091
28,79091
29,79091
30,79091
31,79091
32,79091
33,79091
34,79091
35,79091
36,79091
37,79090
38,79090
39,79090
40,79089
41,79087
42,79087
43,79087
44,79087
45,79087
46,79087
47,79087
48,79087
49,79087
50,79086
51,79085
52,79084
53,79083
54,79083
55,79082
56,79081
57,79081
58,79081
59,79081
60,79079
61,79077
62,79076
63,79075
64,79074
65,79073
66,79073
67,79073
68,79073
69,79072
70,79072
71,79072
72,79072
73,79072
74,79071
75,79071
76,79070
77,79070
78,79069
79,79069
80,79069
81,79068
82,79067
83,79067
84,79067
85,79067
86,79067
87,79067
88,79065
89,79065
90,79065
91,79065
92,79065
93,79063
94,79063
95,79062
96,79062
97,79062
98,79058
99,79057
100,79057
101,79055
102,79054
103,79054
104,79054
105,79054
106,79054
107,79054
108,79053
109,79052
110,79051
111,79050
112,79050
113,79050
114,79050
115,79050
116,79049
117,79047
118,79047
119,79044
120,79044
121,79042
122,79042
123,79042
124,79040
125,79040
126,79039
127,79036
128,79035
129,79034
130,79034
131,79034
132,79034
133,79034
134,79034
135,79033
136,79033
137,79032
138,79030
139,79029
140,79027
141,79025
142,79025
143,79024
144,79023
145,79020
146,79018
147,79018
148,79018
149,79018
150,79018
151,79017
152,79014
153,79014
154,79014
155,79010
156,79009
157,79007
158,79005
159,79004
160,79004
161,79004
162,79004
163,78997
164,78995
165,78995
166,78995
167,78992
168,78990
169,78985
170,78981
171,78979
172,78977
173,78975
174,78973
175,78972
176,78966
177,78961
178,78958
179,78955
180,78953
181,78952
182,78950
183,78949
184,78947
185,78943
186,78940
187,78937
188,78933
189,78926
190,78921
191,78917
192,78915
193,78911
194,78905
195,78903
196,78896
197,78894
198,78888
199,78885
200,78877
201,78867
202,78856
203,78848
204,78843
205,78838
206,78831
207,78823
208,78816
209,78800
210,78789
211,78776
212,78760
213,78753
214,78740
215,78734
216,78728
217,78722
218,78713
219,78693
220,78687
221,78673
222,78657
223,78643
224,78627
225,78610
226,78592
227,78569
228,78557
229,78545
230,78524
231,78501
232,78478
233,78454
234,78432
235,78403
236,78382
237,78360
238,78344
239,78319
240,78292
241,78275
242,78241
243,78212
244,78185
245,78167
246,78137
247,78105
248,78067
249,78032
250,78006
251,77972
252,77946
253,77919
254,77877
255,77833
256,77803
257,77763
258,77723
259,77685
260,77640
261,77596
262,77569
263,77520
264,77470
265,77420
266,77372
267,77331
268,77281
269,77238
270,77181
271,77137
272,77088
273,77020
274,76966
275,76901
276,76824
277,76768
278,76712
279,76661
280,76596
281,76525
282,76444
283,76362
284,76282
285,76205
286,76138
287,76074
288,75983
289,75913
290,75830
291,75744
292,75649
293,75571
294,75483
295,75395
296,75306
297,75217
298,75118
299,75022
300,74928
301,74829
302,74731
303,74623
304,74529
305,74413
306,74300
307,74208
308,74104
309,73993
310,73864
311,73729
312,73619
313,73500
314,73352
315,73231
316,73107
317,72999
318,72882
319,72729
320,72586
321,72452
322,72307
323,72171
324,72048
325,71904
326,71759
327,71589
328,71435
329,71268
330,71092
331,70916
332,70757
333,70591
334,70437
335,70278
336,70084
337,69928
338,69752
339,69588
340,69405
341,69228
342,69037
343,68853
344,68666
345,68488
346,68302
347,68090
348,67914
349,67704
350,67486
351,67278
352,67088
353,66904
354,66723
355,66526
356,66310
357,66113
358,65925
359,65696
360,65518
361,65335
362,65089
363,64880
364,64649
365,64428
366,64184
367,63947
368,63728
369,63497
370,63256
371,63014
372,62789
373,62546
374,62285
375,62030
376,61787
377,61536
378,61283
379,61023
380,60804
381,60541
382,60287
383,60024
384,59779
385,59488
386,59187
387,58906
388,58650
389,58409
390,58141
391,57889
392,57630
393,57354
394,57064
395,56799
396,56505
397,56221
398,55949
399,55692
400,55396
401,55149
402,54866
403,54576
404,54321
405,54030
406,53749
407,53486
408,53213
409,52906
410,52624
411,52335
412,52024
413,51692
414,51377
415,51093
416,50809
417,50519
418,50253
419,49961
420,49638
421,49343
422,49045
423,48736
424,48456
425,48141
426,47870
427,47554
428,47283
429,46989
430,46698
431,46398
432,46087
433,45764
434,45451
435,45161
436,44881
437,44575
438,44262
439,43976
440,43673
441,43368
442,43111
443,42786
444,42482
445,42147
446,41859
447,41575
448,41252
449,40957
450,40599
451,40315
452,39998
453,39671
454,39384
455,39104
456,38815
457,38506
458,38202
459,37904
460,37576
461,37266
462,36973
463,36686
464,36420
465,36128
466,35819
467,35541
468,35273
469,34959
470,34651
471,34343
472,34050
473,33795
474,33511
475,33219
476,32954
477,32637
478,32377
479,32117
480,31859
481,31557
482,31275
483,31004
484,30727
485,30450
486,30171
487,29895
488,29593
489,29318
490,29048
491,28743
492,28486
493,28205
494,27931
495,27666
496,27417
497,27140
498,26870
499,26594
500,26306
501,26023
502,25722
503,25490
504,25228
505,24980
506,24684
507,24448
508,24184
509,23905
510,23643
511,23366
512,23107
513,22882
514,22630
515,22372
516,22134
517,21908
518,21673
519,21430
520,21196
521,20966
522,20714
523,20473
524,20217
525,19978
526,19729
527,19484
528,19267
529,19040
530,18770
531,18538
532,18305
533,18072
534,17828
535,17587
536,17331
537,17089
538,16883
539,16646
540,16442
541,16249
542,16042
543,15828
544,15624
545,15413
546,15214
547,14999
548,14775
549,14551
550,14328
551,14127
552,13931
553,13722
554,13530
555,13293
556,13097
557,12878
558,12702
559,12517
560,12338
561,12132
562,11931
563,11706
564,11509
565,11340
566,11138
567,10948
568,10750
569,10573
570,10382
571,10198
572,10038
573,9871
574,9715
575,9528
576,9342
577,9138
578,8977
579,8814
580,8621
581,8467
582,8295
583,8123
584,7970
585,7806
586,7648
587,7512
588,7336
589,7168
590,7007
591,6858
592,6709
593,6546
594,6384
595,6222
596,6091
597,5939
598,5798
599,5663
600,5529
601,5404
602,5277
603,5137
604,5028
605,4904
606,4783
607,4656
608,4527
609,4428
610,4305
611,4183
612,4071
613,3945
614,3842
615,3741
616,3646
617,3549
618,3450
619,3336
620,3220
621,3139
622,3040
623,2951
624,2842
625,2761
626,2664
627,2572
628,2492
629,2402
630,2344
631,2255
632,2175
633,2104
634,2025
635,1953
636,1884
637,1814
638,1742
639,1679
640,1618
641,1555
642,1489
643,1410
644,1354
645,1299
646,1252
647,1187
648,1138
649,1091
650,1045
651,1007
652,954
653,906
654,867
655,821
656,777
657,749
658,706
659,673
660,634
661,603
662,571
663,533
664,498
665,460
666,438
667,417
668,390
669,370
670,351
671,332
672,312
673,299
674,277
675,256
676,229
677,202
678,183
679,166
680,149
681,138
682,125
683,117
684,112
685,107
686,97
687,91
688,84
689,80
690,76
691,69
692,59
693,53
694,49
695,44
696,37
697,30
698,25
699,23
700,19
701,16
702,14
703,12
704,11
