score,rank
300,77488
301,77440
302,77397
303,77342
304,77295
305,77255
306,77207
307,77167
308,77118
309,77082
310,77030
311,76974
312,76918
313,76866
314,76802
315,76749
316,76690
317,76634
318,76584
319,76529
320,76467
321,76418
322,76353
323,76302
324,76233
325,76165
326,76108
327,76040
328,75977
329,75914
330,75842
331,75782
332,75710
333,75638
334,75569
335,75504
336,75419
337,75354
338,75282
339,75207
340,75129
341,75051
342,74963
343,74893
344,74818
345,74732
346,74653
347,74561
348,74469
349,74384
350,74278
351,74195
352,74110
353,74011
354,73905
355,73807
356,73696
357,73589
358,73490
359,73399
360,73272
361,73158
362,73041
363,72934
364,72814
365,72710
366,72574
367,72453
368,72331
369,72211
370,72071
371,71929
372,71813
373,71678
374,71548
375,71424
376,71289
377,71134
378,70998
379,70870
380,70714
381,70548
382,70407
383,70258
384,70111
385,69965
386,69787
387,69613
388,69445
389,69280
390,69105
391,68960
392,68787
393,68602
394,68426
395,68239
396,68036
397,67868
398,67669
399,67487
400,67300
401,67121
402,66912
403,66712
404,66533
405,66304
406,66109
407,65911
408,65713
409,65492
410,65251
411,65064
412,64854
413,64658
414,64442
415,64223
416,63972
417,63779
418,63546
419,63321
420,63096
421,62880
422,62622
423,62366
424,62111
425,61881
426,61616
427,61377
428,61129
429,60841
430,60597
431,60350
432,60094
433,59832
434,59561
435,59308
436,59065
437,58769
438,58500
439,58243
440,57947
441,57632
442,57346
443,57047
444,56781
445,56502
446,56249
447,55931
448,55662
449,55392
450,55108
451,54805
452,54492
453,54201
454,53920
455,53672
456,53365
457,53066
458,52753
459,52422
460,52119
461,51811
462,51478
463,51152
464,50840
465,50511
466,50202
467,49868
468,49557
469,49267
470,48966
471,48654
472,48361
473,48037
474,47717
475,47382
476,47056
477,46719
478,46415
479,46139
480,45829
481,45493
482,45186
483,44839
484,44527
485,44155
486,43849
487,43504
488,43156
489,42842
490,42525
491,42199
492,41855
493,41519
494,41218
495,40881
496,40543
497,40196
498,39877
499,39537
500,39232
501,38876
502,38528
503,38185
504,37869
505,37556
506,37249
507,36935
508,36594
509,36256
510,35936
511,35630
512,35324
513,35002
514,34641
515,34309
516,33972
517,33665
518,33345
519,33026
520,32718
521,32416
522,32106
523,31772
524,31444
525,31109
526,30826
527,30507
528,30194
529,29862
530,29562
531,29237
532,28941
533,28632
534,28331
535,28007
536,27713
537,27418
538,27114
539,26808
540,26502
541,26198
542,25889
543,25574
544,25259
545,24952
546,24646
547,24370
548,24083
549,23768
550,23491
551,23185
552,22897
553,22621
554,22305
555,22033
556,21741
557,21443
558,21137
559,20859
560,20579
561,20311
562,20040
563,19758
564,19496
565,19193
566,18911
567,18629
568,18344
569,18085
570,17814
571,17528
572,17267
573,16989
574,16728
575,16452
576,16178
577,15879
578,15639
579,15356
580,15083
581,14822
582,14562
583,14318
584,14022
585,13761
586,13485
587,13209
588,12952
589,12710
590,12449
591,12218
592,11967
593,11695
594,11418
595,11213
596,10982
597,10770
598,10535
599,10320
600,10077
601,9851
602,9621
603,9385
604,9152
605,8905
606,8702
607,8492
608,8275
609,8081
610,7886
611,7695
612,7504
613,7282
614,7112
615,6887
616,6698
617,6471
618,6309
619,6121
620,5940
621,5736
622,5574
623,5391
624,5223
625,5038
626,4872
627,4717
628,4550
629,4389
630,4218
631,4039
632,3905
633,3780
634,3629
635,3512
636,3375
637,3247
638,3130
639,3015
640,2905
641,2793
642,2684
643,2549
644,2432
645,2316
646,2214
647,2104
648,2011
649,1906
650,1822
651,1712
652,1633
653,1545
654,1459
655,1376
656,1303
657,1216
658,1144
659,1082
660,999
661,943
662,877
663,826
664,770
665,712
666,668
667,618
668,580
669,535
670,498
671,461
672,420
673,386
674,361
675,329
676,308
677,284
678,259
679,229
680,197
