score,rank
150,21406
151,21403
152,21401
153,21399
154,21399
155,21398
156,21395
157,21395
158,21393
159,21390
160,21389
161,21388
162,21388
163,21386
164,21383
165,21381
166,21380
167,21376
168,21375
169,21373
170,21371
171,21369
172,21366
173,21364
174,21362
175,21361
176,21360
177,21360
178,21360
179,21358
180,21357
181,21355
182,21352
183,21352
184,21352
185,21350
186,21348
187,21344
188,21343
189,21341
190,21338
191,21334
192,21333
193,21331
194,21330
195,21328
196,21326
197,21324
198,21320
199,21315
200,21315
201,21314
202,21311
203,21310
204,21308
205,21306
206,21299
207,21291
208,21286
209,21278
210,21272
211,21269
212,21267
213,21262
214,21259
215,21256
216,21249
217,21243
218,21234
219,21231
220,21225
221,21220
222,21210
223,21207
224,21203
225,21198
226,21195
227,21187
228,21174
229,21167
230,21158
231,21142
232,21129
233,21120
234,21109
235,21098
236,21091
237,21081
238,21068
239,21051
240,21033
241,21011
242,20996
243,20976
244,20956
245,20938
246,20912
247,20882
248,20863
249,20849
250,20830
251,20811
252,20790
253,20771
254,20753
255,20727
256,20711
257,20689
258,20666
259,20643
260,20615
261,20589
262,20555
263,20536
264,20512
265,20484
266,20449
267,20426
268,20397
269,20373
270,20342
271,20313
272,20274
273,20231
274,20199
275,20168
276,20126
277,20080
278,20041
279,20004
280,19972
281,19918
282,19879
283,19842
284,19796
285,19747
286,19705
287,19658
288,19615
289,19574
290,19529
291,19470
292,19423
293,19367
294,19301
295,19246
296,19191
297,19145
298,19075
299,19011
300,18955
301,18890
302,18820
303,18763
304,18707
305,18644
306,18571
307,18515
308,18451
309,18395
310,18327
311,18252
312,18191
313,18125
314,18045
315,17966
316,17903
317,17819
318,17743
319,17676
320,17604
321,17520
322,17437
323,17347
324,17266
325,17170
326,17077
327,16993
328,16923
329,16827
330,16741
331,16642
332,16543
333,16449
334,16347
335,16251
336,16147
337,16060
338,15969
339,15878
340,15782
341,15694
342,15581
343,15500
344,15401
345,15294
346,15191
347,15098
348,15011
349,14912
350,14815
351,14711
352,14625
353,14522
354,14418
355,14323
356,14220
357,14126
358,14056
359,13956
360,13861
361,13761
362,13668
363,13590
364,13501
365,13390
366,13289
367,13180
368,13094
369,12990
370,12877
371,12782
372,12683
373,12579
374,12485
375,12391
376,12268
377,12196
378,12086
379,12000
380,11887
381,11796
382,11682
383,11583
384,11451
385,11357
386,11243
387,11133
388,11039
389,10945
390,10849
391,10753
392,10641
393,10552
394,10461
395,10363
396,10252
397,10138
398,10054
399,9970
400,9879
401,9790
402,9698
403,9589
404,9485
405,9364
406,9277
407,9182
408,9085
409,8972
410,8874
411,8796
412,8698
413,8606
414,8522
415,8431
416,8330
417,8232
418,8123
419,8041
420,7934
421,7858
422,7776
423,7705
424,7611
425,7526
426,7437
427,7355
428,7267
429,7178
430,7089
431,6994
432,6906
433,6832
434,6751
435,6644
436,6563
437,6479
438,6401
439,6318
440,6250
441,6179
442,6113
443,6032
444,5953
445,5868
446,5785
447,5723
448,5648
449,5571
450,5508
451,5432
452,5356
453,5285
454,5199
455,5141
456,5062
457,4991
458,4911
459,4830
460,4768
461,4706
462,4645
463,4585
464,4527
465,4443
466,4377
467,4317
468,4265
469,4197
470,4138
471,4079
472,4028
473,3966
474,3908
475,3838
476,3774
477,3709
478,3660
479,3586
480,3528
481,3469
482,3415
483,3354
484,3293
485,3234
486,3194
487,3137
488,3083
489,3033
490,2975
491,2930
492,2875
493,2834
494,2771
495,2723
496,2686
497,2646
498,2597
499,2553
500,2504
501,2452
502,2411
503,2375
504,2332
505,2286
506,2254
507,2210
508,2157
509,2120
510,2075
511,2028
512,1979
513,1953
514,1921
515,1871
516,1842
517,1803
518,1770
519,1739
520,1705
521,1665
522,1627
523,1597
524,1557
525,1529
526,1505
527,1477
528,1448
529,1420
530,1384
531,1362
532,1329
533,1297
534,1264
535,1238
536,1215
537,1181
538,1156
539,1127
540,1099
541,1069
542,1039
543,1009
544,985
545,958
546,940
547,916
548,888
549,867
550,842
551,823
552,797
553,777
554,751
555,731
556,701
557,678
558,654
559,637
560,622
561,600
562,584
563,568
564,549
565,529
566,512
567,497
568,484
569,470
570,452
571,442
572,432
573,416
574,410
575,398
576,387
577,369
578,355
579,340
580,324
581,314
582,302
583,292
584,282
585,274
586,262
587,251
588,242
589,235
590,222
591,213
592,199
593,191
594,181
595,170
596,161
597,156
598,149
599,143
600,134
601,129
602,120
603,115
604,108
605,105
606,101
607,95
608,90
609,85
610,82
611,78
612,75
613,67
614,66
615,59
616,54
