score,rank
150,44491
151,44491
152,44489
153,44488
154,44487
155,44485
156,44485
157,44483
158,44481
159,44479
160,44477
161,44476
162,44475
163,44475
164,44473
165,44472
166,44472
167,44470
168,44469
169,44468
170,44466
171,44464
172,44463
173,44462
174,44460
175,44459
176,44459
177,44457
178,44457
179,44456
180,44454
181,44452
182,44450
183,44447
184,44445
185,44443
186,44443
187,44442
188,44442
189,44438
190,44436
191,44433
192,44429
193,44428
194,44426
195,44419
196,44414
197,44405
198,44399
199,44398
200,44392
201,44390
202,44386
203,44382
204,44377
205,44374
206,44370
207,44366
208,44362
209,44354
210,44351
211,44343
212,44338
213,44332
214,44323
215,44313
216,44302
217,44296
218,44286
219,44272
220,44264
221,44256
222,44245
223,44237
224,44227
225,44212
226,44197
227,44183
228,44164
229,44149
230,44131
231,44108
232,44092
233,44081
234,44064
235,44048
236,44027
237,44010
238,43987
239,43966
240,43941
241,43912
242,43897
243,43868
244,43845
245,43824
246,43795
247,43766
248,43741
249,43714
250,43682
251,43651
252,43620
253,43594
254,43560
255,43516
256,43477
257,43441
258,43394
259,43352
260,43305
261,43260
262,43223
263,43183
264,43125
265,43078
266,43021
267,42959
268,42914
269,42858
270,42810
271,42738
272,42677
273,42619
274,42551
275,42491
276,42435
277,42350
278,42290
279,42233
280,42158
281,42078
282,42007
283,41947
284,41871
285,41796
286,41718
287,41636
288,41555
289,41482
290,41399
291,41318
292,41234
293,41146
294,41055
295,40954
296,40852
297,40754
298,40664
299,40574
300,40478
301,40375
302,40284
303,40203
304,40102
305,39991
306,39886
307,39803
308,39693
309,39587
310,39476
311,39360
312,39248
313,39137
314,39017
315,38902
316,38790
317,38686
318,38556
319,38426
320,38302
321,38190
322,38044
323,37910
324,37766
325,37628
326,37474
327,37334
328,37215
329,37069
330,36924
331,36778
332,36629
333,36478
334,36327
335,36180
336,36053
337,35894
338,35742
339,35606
340,35462
341,35321
342,35189
343,35038
344,34871
345,34710
346,34558
347,34379
348,34206
349,34032
350,33876
351,33711
352,33562
353,33393
354,33216
355,33039
356,32883
357,32713
358,32514
359,32329
360,32145
361,31987
362,31817
363,31620
364,31431
365,31244
366,31079
367,30916
368,30757
369,30563
370,30398
371,30223
372,30025
373,29828
374,29629
375,29437
376,29248
377,29045
378,28847
379,28644
380,28434
381,28231
382,28063
383,27877
384,27683
385,27469
386,27258
387,27069
388,26857
389,26664
390,26476
391,26299
392,26102
393,25884
394,25692
395,25496
396,25296
397,25112
398,24887
399,24680
400,24449
401,24241
402,24043
403,23830
404,23603
405,23400
406,23197
407,22991
408,22765
409,22577
410,22375
411,22162
412,21957
413,21755
414,21548
415,21343
416,21119
417,20929
418,20720
419,20535
420,20337
421,20127
422,19930
423,19720
424,19510
425,19312
426,19117
427,18910
428,18721
429,18498
430,18286
431,18072
432,17893
433,17706
434,17511
435,17304
436,17102
437,16897
438,16717
439,16511
440,16308
441,16119
442,15926
443,15726
444,15533
445,15352
446,15162
447,14962
448,14793
449,14615
450,14421
451,14214
452,14048
453,13875
454,13700
455,13550
456,13372
457,13186
458,13026
459,12834
460,12659
461,12474
462,12317
463,12162
464,12002
465,11860
466,11701
467,11545
468,11405
469,11235
470,11084
471,10935
472,10789
473,10636
474,10484
475,10345
476,10188
477,10037
478,9903
479,9765
480,9603
481,9464
482,9318
483,9186
484,9067
485,8933
486,8807
487,8674
488,8559
489,8430
490,8314
491,8208
492,8062
493,7938
494,7799
495,7705
496,7595
497,7490
498,7385
499,7300
500,7185
501,7060
502,6944
503,6817
504,6715
505,6589
506,6482
507,6378
508,6272
509,6161
510,6058
511,5950
512,5853
513,5750
514,5632
515,5535
516,5404
517,5306
518,5219
519,5133
520,5043
521,4947
522,4866
523,4775
524,4704
525,4613
526,4529
527,4435
528,4355
529,4265
530,4181
531,4082
532,3997
533,3926
534,3844
535,3774
536,3701
537,3633
538,3559
539,3475
540,3409
541,3342
542,3265
543,3199
544,3134
545,3072
546,2999
547,2939
548,2876
549,2821
550,2743
551,2670
552,2608
553,2553
554,2493
555,2448
556,2401
557,2331
558,2263
559,2204
560,2152
561,2091
562,2038
563,1994
564,1933
565,1887
566,1835
567,1794
568,1754
569,1714
570,1656
571,1612
572,1563
573,1513
574,1472
575,1436
576,1394
577,1351
578,1303
579,1262
580,1217
581,1184
582,1133
583,1096
584,1066
585,1034
586,1005
587,982
588,938
589,913
590,881
591,857
592,826
593,797
594,770
595,737
596,712
597,682
598,663
599,637
600,613
601,597
602,583
603,568
604,551
605,534
606,508
607,492
608,467
609,449
610,426
611,409
612,396
613,384
614,371
615,350
616,336
617,325
618,301
619,284
620,271
621,263
622,259
623,246
624,235
625,229
626,221
627,212
628,202
629,186
630,176
631,163
632,156
633,151
634,145
635,138
636,133
637,125
638,120
639,116
640,113
641,104
