score,rank
201,159059
202,159015
203,158976
204,158932
205,158884
206,158838
207,158791
208,158733
209,158671
210,158612
211,158564
212,158509
213,158447
214,158364
215,158282
216,158201
217,158120
218,158044
219,157975
220,157887
221,157806
222,157711
223,157612
224,157526
225,157430
226,157329
227,157201
228,157102
229,156993
230,156899
231,156799
232,156700
233,156587
234,156481
235,156352
236,156250
237,156115
238,155982
239,155856
240,155714
241,155583
242,155439
243,155309
244,155160
245,155005
246,154851
247,154688
248,154537
249,154379
250,154220
251,154083
252,153941
253,153800
254,153657
255,153486
256,153349
257,153151
258,152987
259,152811
260,152636
261,152457
262,152266
263,152090
264,151891
265,151699
266,151521
267,151318
268,151109
269,150909
270,150721
271,150545
272,150347
273,150146
274,149941
275,149742
276,149519
277,149305
278,149086
279,148850
280,148609
281,148393
282,148168
283,147936
284,147724
285,147492
286,147253
287,147027
288,146772
289,146541
290,146276
291,146019
292,145745
293,145457
294,145198
295,144929
296,144655
297,144408
298,144134
299,143843
300,143568
301,143291
302,142987
303,142697
304,142405
305,142103
306,141820
307,141499
308,141160
309,140865
310,140541
311,140239
312,139909
313,139574
314,139244
315,138899
316,138569
317,138231
318,137861
319,137502
320,137126
321,136790
322,136444
323,136083
324,135713
325,135354
326,134933
327,134534
328,134137
329,133761
330,133408
331,133039
332,132652
333,132219
334,131817
335,131416
336,130979
337,130575
338,130142
339,129700
340,129250
341,128807
342,128390
343,127946
344,127516
345,127076
346,126597
347,126150
348,125753
349,125270
350,124822
351,124333
352,123822
353,123334
354,122843
355,122344
356,121857
357,121378
358,120880
359,120372
360,119869
361,119344
362,118850
363,118337
364,117828
365,117324
366,116802
367,116312
368,115801
369,115304
370,114811
371,114317
372,113781
373,113236
374,112716
375,112159
376,111587
377,111059
378,110504
379,109935
380,109377
381,108878
382,108333
383,107812
384,107280
385,106697
386,106088
387,105532
388,104965
389,104351
390,103792
391,103244
392,102691
393,102164
394,101561
395,100942
396,100368
397,99802
398,99272
399,98736
400,98180
401,97561
402,96979
403,96378
404,95815
405,95217
406,94665
407,94107
408,93498
409,92874
410,92281
411,91692
412,91105
413,90535
414,89921
415,89332
416,88755
417,88192
418,87602
419,87002
420,86396
421,85751
422,85176
423,84556
424,84004
425,83393
426,82839
427,82263
428,81686
429,81111
430,80506
431,79877
432,79262
433,78693
434,78105
435,77488
436,76911
437,76340
438,75748
439,75198
440,74594
441,74004
442,73435
443,72804
444,72191
445,71593
446,70972
447,70418
448,69812
449,69211
450,68615
451,68016
452,67399
453,66806
454,66206
455,65652
456,65051
457,64458
458,63834
459,63233
460,62622
461,62006
462,61416
463,60833
464,60218
465,59611
466,59023
467,58419
468,57833
469,57255
470,56656
471,56024
472,55455
473,54884
474,54323
475,53702
476,53144
477,52536
478,51918
479,51313
480,50721
481,50146
482,49592
483,48981
484,48382
485,47785
486,47212
487,46618
488,46024
489,45447
490,44846
491,44270
492,43691
493,43132
494,42549
495,41936
496,41369
497,40786
498,40201
499,39597
500,39038
501,38465
502,37895
503,37275
504,36715
505,36167
506,35622
507,35075
508,34497
509,33978
510,33397
511,32847
512,32301
513,31755
514,31200
515,30640
516,30099
517,29571
518,29093
519,28586
520,28067
521,27555
522,27033
523,26551
524,26095
525,25611
526,25164
527,24661
528,24205
529,23746
530,23285
531,22781
532,22276
533,21799
534,21360
535,20899
536,20456
537,20034
538,19598
539,19212
540,18810
541,18423
542,17997
543,17553
544,17143
545,16762
546,16411
547,16084
548,15700
549,15351
550,14951
551,14588
552,14237
553,13867
554,13551
555,13190
556,12854
557,12560
558,12254
559,11939
560,11628
561,11343
562,11062
563,10761
564,10472
565,10208
566,9944
567,9683
568,9411
569,9155
570,8880
571,8625
572,8367
573,8126
574,7900
575,7649
576,7436
577,7201
578,6965
579,6749
580,6512
581,6298
582,6103
583,5886
584,5702
585,5497
586,5308
587,5125
588,4969
589,4802
590,4620
591,4459
592,4291
593,4135
594,3970
595,3803
596,3650
597,3510
598,3380
599,3261
600,3121
601,2999
602,2871
603,2738
604,2612
605,2496
606,2380
607,2274
608,2165
609,2060
610,1971
611,1859
612,1774
613,1689
614,1612
615,1530
636,365
637,343
638,316
639,289
640,268
641,252
642,232
643,219
644,196
645,181
646,162
647,144
648,132
649,118
650,114
651,105
652,7
653,7
654,7
655,4
656,7
657,4
658,3
659,5
660,4
661,4
662,4
663,8
664,6
665,2
666,4
667,1
668,3
669,3
670,1
671,10
