score,rank
201,285137
202,285118
203,285099
204,285084
205,285065
206,285036
207,285017
208,284986
209,284967
210,284942
211,284912
212,284876
213,284855
214,284824
215,284799
216,284754
217,284717
218,284679
219,284644
220,284602
221,284569
222,284520
223,284467
224,284415
225,284363
226,284320
227,284265
228,284214
229,284158
230,284109
231,284042
232,283978
233,283929
234,283855
235,283796
236,283737
237,283662
238,283595
239,283517
240,283438
241,283352
242,283261
243,283174
244,283076
245,282985
246,282901
247,282809
248,282730
249,282635
250,282532
251,282422
252,282319
253,282208
254,282103
255,282007
256,281901
257,281784
258,281665
259,281548
260,281457
261,281334
262,281222
263,281097
264,280963
265,280844
266,280736
267,280600
268,280492
269,280364
270,280235
271,280101
272,279968
273,279837
274,279688
275,279535
276,279382
277,279219
278,279081
279,278948
280,278808
281,278670
282,278533
283,278360
284,278194
285,278030
286,277848
287,277646
288,277493
289,277319
290,277124
291,276943
292,276771
293,276576
294,276403
295,276243
296,276060
297,275873
298,275679
299,275473
300,275283
301,275058
302,274855
303,274654
304,274458
305,274258
306,274012
307,273813
308,273572
309,273370
310,273153
311,272907
312,272684
313,272481
314,272278
315,272074
316,271833
317,271617
318,271424
319,271212
320,270965
321,270720
322,270504
323,270226
324,269981
325,269747
326,269490
327,269224
328,268972
329,268719
330,268454
331,268176
332,267899
333,267598
334,267317
335,267039
336,266764
337,266468
338,266190
339,265917
340,265635
341,265340
342,265037
343,264703
344,264384
345,264060
346,263720
347,263399
348,263068
349,262715
350,262404
351,262045
352,261710
353,261378
354,261016
355,260629
356,260271
357,259902
358,259523
359,259168
360,258798
361,258405
362,257971
363,257593
364,257194
365,256785
366,256382
367,255962
368,255556
369,255153
370,254696
371,254236
372,253769
373,253310
374,252860
375,252414
376,251956
377,251526
378,251025
379,250518
380,250022
381,249511
382,248960
383,248442
384,247934
385,247450
386,246941
387,246418
388,245876
389,245347
390,244810
391,244263
392,243685
393,243117
394,242535
395,241954
396,241346
397,240786
398,240172
399,239610
400,239022
401,238412
402,237799
403,237142
404,236492
405,235814
406,235160
407,234505
408,233844
409,233144
410,232483
411,231763
412,231064
413,230419
414,229724
415,229013
416,228305
417,227515
418,226753
419,225990
420,225240
421,224470
422,223726
423,222890
424,222188
425,221379
426,220548
427,219660
428,218798
429,217958
430,217115
431,216287
432,215385
433,214483
434,213592
435,212661
436,211706
437,210794
438,209840
439,208903
440,207974
441,207031
442,206089
443,205156
444,204171
445,203185
446,202192
447,201138
448,200108
449,199106
450,198107
451,197058
452,195996
453,194956
454,193939
455,192886
456,191818
457,190795
458,189715
459,188550
460,187444
461,186296
462,185163
463,184036
464,182867
465,181704
466,180598
467,179376
468,178172
469,176950
470,175756
471,174553
472,173260
473,172044
474,170784
475,169561
476,168281
477,167019
478,165707
479,164474
480,163208
481,161923
482,160653
483,159303
484,157979
485,156727
486,155394
487,154064
488,152761
489,151428
490,150131
491,148811
492,147506
493,146179
494,144852
495,143493
496,142120
497,140781
498,139427
499,138066
500,136697
501,135311
502,133998
503,132612
504,131300
505,129959
506,128604
507,127302
508,125930
509,124502
510,123125
511,121774
512,120516
513,119159
514,117852
515,116517
516,115184
517,113885
518,112550
519,111173
520,109853
521,108521
522,107215
523,105850
524,104542
525,103186
526,101970
527,100720
528,99472
529,98224
530,96909
531,95645
532,94358
533,93115
534,91817
535,90612
536,89387
537,88210
538,87034
539,85830
540,84632
541,83435
542,82224
543,81046
544,79885
545,78714
546,77591
547,76455
548,75371
549,74293
550,73146
551,72082
552,70973
553,69861
554,68756
555,67663
556,66607
557,65495
558,64418
559,63366
560,62346
561,61331
562,60320
563,59355
564,58405
565,57415
566,56489
567,55517
568,54557
569,53602
570,52697
571,51826
572,50867
573,49943
574,49048
575,48181
576,47329
577,46489
578,45659
579,44842
580,44025
581,43189
582,42423
583,41646
584,40834
585,40121
586,39299
587,38530
588,37791
589,37030
590,36279
591,35509
592,34767
593,34051
594,33326
595,32620
596,31895
597,31239
598,30540
599,29903
600,29273
601,28599
602,27927
603,27268
604,26672
605,26082
606,25486
607,24881
608,24289
609,23711
610,23161
611,22591
612,22005
613,21470
614,20924
615,20394
616,19862
617,19354
618,18839
619,18284
620,17788
621,17273
622,16744
623,16292
624,15833
625,15390
626,14937
627,14481
628,14023
629,13570
630,13144
631,12700
632,12303
633,11901
634,11512
635,11125
636,10756
637,10385
638,9996
639,9651
640,9303
641,8939
642,8570
643,8254
644,7954
645,7640
646,7339
647,7010
648,6748
649,6467
650,6190
651,5888
652,5624
653,5371
654,5146
655,4882
656,4640
657,4410
658,4194
659,3975
660,3780
661,3577
670,2063
671,1898
672,1779
673,1644
674,1529
675,1405
676,1292
677,1189
678,1097
679,1000
680,918
681,839
682,765
683,702
684,630
685,566
686,504
687,455
688,400
689,353
690,305
691,261
692,230
693,194
694,170
695,140
696,119
697,104
698,14
699,6
700,15
701,8
702,11
703,11
704,6
705,18
