score,rank
150,662199
151,662153
152,662114
153,662065
154,662004
155,661961
156,661918
157,661855
158,661799
159,661747
160,661674
161,661618
162,661545
163,661490
164,661422
165,661380
166,661329
167,661265
168,661187
169,661126
170,661046
171,660965
172,660875
173,660801
174,660710
175,660622
176,660542
177,660443
178,660354
179,660255
180,660155
181,660054
182,659949
183,659839
184,659723
185,659623
186,659505
187,659375
188,659254
189,659116
190,658965
191,658845
192,658689
193,658524
194,658334
195,658163
196,658009
197,657845
198,657657
199,657481
200,657318
201,657088
202,656893
203,656690
204,656487
205,656261
206,656038
207,655814
208,655569
209,655289
210,655046
211,654775
212,654518
213,654243
214,653967
215,653687
216,653363
217,653062
218,652746
219,652443
220,652140
221,651806
222,651466
223,651093
224,650713
225,650304
226,649941
227,649520
228,649105
229,648669
230,648238
231,647808
232,647380
233,646975
234,646566
235,646108
236,645696
237,645211
238,644744
239,644268
240,643747
241,643238
242,642677
243,642138
244,641617
245,641014
246,640430
247,639834
248,639240
249,638648
250,638045
251,637390
252,636717
253,636088
254,635364
255,634684
256,633985
257,633316
258,632628
259,631927
260,631179
261,630425
262,629667
263,628876
264,628048
265,627240
266,626393
267,625556
268,624732
269,623853
270,622957
271,622077
272,621223
273,620286
274,619361
275,618417
276,617425
277,616524
278,615493
279,614513
280,613468
281,612495
282,611401
283,610351
284,609238
285,608154
286,607027
287,605861
288,604731
289,603626
290,602378
291,601199
292,600015
293,598819
294,597578
295,596304
296,595008
297,593773
298,592488
299,591120
300,589772
301,588470
302,587211
303,585891
304,584578
305,583181
306,581831
307,580422
308,579006
309,577542
310,576103
311,574687
312,573204
313,571676
314,570180
315,568665
316,567101
317,565498
318,563917
319,562297
320,560758
321,559184
322,557558
323,555977
324,554304
325,552597
326,550988
327,549282
328,547572
329,545900
330,544192
331,542506
332,540783
333,539011
334,537273
335,535640
336,533911
337,532140
338,530362
339,528561
340,526738
341,525004
342,523098
343,521227
344,519314
345,517485
346,515660
347,513780
348,511900
349,509963
350,508060
351,506272
352,504437
353,502558
354,500643
355,498726
356,496790
357,494805
358,492915
359,490925
360,488995
361,486988
362,485005
363,483015
364,481085
365,479035
366,477076
367,475078
368,472982
369,470989
370,468992
371,466982
372,464991
373,463003
374,461004
375,458947
376,456877
377,454881
378,452802
379,450817
380,448774
381,446688
382,444568
383,442499
384,440416
385,438338
386,436239
387,434081
388,431938
389,429853
390,427759
391,425714
392,423592
393,421456
394,419359
395,417219
396,415139
397,412961
398,410876
399,408719
400,406590
401,404476
402,402336
403,400202
404,397949
405,395865
406,393715
407,391481
408,389229
409,387026
410,384787
411,382430
412,380285
413,378040
414,375831
415,373580
416,371360
417,369155
418,366928
419,364660
420,362436
421,360136
422,357871
423,355570
424,353289
425,350938
426,348692
427,346388
428,344061
429,341713
430,339373
431,337011
432,334743
433,332445
434,330101
435,327721
436,325411
437,323054
438,320653
439,318170
440,315758
441,313377
442,311001
443,308701
444,306314
445,303914
446,301535
447,299021
448,296656
449,294218
450,291720
451,289157
452,286804
453,284410
454,282000
455,279490
456,277028
457,274532
458,272085
459,269630
460,267033
461,264588
462,262108
463,259680
464,257231
465,254625
466,252161
467,249582
468,247086
469,244629
470,242134
471,239634
472,237087
473,234594
474,232015
475,229475
476,226993
477,224502
478,222089
479,219565
480,217082
481,214577
482,212100
483,209603
484,207177
485,204798
486,202356
487,199902
488,197469
489,195066
490,192683
491,190267
492,187890
493,185514
494,183160
495,180819
496,178401
497,176140
498,173738
499,171428
500,169112
501,166824
502,164520
503,162278
504,159961
505,157763
506,155449
507,153187
508,151033
509,148798
510,146676
511,144528
512,142414
513,140290
514,138189
515,136103
516,134072
517,132026
518,130004
519,127967
520,125938
521,123904
522,121949
523,119957
524,118011
525,116109
526,114157
527,112308
528,110513
529,108695
530,106880
531,105100
532,103324
533,101507
534,99759
535,98072
536,96378
537,94758
538,93123
539,91501
540,89831
541,88208
542,86608
543,85023
544,83459
545,81925
546,80420
547,78933
548,77422
549,75995
550,74534
551,73143
552,71818
553,70428
554,69086
555,67713
556,66387
557,65100
558,63822
559,62577
560,61315
561,60077
562,58850
563,57650
564,56446
565,55310
566,54152
567,52980
568,51901
569,50844
570,49768
571,48716
572,47689
573,46704
574,45630
575,44558
576,43561
577,42594
578,41576
579,40627
580,39680
581,38794
582,37918
583,37053
584,36233
585,35412
586,34597
587,33788
588,32972
589,32222
590,31426
591,30680
592,29958
593,29216
594,28500
595,27755
596,27050
597,26361
598,25680
599,24985
600,24346
601,23708
602,23063
603,22493
604,21851
605,21260
606,20656
607,20108
608,19549
609,18997
610,18428
611,17860
612,17313
613,16804
614,16332
615,15871
616,15415
617,14950
618,14518
619,14070
620,13638
621,13188
622,12764
623,12369
624,11938
625,11522
626,11151
627,10755
628,10414
629,10054
630,9675
631,9303
632,8962
633,8634
634,8333
635,8049
636,7732
637,7454
638,7198
639,6910
640,6627
641,6344
642,6074
643,5809
644,5549
645,5296
646,5049
647,4828
648,4593
649,4377
650,4173
651,3981
652,3788
653,3572
654,3390
655,3199
656,3014
657,2830
658,2669
659,2522
660,2367
661,2231
662,2106
663,1971
664,1842
665,1713
666,1597
667,1497
668,1398
669,1312
670,1217
671,1119
672,1036
673,962
674,890
675,816
676,725
677,662
678,601
679,550
680,498
681,446
682,406
683,357
684,323
685,300
686,263
687,230
688,202
689,188
690,174
691,148
692,129
693,112
694,100
695,86
696,71
697,62
698,48
