score,rank
443,35877
444,35629
445,35357
446,35120
447,34852
448,34590
449,34344
450,34070
451,33812
452,33548
453,33288
454,33041
455,32782
456,32503
457,32266
458,32024
459,31742
460,31489
461,31197
462,30966
463,30681
464,30406
465,30141
466,29883
467,29583
468,29312
469,29009
470,28696
471,28401
472,28130
473,27891
474,27610
475,27313
476,27075
477,26822
478,26525
479,26259
480,26003
481,25705
482,25409
483,25125
484,24854
485,24597
486,24310
487,24012
488,23730
489,23434
490,23133
491,22825
492,22562
493,22260
494,21975
495,21664
496,21375
497,21083
498,20809
499,20534
500,20270
501,20000
502,19725
503,19461
504,19172
505,18892
506,18627
507,18367
508,18101
509,17830
510,17574
511,17329
512,17068
513,16784
514,16518
515,16281
516,16018
517,15758
518,15516
519,15260
520,15009
521,14758
522,14525
523,14261
524,14004
525,13773
526,13534
527,13288
528,13016
529,12778
530,12559
531,12365
532,12120
533,11874
534,11668
535,11462
536,11238
537,11024
538,10833
539,10614
540,10416
541,10171
542,9965
543,9762
544,9550
545,9377
546,9173
547,8983
548,8802
549,8599
550,8406
551,8229
552,8034
553,7852
554,7669
555,7471
556,7292
557,7122
558,6960
559,6769
560,6593
561,6430
562,6303
563,6156
564,6026
565,5870
566,5712
567,5570
568,5429
569,5289
570,5154
571,5027
572,4893
573,4750
574,4632
575,4499
576,4382
577,4245
578,4111
579,3990
580,3874
581,3741
582,3632
583,3513
584,3411
585,3305
586,3204
587,3093
588,2994
589,2890
590,2792
591,2709
592,2592
593,2505
594,2414
595,2329
596,2238
597,2164
598,2074
599,1990
600,1918
601,1835
602,1770
603,1691
604,1624
605,1561
606,1501
607,1446
608,1392
609,1321
610,1270
611,1216
612,1173
613,1127
614,1082
615,1033
616,993
617,941
618,894
619,847
620,807
621,765
622,724
623,681
624,649
625,611
626,576
627,536
628,502
629,473
630,448
631,417
632,396
633,374
634,356
635,338
636,325
637,306
638,290
639,274
640,256
641,232
642,214
643,190
644,179
645,165
646,155
647,140
648,132
649,123
650,110
651,100
652,92
653,84
654,76
655,73
656,67
657,60
658,52
659,47
660,42
661,37
662,34
663,31
664,26
665,22
666,20
667,17
668,15
669,14
670,13
671,11
672,8
