score,rank
419,120285
420,119735
421,119087
422,118513
423,117869
424,117246
425,116592
426,115956
427,115287
428,114607
429,113906
430,113203
431,112545
432,111890
433,111236
434,110556
435,109853
436,109151
437,108397
438,107673
439,106950
440,106253
441,105575
442,104874
443,104130
444,103356
445,102587
446,101840
447,101165
448,100390
449,99650
450,98899
451,98179
452,97419
453,96680
454,95956
455,95192
456,94417
457,93626
458,92858
459,92077
460,91318
461,90514
462,89712
463,88938
464,88112
465,87339
466,86533
467,85768
468,84997
469,84226
470,83433
471,82616
472,81835
473,81024
474,80265
475,79488
476,78699
477,77883
478,77128
479,76350
480,75532
481,74782
482,73963
483,73161
484,72345
485,71559
486,70822
487,70087
488,69326
489,68604
490,67880
491,67158
492,66383
493,65575
494,64820
495,64106
496,63361
497,62638
498,61926
499,61190
500,60425
501,59736
502,59009
503,58353
504,57634
505,56932
506,56271
507,55564
508,54898
509,54166
510,53491
511,52818
512,52162
513,51476
514,50811
515,50175
516,49507
517,48861
518,48238
519,47574
520,46928
521,46275
522,45645
523,44980
524,44351
525,43709
526,43091
527,42482
528,41878
529,41318
530,40723
531,40170
532,39578
533,39021
534,38457
535,37878
536,37306
537,36748
538,36196
539,35615
540,35110
541,34575
542,34022
543,33493
544,32969
545,32426
546,31909
547,31400
548,30900
549,30360
550,29847
551,29383
552,28893
553,28419
554,27910
555,27461
556,26991
557,26540
558,26054
559,25587
560,25129
561,24667
562,24202
563,23758
564,23271
565,22830
566,22394
567,21967
568,21572
569,21165
570,20780
571,20373
572,19992
573,19575
574,19228
575,18868
576,18480
577,18084
578,17684
579,17314
580,16930
581,16578
582,16211
583,15846
584,15465
585,15115
586,14786
587,14435
588,14075
589,13739
590,13425
591,13109
592,12790
593,12499
594,12172
595,11864
596,11572
597,11263
598,10984
599,10738
600,10452
601,10176
602,9870
603,9610
604,9341
605,9100
606,8869
607,8610
608,8374
609,8126
610,7886
611,7657
612,7414
613,7158
614,6939
615,6693
616,6508
617,6298
618,6102
619,5917
620,5728
621,5536
622,5347
623,5193
624,5001
625,4813
626,4626
627,4457
628,4305
629,4143
630,3984
631,3837
632,3698
633,3572
634,3440
635,3325
636,3186
637,3077
638,2959
639,2840
640,2722
641,2601
642,2498
643,2396
644,2292
645,2197
646,2097
647,2000
648,1896
649,1795
650,1691
651,1601
652,1512
653,1415
654,1340
655,1278
656,1211
657,1150
658,1085
659,1017
660,942
661,876
662,823
663,774
664,724
665,679
666,644
667,609
668,571
669,520
670,478
671,449
672,415
673,389
674,368
675,343
676,322
677,305
678,279
679,256
680,230
681,203
682,183
683,164
684,150
685,135
686,125
687,119
688,105
689,95
690,84
691,73
692,64
693,54
694,45
695,38
696,35
697,27
698,25
699,23
700,20
701,19
702,16
703,15
704,12
705,10
