score,rank
100,294878
101,294870
102,294861
103,294853
104,294848
105,294842
106,294833
107,294818
108,294805
109,294801
110,294794
111,294783
112,294774
113,294763
114,294756
115,294744
116,294736
117,294724
118,294715
119,294706
120,294702
121,294695
122,294684
123,294670
124,294658
125,294652
126,294641
127,294634
128,294626
129,294619
130,294606
131,294594
132,294581
133,294569
134,294562
135,294547
136,294532
137,294517
138,294511
139,294504
140,294487
141,294461
142,294446
143,294437
144,294426
145,294408
146,294390
147,294358
148,294331
149,294312
150,294287
151,294266
152,294236
153,294204
154,294169
155,294146
156,294113
157,294076
158,294046
159,294005
160,293971
161,293946
162,293917
163,293885
164,293848
165,293820
166,293768
167,293729
168,293703
169,293672
170,293640
171,293608
172,293564
173,293533
174,293485
175,293428
176,293391
177,293345
178,293302
179,293252
180,293197
181,293135
182,293097
183,293038
184,292996
185,292943
186,292894
187,292844
188,292797
189,292743
190,292681
191,292622
192,292560
193,292495
194,292430
195,292378
196,292320
197,292257
198,292195
199,292117
200,292048
201,291974
202,291904
203,291817
204,291725
205,291649
206,291546
207,291478
208,291378
209,291297
210,291186
211,291082
212,290977
213,290870
214,290768
215,290656
216,290532
217,290401
218,290275
219,290132
220,289998
221,289849
222,289720
223,289562
224,289397
225,289232
226,289067
227,288887
228,288687
229,288507
230,288316
231,288124
232,287919
233,287699
234,287475
235,287277
236,287071
237,286829
238,286592
239,286316
240,286062
241,285784
242,285555
243,285272
244,284993
245,284729
246,284451
247,284163
248,283859
249,283538
250,283192
251,282862
252,282506
253,282170
254,281807
255,281425
256,281056
257,280649
258,280232
259,279823
260,279382
261,278996
262,278568
263,278135
264,277693
265,277211
266,276775
267,276294
268,275813
269,275323
270,274857
271,274374
272,273880
273,273323
274,272803
275,272290
276,271723
277,271097
278,270517
279,269929
280,269345
281,268716
282,268128
283,267548
284,266941
285,266366
286,265755
287,265143
288,264523
289,263867
290,263193
291,262532
292,261809
293,261114
294,260457
295,259767
296,259067
297,258347
298,257641
299,256949
300,256223
301,255478
302,254698
303,253910
304,253133
305,252315
306,251506
307,250754
308,249928
309,249129
310,248276
311,247441
312,246642
313,245813
314,244963
315,244113
316,243305
317,242473
318,241666
319,240814
320,239985
321,239093
322,238202
323,237308
324,236464
325,235593
326,234734
327,233899
328,232985
329,232113
330,231213
331,230275
332,229355
333,228409
334,227456
335,226538
336,225602
337,224682
338,223719
339,222710
340,221710
341,220802
342,219828
343,218844
344,217843
345,216920
346,215937
347,214936
348,213954
349,212989
350,212000
351,211007
352,209971
353,208949
354,207949
355,206994
356,205993
357,204993
358,203959
359,202961
360,201941
361,200951
362,199912
363,198853
364,197822
365,196771
366,195792
367,194764
368,193750
369,192752
370,191621
371,190534
372,189528
373,188421
374,187368
375,186338
376,185180
377,184128
378,183025
379,182018
380,180978
381,179899
382,178839
383,177768
384,176677
385,175518
386,174452
387,173426
388,172341
389,171268
390,170182
391,169087
392,167994
393,166875
394,165743
395,164638
396,163511
397,162429
398,161277
399,160150
400,159005
401,157882
402,156741
403,155649
404,154525
405,153412
406,152278
407,151167
408,150097
409,148971
410,147851
411,146737
412,145621
413,144457
414,143371
415,142276
416,141131
417,140054
418,138922
419,137769
420,136741
421,135687
422,134588
423,133461
424,132368
425,131265
426,130162
427,129089
428,127964
429,126827
430,125706
431,124653
432,123536
433,122442
434,121289
435,120186
436,119080
437,117981
438,116902
439,115785
440,114692
441,113589
442,112587
443,111475
444,110374
445,109240
446,108155
447,107095
448,105964
449,104907
450,103819
