score,rank
100,433366
101,433359
102,433353
103,433346
104,433340
105,433333
106,433323
107,433312
108,433296
109,433292
110,433280
111,433273
112,433261
113,433250
114,433244
115,433232
116,433227
117,433224
118,433215
119,433210
120,433200
121,433188
122,433186
123,433180
124,433171
125,433159
126,433152
127,433144
128,433138
129,433131
130,433125
131,433121
132,433116
133,433107
134,433096
135,433090
136,433084
137,433074
138,433059
139,433049
140,433045
141,433037
142,433028
143,433013
144,433005
145,432993
146,432981
147,432969
148,432954
149,432936
150,432919
151,432909
152,432894
153,432870
154,432855
155,432838
156,432817
157,432798
158,432778
159,432753
160,432727
161,432709
162,432685
163,432664
164,432643
165,432625
166,432603
167,432581
168,432557
169,432540
170,432515
171,432489
172,432455
173,432430
174,432401
175,432379
176,432351
177,432323
178,432293
179,432262
180,432231
181,432198
182,432170
183,432131
184,432099
185,432064
186,432024
187,431982
188,431942
189,431902
190,431855
191,431814
192,431776
193,431729
194,431665
195,431617
196,431574
197,431527
198,431478
199,431424
200,431360
201,431324
202,431256
203,431213
204,431162
205,431096
206,431037
207,430980
208,430920
209,430852
210,430793
211,430712
212,430632
213,430552
214,430475
215,430388
216,430295
217,430191
218,430072
219,429995
220,429892
221,429804
222,429704
223,429592
224,429470
225,429344
226,429232
227,429108
228,428992
229,428883
230,428735
231,428592
232,428461
233,428318
234,428177
235,428019
236,427869
237,427707
238,427550
239,427368
240,427171
241,426994
242,426801
243,426607
244,426408
245,426219
246,426005
247,425781
248,425574
249,425361
250,425106
251,424872
252,424624
253,424361
254,424107
255,423858
256,423577
257,423336
258,423058
259,422794
260,422490
261,422204
262,421889
263,421591
264,421299
265,420980
266,420686
267,420373
268,420091
269,419754
270,419440
271,419142
272,418789
273,418434
274,418103
275,417718
276,417353
277,417020
278,416654
279,416272
280,415896
281,415514
282,415122
283,414742
284,414350
285,413950
286,413538
287,413124
288,412723
289,412327
290,411920
291,411485
292,411079
293,410659
294,410251
295,409791
296,409346
297,408878
298,408456
299,407979
300,407474
301,407028
302,406559
303,406114
304,405652
305,405203
306,404696
307,404211
308,403742
309,403232
310,402757
311,402260
312,401760
313,401214
314,400712
315,400192
316,399679
317,399142
318,398580
319,398028
320,397455
321,396964
322,396401
323,395868
324,395278
325,394691
326,394126
327,393535
328,392953
329,392380
330,391774
331,391191
332,390606
333,390006
334,389395
335,388763
336,388115
337,387490
338,386840
339,386177
340,385550
