score,rank
200,119161
201,119109
202,119054
203,118997
204,118951
205,118889
206,118828
207,118769
208,118703
209,118642
210,118582
211,118505
212,118446
213,118389
214,118323
215,118247
216,118178
217,118101
218,118027
219,117944
220,117860
221,117746
222,117660
223,117550
224,117450
225,117364
226,117266
227,117181
228,117082
229,116989
230,116885
231,116791
232,116674
233,116553
234,116441
235,116342
236,116226
237,116109
238,115980
239,115852
240,115729
241,115589
242,115461
243,115329
244,115172
245,115036
246,114883
247,114745
248,114581
249,114456
250,114288
251,114128
252,113961
253,113816
254,113657
255,113501
256,113317
257,113131
258,112981
259,112807
260,112624
261,112440
262,112246
263,112038
264,111842
265,111647
266,111446
267,111224
268,111015
269,110818
270,110636
271,110418
272,110200
273,109977
274,109736
275,109513
276,109281
277,109066
278,108839
279,108589
280,108325
281,108047
282,107790
283,107554
284,107290
285,107026
286,106742
287,106463
288,106204
289,105908
290,105638
291,105339
292,105070
293,104768
294,104430
295,104105
296,103777
297,103507
298,103181
299,102846
300,102510
301,102195
302,101847
303,101497
304,101117
305,100760
306,100354
307,99995
308,99606
309,99249
310,98884
311,98464
312,98081
313,97705
314,97314
315,96899
316,96497
317,96054
318,95597
319,95205
320,94762
321,94330
322,93875
323,93462
324,93031
325,92582
326,92135
327,91711
328,91246
329,90725
330,90257
331,89743
332,89265
333,88839
334,88369
335,87917
336,87427
337,86926
338,86464
339,85980
340,85469
341,84968
342,84493
343,83974
344,83478
345,82956
346,82448
347,81937
348,81390
349,80859
350,80383
351,79853
352,79341
353,78808
354,78323
355,77790
356,77280
357,76763
358,76264
359,75762
360,75198
361,74667
362,74084
363,73592
364,73039
365,72512
366,71974
367,71456
368,70927
369,70384
370,69834
371,69282
372,68725
373,68198
374,67693
375,67174
376,66647
377,66136
378,65587
379,65039
380,64536
381,64032
382,63523
383,62993
384,62457
385,61957
386,61483
387,60994
388,60523
389,60026
390,59523
391,59001
392,58497
393,58002
394,57480
395,56996
396,56508
397,55999
398,55556
399,55057
400,54558
401,54094
402,53615
403,53141
404,52650
405,52179
406,51712
407,51280
408,50838
409,50360
410,49912
411,49427
412,48968
413,48514
414,48032
415,47576
416,47173
417,46725
418,46270
419,45825
420,45379
421,44923
422,44489
423,44036
424,43539
425,43085
426,42630
427,42209
428,41731
429,41317
430,40844
431,40420
432,39986
433,39562
434,39109
435,38711
436,38277
437,37887
438,37474
439,37070
440,36677
441,36271
442,35856
443,35455
444,35028
445,34629
446,34243
447,33855
448,33481
449,33077
450,32672
451,32280
452,31888
453,31494
454,31108
455,30716
456,30333
457,29987
458,29625
459,29234
460,28881
461,28557
462,28196
463,27844
464,27482
465,27136
466,26785
467,26418
468,26075
469,25758
470,25427
471,25085
472,24774
473,24444
474,24125
475,23769
476,23454
477,23117
478,22829
479,22533
480,22257
481,21959
482,21649
483,21363
484,21061
485,20796
486,20508
487,20194
488,19909
489,19655
490,19383
491,19122
492,18817
493,18556
494,18290
495,18022
496,17780
497,17548
498,17256
499,16990
500,16739
501,16441
502,16196
503,15915
504,15679
505,15411
506,15152
507,14929
508,14702
509,14453
510,14210
511,13971
512,13734
513,13511
514,13276
515,13031
516,12819
517,12590
518,12346
519,12149
520,11918
521,11700
522,11478
523,11262
524,11053
525,10837
526,10620
527,10417
528,10216
529,9982
530,9781
531,9579
532,9393
533,9192
534,8997
535,8808
536,8626
537,8448
538,8248
539,8078
540,7916
541,7737
542,7543
543,7396
544,7246
545,7097
546,6937
547,6769
548,6623
549,6461
550,6318
551,6179
552,6012
553,5863
554,5701
555,5551
556,5404
557,5273
558,5128
559,5015
560,4884
561,4749
562,4633
563,4502
564,4390
565,4274
566,4178
567,4063
568,3954
569,3827
570,3714
571,3607
572,3504
573,3394
574,3300
575,3209
576,3117
577,3030
578,2929
579,2847
580,2769
581,2664
582,2563
583,2489
584,2401
585,2320
586,2251
587,2177
588,2109
589,2041
590,1976
591,1897
592,1826
593,1754
594,1686
595,1633
596,1568
597,1508
598,1427
599,1363
600,1298
601,1256
602,1209
603,1151
604,1110
605,1056
606,997
607,943
608,897
609,860
610,833
611,788
612,745
613,702
614,671
615,642
616,609
617,574
618,544
619,520
620,498
621,472
622,441
623,418
624,388
625,363
626,337
627,318
628,301
629,283
630,260
631,239
632,219
633,207
634,196
635,182
636,168
637,159
638,149
639,131
640,121
641,108
642,92
643,83
644,72
645,65
646,58
647,53
648,46
649,41
650,31
651,27
652,24
653,21
654,18
655,17
656,14
657,13
658,11
659,10
