score,rank
466,94029
467,93265
468,92482
469,91666
470,90893
471,90096
472,89318
473,88513
474,87723
475,86937
476,86186
477,85390
478,84598
479,83821
480,83036
481,82331
482,81568
483,80808
484,80027
485,79281
486,78531
487,77719
488,76948
489,76152
490,75400
491,74624
492,73856
493,73110
494,72366
495,71668
496,70945
497,70205
498,69486
499,68780
500,68059
501,67293
502,66552
503,65853
504,65115
505,64400
506,63691
507,62952
508,62265
509,61562
510,60816
511,60088
512,59388
513,58653
514,57961
515,57261
516,56573
517,55916
518,55185
519,54487
520,53762
521,53023
522,52327
523,51658
524,50969
525,50287
526,49589
527,48919
528,48237
529,47549
530,46863
531,46142
532,45505
533,44829
534,44180
535,43533
536,42830
537,42192
538,41536
539,40932
540,40284
541,39660
542,39069
543,38447
544,37823
545,37207
546,36540
547,35927
548,35323
549,34749
550,34137
551,33560
552,32986
553,32386
554,31814
555,31252
556,30664
557,30069
558,29493
559,28927
560,28344
561,27800
562,27291
563,26743
564,26198
565,25618
566,25124
567,24627
568,24113
569,23608
570,23123
571,22645
572,22164
573,21673
574,21200
575,20726
576,20295
577,19854
578,19426
579,18994
580,18567
581,18128
582,17700
583,17261
584,16831
585,16441
586,16025
587,15625
588,15278
589,14894
590,14497
591,14115
592,13739
593,13338
594,12954
595,12615
596,12265
597,11927
598,11578
599,11224
600,10878
601,10552
602,10201
603,9884
604,9565
605,9241
606,8933
607,8633
608,8351
609,8060
610,7789
611,7526
612,7269
613,6994
614,6730
615,6479
616,6233
617,5971
618,5741
619,5534
620,5315
621,5130
622,4938
623,4767
624,4576
625,4387
626,4175
627,4012
628,3819
629,3653
630,3497
631,3344
632,3178
633,3018
634,2878
635,2703
636,2569
637,2430
638,2321
639,2216
640,2107
641,2004
642,1899
643,1778
644,1672
645,1574
646,1461
647,1369
648,1295
649,1218
650,1156
651,1095
652,1025
653,962
654,890
655,836
656,797
657,746
658,697
659,654
660,608
661,563
662,535
663,499
664,467
665,434
666,406
667,375
668,358
669,336
670,316
671,291
672,273
673,250
674,226
675,203
676,194
677,181
678,167
679,149
680,136
681,124
682,114
683,106
684,92
685,82
686,69
687,68
688,56
689,51
690,39
691,34
692,29
693,26
694,21
695,20
696,17
697,15
698,13
699,12
