score,rank
140,24010
141,24005
142,24000
143,23997
144,23990
145,23982
146,23976
147,23971
148,23962
149,23957
150,23946
151,23938
152,23931
153,23923
154,23914
155,23905
156,23896
157,23884
158,23874
159,23861
160,23851
161,23838
162,23821
163,23807
164,23797
165,23784
166,23768
167,23751
168,23738
169,23718
170,23708
171,23694
172,23679
173,23662
174,23652
175,23638
176,23624
177,23605
178,23587
179,23568
180,23553
181,23535
182,23516
183,23500
184,23483
185,23460
186,23441
187,23417
188,23392
189,23369
190,23345
191,23321
192,23295
193,23276
194,23247
195,23220
196,23191
197,23170
198,23141
199,23113
200,23082
201,23053
202,23016
203,22993
204,22963
205,22931
206,22912
207,22872
208,22837
209,22797
210,22750
211,22704
212,22677
213,22639
214,22601
215,22560
216,22501
217,22458
218,22417
219,22361
220,22330
221,22292
222,22257
223,22224
224,22173
225,22133
226,22096
227,22063
228,22015
229,21974
230,21933
231,21884
232,21843
233,21813
234,21767
235,21728
236,21680
237,21615
238,21572
239,21510
240,21458
241,21394
242,21333
243,21275
244,21215
245,21164
246,21094
247,21028
248,20958
249,20898
250,20818
251,20765
252,20699
253,20631
254,20563
255,20505
256,20445
257,20358
258,20290
259,20208
260,20128
261,20042
262,19981
263,19893
264,19823
265,19741
266,19660
267,19592
268,19501
269,19436
270,19364
271,19289
272,19194
273,19119
274,19066
275,18970
276,18891
277,18823
278,18748
279,18672
280,18576
281,18503
282,18419
283,18343
284,18247
285,18164
286,18068
287,17965
288,17868
289,17765
290,17677
291,17601
292,17505
293,17423
294,17330
295,17255
296,17156
297,17077
298,16990
299,16905
300,16828
301,16731
302,16652
303,16571
304,16495
305,16426
306,16348
307,16268
308,16194
309,16114
310,16042
311,15971
312,15891
313,15810
314,15730
315,15653
316,15574
317,15499
318,15423
319,15347
320,15275
321,15206
322,15138
323,15071
324,15006
325,14935
326,14839
327,14761
328,14689
329,14608
330,14519
331,14418
332,14315
333,14201
334,14105
335,13991
336,13883
337,13775
338,13672
339,13573
340,13472
341,13373
342,13270
343,13163
344,13071
345,12980
346,12885
347,12791
348,12690
349,12594
350,12486
351,12395
352,12288
353,12182
354,12075
355,11967
356,11865
357,11770
358,11673
359,11571
360,11471
361,11364
362,11264
363,11165
364,11058
365,10954
366,10844
367,10747
368,10652
369,10554
370,10466
371,10386
372,10285
373,10191
374,10095
375,9998
376,9894
377,9795
378,9696
379,9599
380,9501
381,9404
382,9313
383,9223
384,9130
385,9026
386,8932
387,8832
388,8735
389,8641
390,8555
391,8465
392,8365
393,8275
394,8187
395,8102
396,8014
397,7926
398,7841
399,7761
400,7686
401,7616
402,7536
403,7447
404,7359
405,7282
406,7202
407,7123
408,7034
409,6957
410,6884
411,6808
412,6741
413,6671
414,6599
415,6521
416,6442
417,6372
418,6298
419,6216
420,6133
421,6063
422,5983
423,5927
424,5859
425,5783
426,5707
427,5637
428,5561
429,5489
430,5425
431,5356
432,5282
433,5212
434,5139
435,5067
436,4988
437,4928
438,4854
439,4794
440,4734
441,4671
442,4611
443,4546
444,4486
445,4429
446,4376
447,4324
448,4269
449,4216
450,4166
451,4108
452,4050
453,3997
454,3950
455,3900
456,3851
457,3792
458,3739
459,3693
460,3639
461,3592
462,3553
463,3512
464,3472
465,3419
466,3376
467,3332
468,3278
469,3232
470,3185
471,3118
472,3067
473,3016
474,2979
475,2935
476,2893
477,2853
478,2809
479,2773
480,2730
481,2687
482,2648
483,2607
484,2560
485,2523
486,2483
487,2442
488,2395
489,2359
490,2326
491,2299
492,2262
493,2209
494,2170
495,2126
496,2090
497,2051
498,2018
499,1981
500,1952
501,1925
502,1890
503,1856
504,1826
505,1795
506,1765
507,1722
508,1678
509,1638
510,1598
511,1566
512,1536
513,1501
514,1466
515,1433
516,1403
517,1374
518,1344
519,1319
520,1292
521,1264
522,1235
523,1208
524,1181
525,1153
526,1128
527,1104
528,1082
529,1060
530,1036
531,1013
532,992
533,970
534,950
535,930
536,906
537,886
538,866
539,845
540,823
541,802
542,782
543,763
544,744
545,726
546,707
547,687
548,666
549,653
550,639
551,626
552,613
553,600
554,582
555,561
556,541
557,521
558,501
559,481
560,464
561,448
562,433
563,418
564,405
565,392
566,378
567,363
568,349
569,337
570,324
571,310
572,296
573,284
574,272
575,261
576,250
577,236
578,223
581,209
582,196
583,187
584,177
586,167
589,157
590,148
591,139
592,130
593,124
594,120
595,113
596,105
599,96
600,92
601,88
603,82
604,78
606,72
607,66
608,65
609,59
610,58
611,52
612,48
613,40
614,34
617,28
619,22
622,18
623,17
625,13
627,10
631,9
636,5
