score,rank
140,52538
141,52533
142,52529
143,52527
144,52523
145,52518
146,52514
147,52509
148,52507
149,52506
150,52502
151,52498
152,52493
153,52489
154,52484
155,52480
156,52475
157,52471
158,52467
159,52463
160,52459
161,52453
162,52445
163,52438
164,52432
165,52427
166,52420
167,52415
168,52410
169,52405
170,52396
171,52389
172,52381
173,52374
174,52366
175,52359
176,52347
177,52337
178,52327
179,52313
180,52300
181,52284
182,52268
183,52254
184,52239
185,52228
186,52213
187,52197
188,52182
189,52166
190,52148
191,52133
192,52116
193,52096
194,52074
195,52053
196,52033
197,52003
198,51971
199,51924
200,51882
201,51833
202,51786
203,51743
204,51697
205,51656
206,51609
207,51563
208,51514
209,51464
210,51408
211,51356
212,51301
213,51250
214,51199
215,51143
216,51080
217,51029
218,50981
219,50917
220,50831
221,50771
222,50715
223,50626
224,50559
225,50499
226,50421
227,50368
228,50293
229,50223
230,50130
231,50049
232,49938
233,49865
234,49769
235,49668
236,49556
237,49452
238,49356
239,49262
240,49168
241,49070
242,48969
243,48868
244,48767
245,48665
246,48558
247,48449
248,48345
249,48232
250,48131
251,48022
252,47910
253,47796
254,47686
255,47578
256,47474
257,47360
258,47246
259,47124
260,47002
261,46881
262,46757
263,46633
264,46505
265,46374
266,46244
267,46113
268,45981
269,45838
270,45685
271,45533
272,45379
273,45228
274,45078
275,44928
276,44774
277,44618
278,44425
279,44261
280,44093
281,43928
282,43763
283,43591
284,43416
285,43246
286,43077
287,42911
288,42752
289,42563
290,42402
291,42221
292,42033
293,41853
294,41667
295,41478
296,41296
297,41116
298,40925
299,40739
300,40557
301,40378
302,40208
303,40038
304,39848
305,39673
306,39491
307,39300
308,39107
309,38909
310,38701
311,38488
312,38275
313,38075
314,37895
315,37724
316,37551
317,37369
318,37184
319,36976
320,36773
321,36577
322,36397
323,36209
324,36013
325,35826
326,35633
327,35437
328,35238
329,35053
330,34856
331,34666
332,34466
333,34270
334,34077
335,33887
336,33674
337,33459
338,33253
339,33036
340,32843
341,32632
342,32430
343,32240
344,32051
345,31862
346,31667
347,31475
348,31286
349,31102
350,30917
351,30716
352,30533
353,30343
354,30136
355,29931
356,29747
357,29566
358,29382
359,29201
360,29021
361,28834
362,28654
363,28465
364,28287
365,28103
366,27929
367,27764
368,27599
369,27418
370,27234
371,27053
372,26873
373,26691
374,26508
375,26324
376,26142
377,25942
378,25745
379,25536
380,25328
381,25135
382,24967
383,24806
384,24636
385,24465
386,24291
387,24109
388,23930
389,23755
390,23585
391,23405
392,23225
393,23049
394,22875
395,22724
396,22540
397,22344
398,22171
399,21999
400,21829
401,21659
402,21498
403,21334
404,21171
405,21009
406,20852
407,20699
408,20543
409,20388
410,20232
411,20067
412,19897
413,19717
414,19513
415,19350
416,19188
417,19028
418,18848
419,18632
420,18404
421,18209
422,18039
423,17919
424,17804
425,17690
426,17566
427,17443
428,17313
429,17182
430,17051
431,16921
432,16792
433,16640
434,16488
435,16338
436,16186
437,16036
438,15888
439,15749
440,15611
441,15479
442,15348
443,15218
444,15087
445,14955
446,14815
447,14683
448,14541
449,14401
450,14260
451,14125
452,13998
453,13863
454,13734
455,13599
456,13471
457,13341
458,13207
459,13077
460,12951
461,12828
462,12702
463,12572
464,12457
465,12337
466,12210
467,12080
468,11956
469,11827
470,11700
471,11589
472,11469
473,11362
474,11250
475,11122
476,10972
477,10845
478,10738
479,10623
480,10499
481,10385
482,10265
483,10150
484,10034
485,9922
486,9819
487,9718
488,9599
489,9481
490,9366
491,9259
492,9141
493,9045
494,8923
495,8810
496,8710
497,8616
498,8513
499,8397
500,8287
501,8180
502,8074
503,7995
504,7898
505,7798
506,7694
507,7609
508,7524
509,7408
510,7323
511,7223
512,7114
513,7027
514,6942
515,6864
516,6783
517,6687
518,6595
519,6499
520,6421
521,6340
522,6247
523,6164
524,6065
525,5971
526,5896
527,5816
528,5736
529,5648
530,5569
531,5485
532,5407
533,5316
534,5234
535,5152
536,5072
537,4989
538,4907
539,4824
540,4753
541,4671
542,4591
543,4511
544,4437
545,4364
546,4297
547,4225
548,4151
549,4084
550,4021
551,3949
552,3884
553,3813
554,3747
555,3682
556,3621
557,3559
558,3496
559,3436
560,3371
561,3306
562,3243
563,3188
564,3132
565,3088
566,3030
567,2980
568,2918
569,2866
570,2809
571,2749
572,2693
573,2641
574,2586
575,2523
576,2468
577,2429
578,2378
579,2327
580,2276
581,2229
582,2179
583,2136
584,2085
585,2035
586,1985
587,1931
588,1890
589,1846
590,1801
591,1761
592,1714
593,1673
594,1628
595,1581
596,1541
597,1503
598,1463
599,1426
600,1391
601,1356
602,1318
603,1283
604,1252
605,1215
606,1180
607,1143
608,1110
609,1080
610,1051
611,1029
612,1003
613,970
614,940
615,914
616,882
617,853
618,823
619,795
620,768
621,747
622,721
623,699
624,677
625,650
626,626
627,602
628,578
629,553
630,532
631,512
632,491
633,471
634,449
635,428
636,404
637,379
638,359
640,337
641,316
642,296
643,272
645,248
646,226
647,203
648,179
649,157
650,137
651,120
653,105
656,90
660,77
662,62
663,47
665,39
666,30
667,23
668,19
669,14
