score,rank
100,171483
101,171477
102,171465
103,171462
104,171457
105,171453
106,171447
107,171442
108,171436
109,171433
110,171431
111,171427
112,171420
113,171417
114,171415
115,171412
116,171404
117,171403
118,171397
119,171395
120,171386
121,171382
122,171378
123,171372
124,171364
125,171361
126,171354
127,171349
128,171332
129,171317
130,171308
131,171298
132,171293
133,171283
134,171271
135,171259
136,171247
137,171235
138,171225
139,171210
140,171195
141,171185
142,171171
143,171161
144,171147
145,171137
146,171117
147,171099
148,171084
149,171062
150,171047
151,171034
152,171012
153,170991
154,170974
155,170952
156,170934
157,170912
158,170891
159,170865
160,170845
161,170814
162,170794
163,170773
164,170749
165,170723
166,170695
167,170666
168,170640
169,170602
170,170577
171,170549
172,170513
173,170481
174,170443
175,170420
176,170388
177,170355
178,170317
179,170284
180,170240
181,170202
182,170169
183,170123
184,170089
185,170053
186,170005
187,169964
188,169917
189,169865
190,169813
191,169766
192,169713
193,169662
194,169601
195,169544
196,169478
197,169408
198,169329
199,169264
200,169193
201,169115
202,169027
203,168963
204,168880
205,168794
206,168719
207,168634
208,168554
209,168446
210,168342
211,168250
212,168143
213,168023
214,167900
215,167775
216,167652
217,167549
218,167428
219,167293
220,167159
221,167039
222,166887
223,166752
224,166623
225,166477
226,166327
227,166158
228,165991
229,165820
230,165670
231,165502
232,165302
233,165127
234,164927
235,164725
236,164530
237,164329
238,164127
239,163950
240,163739
241,163531
242,163314
243,163065
244,162876
245,162649
246,162415
247,162163
248,161918
249,161671
250,161410
251,161152
252,160877
253,160636
254,160371
255,160101
256,159812
257,159554
258,159263
259,158992
260,158726
261,158464
262,158177
263,157888
264,157566
265,157231
266,156905
267,156595
268,156295
269,155953
270,155609
271,155301
272,154966
273,154610
274,154291
275,153947
276,153604
277,153204
278,152833
279,152492
280,152112
281,151732
282,151343
283,150984
284,150587
285,150183
286,149785
287,149394
288,149000
289,148608
290,148221
291,147798
292,147377
293,146967
294,146542
295,146109
296,145698
297,145241
298,144758
299,144319
300,143854
301,143379
302,142909
303,142458
304,142004
305,141531
306,141068
307,140622
308,140111
309,139587
310,139085
311,138598
312,138148
313,137644
314,137155
315,136579
316,136086
317,135580
318,135059
319,134521
320,134018
321,133488
322,132979
323,132502
324,132001
325,131490
326,130983
327,130466
328,129918
329,129406
330,128881
331,128342
332,127829
333,127265
334,126722
335,126186
336,125640
337,125091
338,124530
339,124023
340,123463
341,122924
342,122375
343,121796
344,121247
345,120705
346,120134
347,119611
348,119049
349,118478
350,117917
351,117331
352,116779
353,116176
354,115648
355,115054
356,114524
357,113956
358,113372
359,112794
360,112191
361,111616
362,111030
363,110468
364,109878
365,109268
366,108687
367,108105
368,107565
369,106957
370,106402
371,105854
372,105280
373,104718
374,104151
375,103579
376,103051
377,102502
378,101941
379,101346
380,100799
381,100229
382,99662
383,99058
384,98503
385,97952
386,97360
387,96797
388,96280
389,95709
390,95133
391,94562
392,93985
393,93422
394,92859
395,92299
396,91760
397,91252
398,90732
399,90220
400,89671
401,89123
402,88611
403,88071
404,87586
405,87067
406,86544
407,85972
408,85440
409,84900
410,84378
411,83806
412,83273
413,82768
414,82250
415,81714
416,81221
417,80665
418,80115
419,79614
420,79074
421,78557
422,78040
423,77523
424,77017
425,76466
426,75961
427,75424
428,74872
429,74360
430,73790
431,73295
432,72774
433,72249
434,71735
435,71238
436,70667
437,70142
438,69647
439,69125
440,68613
441,68076
442,67563
443,67036
444,66483
445,65982
446,65453
447,64925
448,64364
449,63860
450,63322
451,62804
452,62298
453,61754
454,61194
455,60631
456,60099
457,59544
458,59018
459,58504
460,57966
461,57423
462,56879
463,56356
464,55778
465,55248
466,54684
467,54071
468,53482
469,52967
470,52469
471,51931
472,51404
473,50814
474,50282
475,49722
476,49180
477,48668
478,48096
479,47505
480,46953
481,46386
482,45827
483,45234
484,44663
485,44090
486,43524
487,42943
488,42367
489,41821
490,41236
491,40653
492,40063
493,39462
494,38895
495,38363
496,37813
497,37242
498,36753
499,36176
500,35637
501,35052
502,34482
503,33928
504,33342
505,32781
506,32257
507,31695
508,31162
509,30622
510,30109
511,29567
512,29018
513,28488
514,27918
515,27394
516,26894
517,26383
518,25887
519,25380
520,24881
521,24387
522,23902
523,23414
524,22906
525,22448
526,21969
527,21492
528,20997
529,20503
530,20073
531,19630
532,19174
533,18728
534,18309
535,17831
536,17394
537,16983
538,16562
539,16138
540,15729
541,15334
542,14962
543,14562
544,14155
545,13795
546,13414
547,13038
548,12699
549,12364
550,12053
551,11746
552,11404
553,11116
554,10820
555,10497
556,10231
557,9943
558,9625
559,9354
560,9069
561,8791
562,8508
563,8243
564,7980
565,7723
566,7483
567,7260
568,7031
569,6801
570,6561
571,6346
572,6142
573,5929
574,5745
575,5563
576,5377
577,5190
578,5017
579,4821
580,4658
581,4495
582,4347
583,4181
584,4030
585,3896
586,3743
587,3595
588,3444
589,3324
590,3188
591,3054
592,2953
593,2857
594,2735
595,2646
596,2524
597,2407
598,2291
599,2203
600,2100
601,2009
602,1932
603,1837
604,1746
605,1658
606,1578
607,1502
608,1439
609,1367
610,1304
611,1248
612,1181
613,1134
614,1072
615,1021
616,960
617,901
618,854
619,804
620,761
621,718
622,675
623,629
624,596
625,562
626,529
627,499
628,474
629,439
630,408
631,383
632,361
633,339
634,308
635,286
636,264
637,249
638,236
639,224
640,210
641,194
642,172
643,165
644,147
645,133
646,118
647,104
648,95
649,88
650,77
651,74
652,70
653,65
654,61
655,56
656,50
657,46
658,39
659,35
660,33
661,27
662,25
663,24
