score,rank
100,241838
101,241834
102,241828
103,241825
104,241821
106,241817
107,241812
108,241807
109,241802
111,241800
112,241794
113,241789
114,241785
115,241781
116,241780
117,241776
118,241773
120,241771
121,241765
122,241763
123,241758
124,241757
125,241753
126,241745
127,241740
128,241733
129,241728
130,241724
131,241717
132,241710
133,241700
134,241696
135,241691
136,241687
137,241686
138,241682
139,241670
140,241661
141,241656
142,241648
143,241642
144,241639
145,241629
146,241622
147,241616
148,241611
149,241605
150,241601
151,241596
152,241588
153,241582
154,241574
155,241569
156,241562
157,241554
158,241544
159,241534
160,241528
161,241518
162,241506
163,241490
164,241481
165,241470
166,241458
167,241442
168,241433
169,241422
170,241402
171,241388
172,241377
173,241365
174,241348
175,241339
176,241321
177,241302
178,241285
179,241270
180,241257
181,241234
182,241208
183,241185
184,241161
185,241137
186,241112
187,241092
188,241070
189,241046
190,241013
191,240975
192,240945
193,240914
194,240875
195,240849
196,240818
197,240776
198,240721
199,240684
200,240633
201,240590
202,240541
203,240499
204,240447
205,240390
206,240338
207,240293
208,240237
209,240166
210,240101
211,240014
212,239938
213,239875
214,239801
215,239737
216,239667
217,239562
218,239467
219,239368
220,239277
221,239179
222,239083
223,238995
224,238866
225,238765
226,238661
227,238537
228,238426
229,238328
230,238196
231,238095
232,237979
233,237849
234,237715
235,237552
236,237422
237,237287
238,237144
239,237004
240,236825
241,236673
242,236509
243,236360
244,236189
245,236042
246,235877
247,235723
248,235558
249,235403
250,235241
251,235080
252,234904
253,234762
254,234614
255,234447
256,234254
257,234050
258,233876
259,233694
260,233521
261,233366
262,233177
263,232989
264,232784
265,232590
266,232404
267,232210
268,232002
269,231806
270,231600
271,231395
272,231194
273,230998
274,230785
275,230550
276,230366
277,230155
278,229963
279,229761
280,229546
281,229322
282,229127
283,228901
284,228650
285,228443
286,228191
287,227965
288,227724
289,227520
290,227291
291,227051
292,226819
293,226571
294,226347
295,226095
296,225847
297,225607
298,225367
299,225111
300,224858
301,224596
302,224358
303,224086
304,223789
305,223522
306,223242
307,222974
308,222671
309,222387
310,222114
311,221833
312,221574
313,221289
314,220963
315,220689
316,220416
317,220128
318,219851
319,219560
320,219248
321,218926
322,218616
323,218309
324,217966
325,217669
326,217354
327,217027
328,216745
329,216414
330,216072
331,215774
332,215399
333,215086
334,214726
335,214354
336,213993
337,213650
338,213316
339,212962
340,212579
341,212223
342,211839
343,211449
344,211079
345,210716
346,210328
347,209903
348,209557
349,209168
350,208796
351,208384
352,207991
353,207596
354,207210
355,206793
356,206400
357,205989
358,205520
359,205083
360,204640
361,204164
362,203683
363,203214
364,202709
365,202166
366,201728
367,201210
368,200716
369,200254
370,199738
371,199219
372,198678
373,198183
374,197666
375,197136
376,196623
377,196092
378,195567
379,195017
380,194458
381,193909
382,193373
383,192818
384,192228
385,191629
386,191037
387,190521
388,189866
389,189266
390,188683
391,188045
392,187431
393,186857
394,186258
395,185585
396,184957
397,184341
398,183676
399,182970
400,182336
401,181615
402,180913
403,180208
404,179546
405,178835
406,178102
407,177371
408,176694
409,176013
410,175294
411,174570
412,173871
413,173158
414,172413
415,171651
416,170867
417,170052
418,169244
419,168418
420,167626
421,166845
422,166063
423,165237
424,164445
425,163604
426,162776
427,161933
428,161121
429,160234
430,159346
431,158466
432,157635
433,156783
434,155892
435,154983
436,154052
437,153123
438,152203
439,151320
440,150410
441,149493
442,148537
443,147634
444,146663
445,145711
446,144726
447,143799
451,989
452,138693
456,981
457,133620
460,458
463,461
466,464
469,467
473,471
476,474
479,477
482,480
485,483
488,486
491,489
494,492
498,971
501,499
502,86214
503,85255
504,84267
510,999
511,77293
512,76304
513,75378
514,74420
515,73497
516,72505
517,71538
518,70608
519,69643
520,68701
521,67732
522,66821
523,65938
524,65010
525,64147
526,63244
527,62326
528,61443
529,60572
530,59691
531,58853
532,58003
533,57145
534,56272
535,55379
536,54529
537,53705
538,52899
539,52102
540,51298
541,50517
542,49697
543,48955
544,48164
545,47352
546,46547
547,45787
548,45021
549,44266
550,43516
551,42794
552,42026
553,41287
554,40561
555,39844
556,39152
557,38462
558,37729
559,37022
560,36366
561,35716
562,35073
563,34418
564,33769
565,33098
566,32480
567,31829
568,31230
569,30584
570,30018
571,29390
572,28765
573,28214
574,27634
575,27024
576,26486
577,25937
578,25395
579,24846
580,24298
581,23766
582,23260
583,22766
584,22275
585,21785
586,21306
587,20837
588,20353
589,19819
590,19372
591,18926
592,18447
593,18009
594,17561
595,17104
596,16656
597,16227
598,15796
599,15379
600,15022
601,14629
602,14244
603,13857
604,13491
605,13133
606,12747
607,12377
608,12041
609,11674
610,11346
611,11015
612,10708
613,10384
614,10079
615,9757
616,9475
617,9163
618,8900
619,8626
620,8340
621,8073
622,7798
623,7546
624,7322
625,7069
626,6837
627,6588
628,6346
629,6104
630,5891
631,5673
632,5441
633,5204
634,5011
635,4837
636,4642
637,4457
638,4273
639,4084
640,3913
641,3756
642,3575
643,3400
644,3282
645,3115
646,2975
647,2841
648,2707
649,2597
650,2475
651,2358
652,2249
653,2135
654,2046
655,1941
656,1855
657,1736
658,1646
659,1548
660,1443
661,1350
662,1239
663,1166
664,1088
665,1016
666,940
667,881
668,828
669,772
670,719
671,664
672,604
673,552
674,514
675,471
676,439
677,406
678,381
679,338
680,302
681,274
682,236
683,201
684,184
685,168
686,152
687,137
688,125
689,111
690,99
691,85
692,73
693,61
694,48
695,47
696,40
697,35
698,31
