score,rank
169,230447
170,230404
171,230354
172,230300
173,230260
174,230216
175,230159
176,230105
177,230052
178,229985
179,229946
180,229886
181,229834
182,229761
183,229705
184,229632
185,229552
186,229488
187,229423
188,229347
189,229256
190,229189
191,229112
192,229023
193,228937
194,228867
195,228774
196,228692
197,228581
198,228463
199,228367
200,228242
201,228129
202,228017
203,227913
204,227809
205,227665
206,227514
207,227385
208,227236
209,227110
210,226955
211,226800
212,226626
213,226462
214,226315
215,226165
216,226026
217,225845
218,225669
219,225483
220,225300
221,225109
222,224900
223,224701
224,224507
225,224319
226,224119
227,223937
228,223734
229,223503
230,223266
231,223059
232,222834
233,222639
234,222402
235,222163
236,221908
237,221692
238,221463
239,221207
240,220952
241,220729
242,220479
243,220198
244,219944
245,219698
246,219425
247,219152
248,218913
249,218668
250,218408
251,218124
252,217814
253,217490
254,217197
255,216896
256,216572
257,216275
258,215945
259,215621
260,215315
261,214975
262,214641
263,214309
264,214003
265,213648
266,213271
267,212922
268,212610
269,212275
270,211915
271,211547
272,211193
273,210819
274,210445
275,210057
276,209685
277,209333
278,208949
279,208584
280,208225
281,207850
282,207477
283,207079
284,206657
285,206229
286,205812
287,205363
288,204919
289,204482
290,204051
291,203621
292,203172
293,202720
294,202293
295,201818
296,201337
297,200871
298,200382
299,199896
300,199388
301,198888
302,198359
303,197825
304,197267
305,196734
306,196187
307,195644
308,195129
309,194636
310,194046
311,193468
312,192897
313,192346
314,191783
315,191157
316,190583
317,190006
318,189431
319,188800
320,188233
321,187613
322,187005
323,186400
324,185816
325,185179
326,184528
327,183879
328,183210
329,182576
330,181916
331,181281
332,180579
333,179861
334,179168
335,178463
336,177789
337,177130
338,176442
339,175761
340,175038
341,174323
342,173555
343,172783
344,172057
345,171278
346,170558
347,169864
348,169055
349,168320
350,167593
351,166889
352,166134
353,165370
354,164622
355,163862
356,163095
357,162316
358,161575
359,160821
360,160093
361,159306
362,158557
363,157798
364,157063
365,156302
366,155525
367,154751
368,153980
369,153223
370,152450
371,151628
372,150836
373,150073
374,149270
375,148477
376,147661
377,146895
378,146093
379,145253
380,144437
381,143674
382,142872
383,142091
384,141311
385,140556
386,139842
387,139055
388,138286
389,137504
390,136662
391,135890
392,135105
393,134298
394,133489
395,132696
396,131903
397,131086
398,130270
399,129489
400,128692
401,127882
402,127117
403,126331
404,125518
405,124679
406,123897
407,123078
408,122280
409,121481
410,120736
411,119878
412,119142
413,118319
414,117518
415,116713
416,115928
417,115147
418,114365
419,113586
420,112804
421,111995
422,111239
423,110434
424,109668
425,108925
426,108165
427,107338
428,106544
429,105785
430,105061
431,104246
432,103423
433,102656
434,101846
435,101053
436,100225
437,99476
438,98734
439,97972
440,97179
441,96465
442,95715
443,94949
444,94168
445,93407
446,92598
447,91876
448,91086
449,90353
450,89585
451,88869
452,88110
453,87349
454,86581
455,85823
456,85079
457,84357
458,83580
459,82845
460,82130
461,81368
462,80596
463,79867
464,79154
465,78463
466,77709
467,76925
468,76151
469,75475
470,74795
471,74079
472,73358
473,72629
474,71919
475,71230
476,70438
477,69743
478,69015
479,68317
480,67610
481,66901
482,66198
483,65429
484,64706
485,64025
486,63334
487,62653
488,61954
489,61242
490,60574
491,59883
492,59187
493,58486
494,57811
495,57123
496,56445
497,55756
498,55035
499,54358
500,53690
501,52992
502,52284
503,51643
504,50974
505,50272
506,49617
507,49003
508,48341
509,47658
510,46996
511,46372
512,45710
513,45080
514,44398
515,43738
516,43126
517,42522
518,41917
519,41213
520,40588
521,39968
522,39373
523,38762
524,38181
525,38172
526,37587
527,37019
528,36419
529,35872
530,35298
531,34759
532,34199
533,33612
534,33028
535,32441
536,31913
537,31390
538,30829
539,30281
540,29719
541,29200
542,28678
543,28149
544,27620
545,27079
546,26542
547,25994
548,25468
549,24993
550,24475
551,23974
552,23479
553,22989
554,22521
555,22037
556,21577
557,21138
558,20706
559,20244
560,19825
561,19373
562,18885
563,18485
564,17998
565,17609
566,17208
567,16819
568,16384
569,15990
570,15603
571,15197
572,14851
573,14497
574,14145
575,13803
576,13425
577,13071
578,12709
579,12327
580,12003
581,11663
582,11327
583,11021
584,10725
585,10417
586,10110
587,9843
588,9546
589,9273
590,8992
591,8713
592,8439
593,8192
594,7917
595,7656
596,7418
597,7182
598,6962
599,6763
600,6551
601,6310
602,6092
603,5888
604,5684
605,5479
606,5294
607,5118
608,4885
609,4681
610,4521
611,4345
612,4178
613,4025
614,3867
615,3713
616,3546
617,3419
618,3287
619,3140
620,3035
621,2915
622,2793
623,2670
624,2563
625,2460
626,2361
627,2256
628,2148
629,2057
630,1966
631,1875
632,1781
633,1713
634,1657
635,1598
636,1538
637,1474
638,1416
639,1359
640,1306
641,1266
642,1206
643,1169
644,1132
645,1086
646,1047
647,1009
648,979
649,937
650,903
651,878
652,852
653,831
654,813
655,796
656,778
657,760
658,746
659,736
660,620
661,606
662,510
663,423
664,342
665,267
666,257
667,200
668,149
669,105
670,67
671,31
