score,rank
161,350749
162,350735
163,350718
164,350704
165,350686
166,350670
167,350654
168,350639
169,350622
170,350603
171,350589
172,350570
173,350547
174,350514
175,350488
176,350463
177,350445
178,350428
179,350408
180,350382
181,350359
182,350336
183,350313
184,350287
185,350264
186,350239
187,350219
188,350196
189,350154
190,350121
191,350090
192,350057
193,350026
194,349992
195,349949
196,349912
197,349885
198,349837
199,349806
200,349763
201,349720
202,349664
203,349623
204,349580
205,349531
206,349470
207,349418
208,349364
209,349311
210,349256
211,349198
212,349141
213,349081
214,348998
215,348935
216,348861
217,348792
218,348734
219,348666
220,348586
221,348513
222,348442
223,348357
224,348277
225,348186
226,348102
227,348004
228,347906
229,347811
230,347720
231,347613
232,347516
233,347425
234,347310
235,347201
236,347080
237,346965
238,346839
239,346702
240,346577
241,346442
242,346317
243,346212
244,346095
245,345972
246,345842
247,345698
248,345561
249,345437
250,345273
251,345139
252,345011
253,344858
254,344705
255,344556
256,344401
257,344244
258,344077
259,343915
260,343750
261,343582
262,343412
263,343244
264,343085
265,342915
266,342727
267,342554
268,342378
269,342197
270,342001
271,341823
272,341632
273,341442
274,341265
275,341076
276,340871
277,340677
278,340473
279,340271
280,340075
281,339842
282,339611
283,339414
284,339189
285,338965
286,338713
287,338493
288,338275
289,338024
290,337804
291,337602
292,337366
293,337093
294,336862
295,336631
296,336361
297,336104
298,335832
299,335551
300,335276
301,334985
302,334709
303,334423
304,334139
305,333837
306,333552
307,333257
308,332932
309,332626
310,332322
311,332041
312,331744
313,331394
314,331054
315,330712
316,330372
317,330057
318,329728
319,329359
320,329011
321,328668
322,328285
323,327908
324,327515
325,327163
326,326760
327,326379
328,325970
329,325534
330,325146
331,324752
332,324333
333,323878
334,323492
335,323065
336,322624
337,322196
338,321755
339,321303
340,320838
341,320376
342,319924
343,319440
344,318951
345,318465
346,317967
347,317450
348,316947
349,316434
350,315888
351,315369
352,314855
353,314341
354,313779
355,313275
356,312733
357,312181
358,311597
359,311015
360,310456
361,309862
362,309269
363,308677
364,308128
365,307507
366,306877
367,306258
368,305626
369,304953
370,304290
371,303657
372,302979
373,302358
374,301744
375,301068
376,300382
377,299702
378,298991
379,298298
380,297556
381,296876
382,296141
383,295439
384,294698
385,293941
386,293141
387,292363
388,291608
389,290853
390,290111
391,289321
392,288542
393,287701
394,286873
395,286071
396,285233
397,284422
398,283617
399,282724
400,281911
401,281003
402,280078
403,279171
404,278285
405,277409
406,276484
407,275547
408,274604
409,273654
410,272746
411,271767
412,270863
413,269899
414,268949
415,267978
416,267000
417,265951
418,264969
419,263938
420,262892
421,261867
422,260802
423,259811
424,258839
425,257775
426,256696
427,255672
428,254563
429,253495
430,252364
431,251226
432,250132
433,249034
434,247926
435,246820
436,245648
437,244559
438,243388
439,242189
440,241037
441,239863
442,238681
443,237416
444,236241
445,235017
446,233830
447,232622
448,231430
449,230170
450,228907
451,227643
452,226442
453,225194
454,223984
455,222700
456,221390
457,220130
458,218886
459,217524
460,216133
461,214906
462,213546
463,212188
464,210848
465,209537
466,208197
467,206780
468,205400
469,204039
470,202675
471,201256
472,199839
473,198397
474,196973
475,195581
476,194176
477,192773
478,191296
479,189846
480,188462
481,187027
482,185537
483,184035
484,182515
485,181043
486,179577
487,178108
488,176590
489,175146
490,173693
491,172261
492,170737
493,169281
494,167824
495,166284
496,164764
497,163206
498,161636
499,160114
500,158553
501,157034
502,155486
503,153936
504,152414
505,150896
506,149381
507,147898
508,146380
509,144828
510,143249
511,141735
512,140171
513,138630
514,137134
515,135611
516,134079
517,132612
518,131007
519,129452
520,127916
521,126424
522,124922
523,123430
524,121914
525,120394
526,118940
527,117436
528,115973
529,114491
530,112964
531,111428
532,109920
533,108479
534,106990
535,105462
536,103975
537,102475
538,101020
539,99536
540,98045
541,96586
542,95109
543,93712
544,92340
545,90968
546,89462
547,88110
548,86628
549,85262
550,83942
551,82541
552,81206
553,79895
554,78493
555,77185
556,75834
557,74537
558,73319
559,72024
560,70713
561,69434
562,69430
563,68185
564,66931
565,65719
566,64544
567,63318
568,62158
569,60979
570,59844
571,58778
572,57631
573,56509
574,55380
575,54356
576,53236
577,52186
578,51138
579,50062
580,49038
581,47950
582,46917
583,45960
584,44929
585,43938
586,43008
587,42034
588,41094
589,40200
590,39299
591,38386
592,37509
593,36638
594,35730
595,34849
596,34000
597,33163
598,32299
599,31481
600,30718
601,29966
602,29203
603,28490
604,27769
605,27013
606,26289
607,25630
608,24916
609,24181
610,23539
611,22862
612,22243
613,21600
614,20938
615,20343
616,19710
617,19097
618,18493
619,17933
620,17404
621,16811
622,16302
623,15764
624,15275
625,14756
626,14254
627,13746
628,13310
629,12863
630,12423
631,12010
632,11572
633,11158
634,10769
635,10346
636,9937
637,9578
638,9220
639,8868
640,8523
641,8211
642,7914
643,7615
644,7340
645,7063
646,6792
647,6549
648,6293
649,6041
650,5831
651,5607
652,5377
653,5146
654,4928
655,4722
656,4517
657,4334
658,4156
659,3999
660,3831
661,3714
662,3551
663,3400
664,3258
665,3120
666,2990
667,2886
668,2783
669,2663
670,2555
671,2457
672,2363
673,1293
674,1231
675,1156
676,1083
677,1016
678,949
679,882
680,831
681,783
682,748
683,706
684,668
685,630
686,590
687,562
688,532
689,506
690,481
691,455
692,434
693,415
694,396
695,304
696,221
697,146
698,132
699,80
700,70
701,34
