score,rank
266,292753
267,292538
268,292325
269,292124
270,291933
271,291734
272,291532
273,291310
274,291123
275,290935
276,290747
277,290537
278,290346
279,290150
280,289955
281,289784
282,289607
283,289423
284,289217
285,289059
286,288902
287,288737
288,288566
289,288417
290,288248
291,288083
292,287901
293,287732
294,287572
295,287428
296,287273
297,287117
298,286946
299,286782
300,286638
301,286491
302,286323
303,286161
304,286002
305,285848
306,285711
307,285557
308,285382
309,285229
310,285057
311,284882
312,284717
313,284569
314,284406
315,284234
316,284040
317,283872
318,283700
319,283505
320,283332
321,283150
322,282957
323,282769
324,282566
325,282361
326,282150
327,281932
328,281698
329,281498
330,281298
331,281071
332,280831
333,280628
334,280428
335,280194
336,279951
337,279732
338,279496
339,279250
340,279005
341,278779
342,278537
343,278293
344,278042
345,277773
346,277541
347,277247
348,276962
349,276691
350,276439
351,276159
352,275837
353,275569
354,275270
355,274958
356,274657
357,274342
358,274019
359,273707
360,273387
361,273091
362,272776
363,272458
364,272128
365,271815
366,271478
367,271129
368,270755
369,270409
370,270021
371,269664
372,269289
373,268902
374,268547
375,268153
376,267777
377,267381
378,266997
379,266618
380,266240
381,265822
382,265394
383,264946
384,264531
385,264118
386,263690
387,263204
388,262744
389,262292
390,261858
391,261466
392,260989
393,260540
394,260038
395,259583
396,259145
397,258637
398,258126
399,257652
400,257168
401,256704
402,256200
403,255702
404,255176
405,254703
406,254212
407,253692
408,253173
409,252650
410,252119
411,251562
412,251037
413,250466
414,249900
415,249360
416,248802
417,248235
418,247698
419,247149
420,246568
421,245978
422,245384
423,244714
424,244118
425,243465
426,242857
427,242216
428,241602
429,240991
430,240361
431,239723
432,239079
433,238392
434,237690
435,237026
436,236317
437,235652
438,234983
439,234286
440,233567
441,232835
442,232056
443,231317
444,230616
445,229897
446,229169
447,228445
448,227642
449,226915
450,226167
451,225391
452,224580
453,223780
454,223013
455,222208
456,221384
457,220564
458,219767
459,218951
460,218110
461,217258
462,216423
463,215493
464,214616
465,213741
466,212836
467,211966
468,211041
469,210145
470,209243
471,208300
472,207403
473,206414
474,205426
475,204407
476,203467
477,202464
478,201451
479,200471
480,199490
481,198480
482,197496
483,196484
484,195445
485,194449
486,193374
487,192337
488,191305
489,190240
490,189111
491,188076
492,187049
493,185899
494,184816
495,183661
496,182517
497,181435
498,180320
499,179213
500,178076
501,176973
502,175805
503,174661
504,173499
505,172284
506,171064
507,169844
508,168588
509,167450
510,166249
511,165024
512,163780
513,162615
514,161392
515,160145
516,158921
517,157699
518,156541
519,155316
520,154098
521,152873
522,151660
523,150380
524,149086
525,147839
526,146569
527,145326
528,144037
529,142783
530,141437
531,140163
532,138930
533,137663
534,136399
535,135127
536,133907
537,132574
538,131334
539,130109
540,128838
541,127562
542,126321
543,124946
544,123649
545,122357
546,121161
547,119853
548,118577
549,117343
550,116091
551,114837
552,113560
553,112328
554,111011
555,109763
556,108524
557,107226
558,105966
559,104670
560,103352
561,102134
562,100904
563,99635
564,98391
565,97146
566,95851
567,94652
568,93384
569,92135
570,90885
571,89657
572,88374
573,87090
574,85780
575,84592
576,83337
577,82083
578,80881
579,79713
580,78445
581,77253
582,75950
583,74741
584,73509
585,72310
586,71115
587,69956
588,68778
589,67571
590,66361
591,65187
592,64018
593,62889
594,61673
595,60530
596,59356
597,58146
598,57020
599,55886
600,54748
601,53706
602,52571
603,51472
604,50328
605,49228
606,48151
607,47061
608,45992
609,44962
610,43879
611,42828
612,41854
613,40840
614,39770
615,38794
616,37830
617,36890
618,35946
619,35004
620,34105
621,33221
622,32297
623,31432
624,30609
625,29809
626,28998
627,28169
628,27291
629,26471
630,25656
631,24910
632,24152
633,23446
634,22717
635,21971
636,21293
637,20575
638,19894
639,19242
640,18584
641,17878
642,17214
643,16568
644,15981
645,15393
646,14838
647,14307
648,13704
649,13205
650,12659
651,12133
652,11619
653,11132
654,10662
655,10192
656,9751
657,9318
658,8877
659,8435
660,8021
661,7609
662,7214
663,6877
664,6474
665,6108
666,5742
667,5403
668,5104
669,4826
670,4511
671,4216
672,3919
673,3643
674,3395
675,3176
676,2938
677,2693
678,2500
679,2251
680,2031
681,1846
682,1658
683,1490
684,1347
685,1202
686,1074
687,930
688,801
689,717
690,620
691,520
692,447
693,392
