score,rank
254,70398
255,70392
256,70383
257,70375
258,70367
259,70359
260,70349
261,70347
262,70341
263,70336
264,70333
265,70321
266,70314
267,70306
268,70293
269,70285
270,70276
271,70265
272,70253
273,70247
274,70237
275,70226
276,70212
277,70200
278,70189
279,70172
280,70156
281,70142
282,70134
283,70126
284,70114
285,70098
286,70081
287,70067
288,70049
289,70032
290,70016
291,69994
292,69972
293,69950
294,69924
295,69905
296,69887
297,69858
298,69829
299,69808
300,69781
301,69756
302,69727
303,69705
304,69675
305,69655
306,69635
307,69615
308,69586
309,69554
310,69531
311,69505
312,69471
313,69428
314,69389
315,69352
316,69322
317,69284
318,69253
319,69217
320,69174
321,69122
322,69094
323,69050
324,69012
325,68973
326,68928
327,68874
328,68836
329,68777
330,68729
331,68677
332,68630
333,68583
334,68525
335,68466
336,68405
337,68341
338,68293
339,68235
340,68189
341,68124
342,68048
343,67991
344,67938
345,67852
346,67788
347,67719
348,67643
349,67581
350,67511
351,67452
352,67357
353,67300
354,67228
355,67153
356,67059
357,66978
358,66892
359,66813
360,66703
361,66640
362,66521
363,66450
364,66370
365,66290
366,66168
367,66090
368,65975
369,65890
370,65786
371,65685
372,65590
373,65480
374,65382
375,65266
376,65174
377,65073
378,64948
379,64850
380,64715
381,64586
382,64485
383,64360
384,64251
385,64127
386,63984
387,63878
388,63759
389,63640
390,63526
391,63374
392,63246
393,63134
394,62997
395,62840
396,62705
397,62583
398,62447
399,62249
400,62105
401,61959
402,61822
403,61687
404,61522
405,61387
406,61206
407,61050
408,60891
409,60720
410,60574
411,60405
412,60217
413,60073
414,59870
415,59717
416,59541
417,59348
418,59204
419,59014
420,58832
421,58664
422,58462
423,58263
424,58103
425,57900
426,57701
427,57550
428,57350
429,57164
430,56926
431,56718
432,56498
433,56316
434,56085
435,55879
436,55695
437,55472
438,55247
439,55073
440,54832
441,54635
442,54406
443,54211
444,53982
445,53737
446,53528
447,53282
448,53045
449,52838
450,52581
451,52323
452,52094
453,51851
454,51605
455,51354
456,51122
457,50853
458,50663
459,50397
460,50150
461,49869
462,49628
463,49388
464,49144
465,48873
466,48584
467,48374
468,48098
469,47832
470,47520
471,47288
472,46979
473,46747
474,46472
475,46174
476,45890
477,45645
478,45337
479,45098
480,44783
481,44499
482,44204
483,43928
484,43670
485,43370
486,43097
487,42778
488,42485
489,42187
490,41906
491,41650
492,41301
493,40993
494,40726
495,40420
496,40138
497,39833
498,39559
499,39273
500,38953
501,38698
502,38385
503,38092
504,37819
505,37513
506,37191
507,36899
508,36618
509,36287
510,35999
511,35704
512,35373
513,35101
514,34793
515,34493
516,34190
517,33915
518,33624
519,33269
520,32991
521,32721
522,32410
523,32152
524,31858
525,31606
526,31279
527,30957
528,30653
529,30363
530,30064
531,29783
532,29503
533,29191
534,28853
535,28566
536,28302
537,28019
538,27745
539,27426
540,27160
541,26870
542,26595
543,26281
544,26028
545,25764
546,25462
547,25212
548,24912
549,24643
550,24383
551,24091
552,23840
553,23559
554,23293
555,23026
556,22815
557,22527
558,22267
559,21950
560,21745
561,21482
562,21225
563,20975
564,20717
565,20468
566,20172
567,19984
568,19715
569,19445
570,19201
571,18958
572,18714
573,18484
574,18207
575,17972
576,17714
577,17474
578,17279
579,17056
580,16831
581,16615
582,16349
583,16127
584,15944
585,15712
586,15468
587,15256
588,15085
589,14841
590,14626
591,14417
592,14237
593,14034
594,13838
595,13624
596,13399
597,13212
598,13013
599,12803
600,12630
601,12449
602,12257
603,12081
604,11889
605,11708
606,11509
607,11332
608,11163
609,10978
610,10820
611,10667
612,10470
613,10298
614,10147
615,9972
616,9833
617,9675
618,9494
619,9339
620,9168
621,9035
622,8894
623,8757
624,8583
625,8442
626,8310
627,8153
628,8022
629,7887
630,7745
631,7592
632,7474
633,7341
634,7197
635,7078
636,6944
637,6821
638,6710
639,6590
640,6472
641,6349
642,6243
643,6111
644,5991
645,5886
646,5791
647,5660
648,5561
649,5456
650,5351
651,5250
652,5141
653,5043
654,4941
655,4860
656,4742
657,4666
658,4573
659,4489
660,4396
661,4316
662,4217
663,4141
664,4043
665,3960
666,3891
667,3804
668,3735
669,3661
670,3576
671,3501
672,3427
673,3363
674,3288
675,3215
676,3146
677,3073
678,3022
679,2948
680,2893
681,2818
682,2758
683,2695
684,2633
685,2587
686,2534
687,2467
688,2410
689,2364
690,2306
691,2252
692,2201
693,2155
694,2109
695,2060
696,2015
697,1959
698,1920
699,1880
700,1835
701,1792
702,1747
703,1699
704,1659
705,1623
706,1585
707,1549
708,1510
709,1472
710,1435
711,1403
712,1373
713,1337
714,1299
715,1273
716,1238
717,1207
718,1176
719,1152
720,1122
721,1091
722,1069
723,1036
724,1011
725,991
726,960
727,940
728,915
729,889
730,871
731,849
732,824
733,798
734,775
735,756
736,736
737,715
738,699
739,683
740,659
741,642
742,627
743,609
744,594
745,578
746,562
747,550
748,530
749,515
750,500
751,489
752,472
753,460
754,450
755,438
756,426
757,415
758,401
759,390
760,378
761,367
762,355
763,346
764,337
765,325
766,316
767,307
768,299
769,292
770,283
771,276
772,269
773,261
774,254
775,248
776,238
777,231
778,223
779,217
780,209
781,202
782,197
783,190
784,184
785,177
786,172
787,166
788,163
789,156
790,151
791,146
792,141
793,137
794,134
795,129
796,126
797,123
798,118
799,114
800,111
