score,rank
0,141436
1,138678
2,138677
3,138674
4,138673
5,138672
6,138672
7,138670
8,138670
9,138670
10,138667
11,138633
12,138632
13,138630
14,138629
15,138628
16,138626
17,138625
18,138623
19,138621
20,138619
21,138611
22,138610
23,138605
24,138602
25,138598
26,138597
27,138594
28,138591
29,138588
30,138584
31,138581
32,138579
33,138577
34,138575
35,138572
36,138570
37,138569
38,138569
39,138569
40,138568
41,138568
42,138566
43,138563
44,138563
45,138561
46,138559
47,138559
48,138558
49,138555
50,138552
51,138549
52,138546
53,138544
54,138543
55,138541
56,138538
57,138537
58,138537
59,138537
60,138536
61,138533
62,138527
63,138526
64,138524
65,138523
66,138521
67,138521
68,138519
69,138517
70,138517
71,138517
72,138517
73,138515
74,138515
75,138515
76,138514
77,138512
78,138511
79,138509
80,138509
81,138506
82,138504
83,138503
84,138500
85,138496
86,138496
87,138495
88,138494
89,138493
90,138493
91,138492
92,138491
93,138491
94,138491
95,138490
96,138489
97,138487
98,138484
99,138481
100,138480
101,138478
102,138478
103,138477
104,138476
105,138475
106,138472
107,138472
108,138471
109,138469
110,138469
111,138467
112,138463
113,138462
114,138459
115,138451
116,138447
117,138442
118,138438
119,138434
120,138431
121,138430
122,138425
123,138423
124,138417
125,138413
126,138407
127,138403
128,138398
129,138393
130,138388
131,138380
132,138376
133,138367
134,138359
135,138346
136,138339
137,138328
138,138319
139,138311
140,138294
141,138287
142,138281
143,138265
144,138253
145,138240
146,138219
147,138204
148,138193
149,138174
150,138155
151,138136
152,138116
153,138098
154,138089
155,138077
156,138054
157,138031
158,138012
159,137983
160,137961
161,137940
162,137918
163,137897
164,137870
165,137844
166,137828
167,137805
168,137783
169,137753
170,137725
171,137688
172,137652
173,137626
174,137584
175,137546
176,137515
177,137481
178,137426
179,137395
180,137356
181,137306
182,137266
183,137224
184,137188
185,137152
186,137110
187,137064
188,137029
189,136983
190,136939
191,136882
192,136835
193,136785
194,136726
195,136664
196,136619
197,136565
198,136496
199,136427
200,136356
201,136292
202,136222
203,136151
204,136078
205,136003
206,135930
207,135837
208,135763
209,135692
210,135596
211,135526
212,135454
213,135374
214,135292
215,135209
216,135107
217,135022
218,134916
219,134819
220,134726
221,134626
222,134514
223,134397
224,134293
225,134189
226,134082
227,133955
228,133831
229,133688
230,133547
231,133436
232,133306
233,133173
234,133019
235,132866
236,132719
237,132561
238,132427
239,132270
240,132125
241,131975
242,131789
243,131622
244,131455
245,131295
246,131119
247,130950
248,130764
249,130567
250,130386
251,130191
252,129984
253,129795
254,129611
255,129411
256,129174
257,128948
258,128740
259,128485
260,128286
261,128071
262,127852
263,127628
264,127387
265,127123
266,126839
267,126601
268,126369
269,126133
270,125881
271,125659
272,125378
273,125109
274,124834
275,124555
276,124293
277,123986
278,123679
279,123368
280,123062
281,122729
282,122420
283,122092
284,121814
285,121519
286,121174
287,120857
288,120516
289,120178
290,119835
291,119526
292,119170
293,118857
294,118513
295,118153
296,117786
297,117431
298,117062
299,116699
300,116328
301,115966
302,115594
303,115202
304,114825
305,114464
306,114081
307,113679
308,113294
309,112907
310,112512
311,112095
312,111676
313,111276
314,110853
315,110429
316,109982
317,109569
318,109128
319,108728
320,108295
321,107825
322,107387
323,106958
324,106535
325,106108
326,105642
327,105192
328,104741
329,104308
330,103889
331,103444
332,102998
333,102540
334,102075
335,101633
336,101178
337,100684
338,100192
339,99744
340,99252
341,98760
342,98277
343,97802
344,97313
345,96811
346,96363
347,95884
348,95404
349,94922
350,94437
351,93931
352,93443
353,92941
354,92456
355,91949
356,91457
357,90947
358,90451
359,89976
360,89459
361,88959
362,88504
363,88015
364,87513
365,87021
366,86541
367,86066
368,85591
369,85094
370,84622
371,84084
372,83620
373,83130
374,82666
375,82199
376,81731
377,81262
378,80776
379,80267
380,79776
381,79260
382,78746
383,78263
384,77802
385,77318
386,76830
387,76360
388,75924
389,75430
390,74921
391,74445
392,73964
