score,rank
0,249802
1,248104
2,248104
3,248104
4,248104
5,248104
6,248104
7,248104
8,248104
9,248104
10,248104
11,248069
12,248067
13,248065
14,248064
15,248063
16,248060
17,248057
18,248056
19,248055
20,248055
21,248052
22,248050
23,248050
24,248048
25,248047
26,248046
27,248044
28,248042
29,248041
30,248041
31,248040
32,248037
33,248036
34,248036
35,248034
36,248031
37,248029
38,248028
39,248026
40,248025
41,248024
42,248021
43,248020
44,248018
45,248016
46,248016
47,248015
48,248015
49,248013
50,248012
51,248012
52,248010
53,248009
54,248009
55,248008
56,248008
57,248005
58,248003
59,248002
60,247999
61,247990
62,247988
63,247986
64,247986
65,247984
66,247983
67,247983
68,247983
69,247981
70,247979
71,247979
72,247976
73,247976
74,247973
75,247973
76,247972
77,247970
78,247970
79,247967
80,247966
81,247965
82,247964
83,247964
84,247962
85,247962
86,247959
87,247957
88,247957
89,247956
90,247955
91,247955
92,247954
93,247952
94,247951
95,247949
96,247947
97,247944
98,247942
99,247940
100,247939
101,247936
102,247935
103,247933
104,247929
105,247927
106,247925
107,247923
108,247919
109,247919
110,247916
111,247915
112,247914
113,247912
114,247910
115,247909
116,247903
117,247899
118,247896
119,247893
120,247891
121,247888
122,247885
123,247884
124,247880
125,247877
126,247875
127,247872
128,247871
129,247865
130,247861
131,247856
132,247853
133,247852
134,247850
135,247845
136,247838
137,247829
138,247823
139,247815
140,247812
141,247809
142,247807
143,247803
144,247794
145,247787
146,247780
147,247776
148,247768
149,247758
150,247751
151,247740
152,247730
153,247723
154,247709
155,247703
156,247693
157,247677
158,247665
159,247654
160,247645
161,247629
162,247617
163,247604
164,247589
165,247575
166,247551
167,247536
168,247522
169,247503
170,247475
171,247451
172,247423
173,247396
174,247368
175,247349
176,247315
177,247292
178,247263
179,247239
180,247209
181,247181
182,247147
183,247122
184,247089
185,247052
186,247019
187,246971
188,246927
189,246880
190,246832
191,246782
192,246735
193,246692
194,246642
195,246594
196,246542
197,246486
198,246418
199,246349
200,246274
201,246210
202,246134
203,246055
204,245980
205,245913
206,245827
207,245760
208,245670
209,245570
210,245472
211,245386
212,245284
213,245174
214,245078
215,244979
216,244876
217,244757
218,244629
219,244504
220,244398
221,244252
222,244125
223,243998
224,243851
225,243688
226,243548
227,243376
228,243225
229,243065
230,242895
231,242718
232,242532
233,242353
234,242183
235,242012
236,241828
237,241637
238,241457
239,241262
240,241072
241,240850
242,240635
243,240398
244,240169
245,239930
246,239712
247,239484
248,239253
249,239020
250,238756
251,238478
252,238194
253,237928
254,237659
255,237362
256,237055
257,236756
258,236455
259,236162
260,235878
261,235572
262,235258
263,234961
264,234636
265,234345
266,234017
267,233713
268,233374
269,233029
270,232688
271,232325
272,231983
273,231616
274,231281
275,230947
276,230601
277,230272
278,229883
279,229495
280,229119
281,228773
282,228396
283,228025
284,227659
285,227264
286,226912
287,226564
288,226179
289,225756
290,225333
291,224939
292,224508
293,224076
294,223650
295,223243
296,222823
297,222439
298,222003
299,221580
300,221169
301,220780
302,220369
303,219894
304,219480
305,219046
306,218582
307,218160
308,217750
309,217313
310,216815
311,216315
312,215853
313,215408
314,214959
315,214488
316,213980
317,213482
318,212997
319,212544
320,212070
321,211582
322,211089
323,210636
324,210122
325,209600
326,209129
327,208650
328,208162
329,207670
330,207175
331,206662
332,206156
333,205656
334,205150
335,204614
336,204107
337,203608
338,203110
339,202595
340,202053
341,201542
342,201010
343,200522
344,199980
345,199436
346,198881
347,198360
348,197834
349,197276
350,196758
351,196230
352,195648
353,195126
354,194565
355,194027
356,193503
357,192956
358,192417
359,191865
360,191302
361,190726
362,190161
363,189621
364,189073
365,188487
366,187913
367,187341
368,186777
369,186199
370,185608
371,185064
372,184467
373,183850
374,183220
375,182643
376,182060
377,181473
378,180892
379,180272
380,179647
381,179105
382,178501
383,177854
384,177258
385,176638
386,176034
387,175413
388,174781
389,174169
390,173484
391,172866
392,172200
393,171555
394,170930
395,170291
396,169636
397,168959
398,168334
399,167642
400,166986
401,166348
402,165679
403,165008
404,164302
405,163637
406,162946
407,162272
408,161574
409,160861
410,160172
411,159517
412,158810
413,158095
414,157401
415,156653
416,155924
417,155250
418,154528
419,153802
420,153090
421,152307
422,151529
423,150796
424,150066
425,149376
426,148657
427,147880
428,147149
429,146428
430,145627
431,144889
432,144110
433,143353
434,142567
435,141820
436,141002
437,140231
438,139408
439,138588
440,137777
441,137043
442,136275
443,135444
444,134655
445,133819
446,133010
447,132195
448,131409
449,130597
450,129802
451,128972
452,128125
453,127293
454,126468
455,125662
456,124840
457,124021
458,123214
459,122391
460,121519
461,120668
462,119769
463,118911
464,118056
465,117217
466,116410
467,115600
