score,rank
100,137982
102,137980
103,137976
104,137975
105,137974
107,137971
111,137970
112,137969
113,137966
114,137964
115,137963
117,137961
118,137960
119,137958
121,137957
122,137956
123,137955
124,137951
125,137950
126,137949
127,137948
129,137946
130,137944
131,137943
132,137939
134,137938
135,137934
136,137931
137,137926
138,137923
139,137918
140,137914
141,137911
142,137907
143,137899
144,137896
145,137891
146,137889
147,137887
148,137882
149,137878
150,137873
151,137868
152,137862
153,137860
154,137853
155,137850
156,137844
157,137837
158,137833
159,137832
160,137826
161,137819
162,137814
163,137808
164,137803
165,137798
166,137792
167,137788
168,137782
169,137780
170,137774
171,137766
172,137757
173,137742
174,137729
175,137719
176,137710
177,137696
178,137688
179,137681
180,137669
181,137660
182,137647
183,137634
184,137628
185,137618
186,137611
187,137599
188,137589
189,137579
190,137570
191,137551
192,137536
193,137514
194,137491
195,137473
196,137450
197,137424
198,137401
199,137373
200,137346
201,137313
202,137281
203,137256
204,137226
205,137210
206,137180
207,137146
208,137105
209,137070
210,137025
211,136983
212,136939
213,136886
214,136838
215,136799
216,136756
217,136713
218,136656
219,136592
220,136535
221,136486
222,136432
223,136367
224,136294
225,136232
226,136155
227,136076
228,136005
229,135926
230,135839
231,135754
232,135682
233,135597
234,135514
235,135423
236,135336
237,135238
238,135139
239,135057
240,134947
241,134866
242,134764
243,134678
244,134581
245,134443
246,134325
247,134200
248,134070
249,133919
250,133798
251,133674
252,133527
253,133399
254,133251
255,133106
256,132953
257,132802
258,132655
259,132504
260,132351
261,132191
262,132031
263,131842
264,131679
265,131489
266,131313
267,131107
268,130895
269,130683
270,130491
271,130287
272,130086
273,129876
274,129690
275,129494
276,129271
277,129041
278,128830
279,128620
280,128374
281,128159
282,127936
283,127696
284,127484
285,127247
286,127009
287,126786
288,126541
289,126306
290,126024
291,125751
292,125495
293,125226
294,124948
295,124688
296,124373
297,124106
298,123838
299,123538
300,123240
301,122953
302,122654
303,122363
304,122029
305,121709
306,121379
307,121080
308,120767
309,120450
310,120107
311,119737
312,119405
313,119068
314,118715
315,118350
316,118008
317,117651
318,117303
319,116930
320,116561
321,116192
322,115845
323,115463
324,115070
325,114658
326,114279
327,113921
328,113524
329,113137
330,112729
331,112347
332,111970
333,111561
334,111170
335,110756
336,110347
337,109943
338,109485
339,109003
340,108517
341,108057
342,107581
343,107132
344,106717
345,106309
346,105858
347,105411
348,104962
349,104508
350,104013
351,103562
352,103135
353,102641
354,102184
355,101664
356,101149
357,100662
358,100128
359,99661
360,99115
361,98597
362,98104
363,97600
364,97126
365,96606
366,96112
367,95625
368,95111
369,94561
370,94039
371,93524
372,93037
373,92514
374,92008
375,91470
376,90905
377,90366
378,89865
379,89312
380,88742
381,88247
382,87702
383,87175
384,86660
385,86148
386,85611
387,85065
388,84520
389,83957
390,83428
391,82914
392,82374
393,81841
394,81292
395,80780
396,80223
397,79721
398,79176
399,78618
400,78041
401,77490
402,76942
403,76427
404,75862
405,75254
406,74704
407,74184
408,73657
409,73112
410,72496
411,71969
412,71436
413,70827
414,70253
415,69732
416,69198
417,68642
418,68079
419,67554
420,67003
421,66479
422,65917
423,65374
424,64849
425,64280
426,63750
427,63177
428,62637
429,62072
430,61542
431,60990
432,60440
433,59871
434,59323
435,58774
436,58266
437,57739
438,57206
439,56680
440,56109
441,55579
442,55033
443,54469
444,53887
445,53361
446,52831
447,52321
448,51790
449,51253
450,50724
451,50193
452,49655
453,49140
454,48625
455,48082
456,47549
457,47020
458,46446
459,45929
460,45390
461,44851
462,44303
463,43807
464,43248
465,42744
466,42223
467,41718
468,41230
469,40715
470,40246
471,39748
472,39279
473,38772
474,38295
475,37811
476,37354
477,36839
478,36358
479,35897
480,35430
481,34942
482,34455
483,33956
484,33479
485,32993
486,32515
487,32036
488,31579
489,31127
490,30658
491,30222
492,29791
493,29319
494,28889
495,28460
496,27976
497,27526
498,27149
499,26712
500,26316
501,25904
502,25454
503,25062
504,24643
505,24255
506,23847
507,23446
508,23024
509,22646
510,22262
511,21889
512,21509
513,21122
514,20756
515,20359
516,19992
517,19659
518,19310
519,18983
520,18655
521,18311
522,17953
523,17596
524,17266
525,16953
526,16594
527,16299
528,15975
529,15650
530,15344
531,15020
532,14735
533,14425
534,14135
535,13830
536,13532
537,13269
538,12996
539,12736
540,12465
541,12180
542,11935
543,11663
544,11366
545,11109
546,10887
547,10640
548,10417
549,10184
550,9981
551,9747
552,9505
553,9283
554,9019
555,8807
556,8591
557,8394
558,8195
559,7973
560,7763
561,7594
562,7405
563,7206
564,7013
565,6841
566,6642
567,6457
568,6289
569,6112
570,5960
571,5766
572,5597
573,5419
574,5247
575,5107
576,4943
577,4782
578,4642
579,4510
580,4360
581,4220
582,4086
583,3944
584,3808
585,3671
586,3550
587,3428
588,3306
589,3213
590,3120
591,3007
592,2898
593,2790
594,2687
595,2584
596,2482
597,2396
598,2314
599,2229
600,2139
601,2064
602,1983
603,1904
604,1811
605,1737
606,1651
607,1589
608,1518
609,1454
610,1384
611,1328
612,1249
613,1188
614,1128
615,1077
616,1031
617,992
618,940
619,894
620,847
621,800
622,752
623,711
624,667
625,629
626,595
627,569
628,524
629,496
630,465
631,438
632,421
633,396
634,360
635,338
636,313
637,288
638,272
639,244
640,226
641,211
642,198
643,189
644,173
645,158
646,146
647,136
648,127
649,119
650,109
651,97
652,90
653,81
654,73
655,66
656,58
