score,rank
428,192575
429,191443
430,190319
431,189192
432,188022
433,186878
434,185672
435,184496
436,183324
437,182146
438,180955
439,179749
440,178539
441,177320
442,176089
443,174886
444,173692
445,172469
446,171291
447,170028
448,168805
449,167512
450,166333
451,165187
452,163909
453,162746
454,161478
455,160264
456,158957
457,157729
458,156519
459,155253
460,153958
461,152688
462,151384
463,150148
464,148850
465,147595
466,146317
467,145087
468,143760
469,142483
470,141210
471,139948
472,138685
473,137392
474,136118
475,134868
476,133616
477,132331
478,131069
479,129842
480,128595
481,127369
482,126073
483,124839
484,123605
485,122368
486,121136
487,119850
488,118646
489,117394
490,116171
491,114810
492,113544
493,112279
494,111061
495,109835
496,108618
497,107407
498,106216
499,104961
500,103749
501,102501
502,101278
503,100027
504,98881
505,97735
506,96582
507,95396
508,94177
509,93013
510,91895
511,90752
512,89590
513,88505
514,87371
515,86215
516,85185
517,84077
518,82973
519,81917
520,80767
521,79747
522,78701
523,77673
524,76624
525,75593
526,74524
527,73481
528,72459
529,71390
530,70402
531,69321
532,68339
533,67369
534,66426
535,65465
536,64511
537,63611
538,62627
539,61698
540,60741
541,59839
542,58945
543,58086
544,57221
545,56300
546,55446
547,54557
548,53708
549,52864
550,52055
551,51194
552,50370
553,49550
554,48718
555,47922
556,47085
557,46273
558,45511
559,44719
560,43928
561,43122
562,42398
563,41653
564,40918
565,40220
566,39488
567,38789
568,38072
569,37354
570,36641
571,35941
572,35225
573,34496
574,33831
575,33165
576,32526
577,31902
578,31241
579,30652
580,30013
581,29371
582,28744
583,28159
584,27577
585,26952
586,26369
587,25775
588,25204
589,24640
590,24065
591,23503
592,22976
593,22453
594,21951
595,21396
596,20896
597,20422
598,19898
599,19372
600,18876
601,18383
602,17914
603,17453
604,16990
605,16521
606,16047
607,15575
608,15151
609,14732
610,14355
611,13934
612,13537
613,13137
614,12752
615,12395
616,12011
617,11662
618,11294
619,10966
620,10621
621,10299
622,9939
623,9604
624,9258
625,8919
626,8643
627,8373
628,8082
629,7819
630,7526
631,7246
632,6962
633,6732
634,6494
635,6271
636,6028
637,5786
638,5530
639,5304
640,5091
641,4836
642,4630
643,4413
644,4212
645,4009
646,3824
647,3627
648,3472
649,3288
650,3131
651,2964
652,2822
653,2661
654,2513
655,2390
656,2280
657,2174
658,2057
659,1939
660,1817
661,1709
662,1593
663,1487
664,1386
665,1304
666,1219
667,1123
668,1051
669,973
670,902
671,844
672,778
673,709
674,655
675,599
676,543
677,485
678,446
679,405
680,371
681,333
682,297
683,272
684,240
685,213
686,189
687,165
688,147
689,130
690,111
691,99
692,92
693,78
694,62
