score,rank
0,58374
1,57313
2,57313
3,57313
4,57313
5,57313
6,57312
7,57312
8,57312
9,57312
10,57311
11,57305
12,57305
13,57304
14,57302
15,57302
16,57302
17,57302
18,57299
19,57298
20,57298
21,57107
22,57106
23,57106
24,57105
25,57105
26,57105
27,57104
28,57104
29,57104
30,57103
31,57102
32,57102
33,57102
34,57101
35,57101
36,57101
37,57099
38,57098
39,57098
40,57098
41,57098
42,57095
43,57095
44,57095
45,57095
46,57095
47,57094
48,57094
49,57093
50,57091
51,57090
52,57090
53,57090
54,57089
55,57088
56,57087
57,57087
58,57086
59,57086
60,57086
61,57085
62,57085
63,57084
64,57083
65,57081
66,57080
67,57080
68,57080
69,57080
70,57080
71,57077
72,57077
73,57077
74,57077
75,57076
76,57075
77,57075
78,57074
79,57072
80,57072
81,57071
82,57071
83,57071
84,57071
85,57070
86,57069
87,57069
88,57069
89,57069
90,57069
91,57069
92,57069
93,57069
94,57068
95,57068
96,57068
97,57068
98,57068
99,57065
100,57064
101,57063
102,57063
103,57062
104,57060
105,57060
106,57059
107,57058
108,57057
109,57056
110,57055
111,57054
112,57053
113,57051
114,57051
115,57051
116,57051
117,57047
118,57046
119,57046
120,57046
121,57045
122,57045
123,57045
124,57045
125,57045
126,57044
127,57044
128,57043
129,57041
130,57041
131,57040
132,57036
133,57036
134,57036
135,57034
136,57031
137,57030
138,57029
139,57027
140,57025
141,57024
142,57022
143,57020
144,57019
145,57016
146,57012
147,57011
148,57008
149,57008
150,57007
151,57004
152,57001
153,56999
154,56998
155,56995
156,56994
157,56990
158,56988
159,56983
160,56978
161,56972
162,56970
163,56967
164,56966
165,56962
166,56959
167,56958
168,56955
169,56953
170,56950
171,56946
172,56941
173,56937
174,56931
175,56927
176,56922
177,56921
178,56916
179,56908
180,56903
181,56898
182,56893
183,56888
184,56881
185,56873
186,56866
187,56862
188,56857
189,56849
190,56839
191,56833
192,56824
193,56815
194,56808
195,56802
196,56793
197,56783
198,56765
199,56753
200,56737
201,56723
202,56711
203,56702
204,56690
205,56678
206,56662
207,56644
208,56628
209,56615
210,56596
211,56583
212,56576
213,56546
214,56521
215,56493
216,56469
217,56456
218,56440
219,56419
220,56392
221,56375
222,56359
223,56334
224,56298
225,56277
226,56244
227,56212
228,56182
229,56156
230,56114
231,56087
232,56049
233,56018
234,55984
235,55948
236,55902
237,55862
238,55813
239,55776
240,55734
241,55697
242,55648
243,55594
244,55545
245,55490
246,55439
247,55394
248,55340
249,55287
250,55242
251,55177
252,55116
253,55054
254,54991
255,54928
256,54867
257,54786
258,54721
259,54660
260,54580
261,54498
262,54421
263,54340
264,54259
265,54165
266,54075
267,53987
268,53906
269,53806
270,53715
271,53615
272,53521
273,53428
274,53340
275,53249
276,53137
277,53044
278,52950
279,52838
280,52730
281,52614
282,52500
283,52371
284,52248
285,52108
286,51984
287,51857
288,51735
289,51611
290,51472
291,51345
292,51199
293,51066
294,50930
295,50786
296,50642
297,50504
298,50355
299,50196
300,50020
301,49871
302,49700
303,49523
304,49351
305,49191
306,49006
307,48839
308,48657
309,48487
310,48293
311,48091
312,47933
313,47744
314,47563
315,47334
316,47143
317,46958
318,46750
319,46556
320,46322
321,46134
322,45912
323,45709
324,45478
325,45274
326,45047
327,44852
328,44612
329,44408
330,44165
331,43946
332,43707
333,43461
334,43234
335,43027
336,42821
337,42596
338,42363
339,42107
340,41830
341,41607
342,41376
343,41148
344,40904
345,40673
346,40455
347,40211
348,39984
349,39755
350,39498
351,39236
352,39009
353,38782
354,38522
355,38323
356,38118
357,37875
358,37675
359,37441
360,37198
361,36930
362,36670
363,36444
364,36212
365,35979
366,35734
367,35482
368,35263
369,35005
370,34799
371,34553
372,34303
373,34065
374,33789
375,33575
376,33342
377,33122
378,32911
379,32668
380,32436
381,32218
382,32006
383,31753
384,31526
385,31288
386,31059
387,30858
388,30669
389,30450
390,30202
391,29973
392,29761
393,29514
394,29287
395,29077
396,28850
397,28617
398,28392
399,28154
400,27918
401,27703
402,27485
403,27251
404,27031
405,26807
406,26599
407,26389
408,26150
409,25914
410,25687
411,25494
412,25282
413,25047
414,24829
415,24608
416,24372
417,24188
418,23946
419,23716
420,23486
421,23276
422,23051
423,22850
424,22649
425,22432
426,22245
427,22014
428,21816
429,21605
430,21387
431,21173
432,20961
433,20759
434,20537
435,20327
436,20116
437,19896
438,19694
439,19497
440,19288
441,19058
442,18851
443,18632
444,18423
445,18222
446,18013
447,17823
448,17634
449,17412
450,17221
451,17015
452,16798
453,16575
454,16371
455,16133
456,15941
457,15742
458,15545
459,15360
460,15155
461,14967
462,14770
463,14549
464,14358
465,14164
466,13969
467,13762
468,13568
469,13375
470,13157
471,12998
472,12836
473,12671
474,12493
475,12326
476,12143
477,11948
478,11765
479,11596
480,11403
481,11215
482,11028
483,10854
484,10678
485,10519
486,10360
487,10200
488,10051
489,9889
490,9734
491,9577
492,9442
493,9311
494,9171
495,9030
496,8866
497,8726
498,8582
499,8446
500,8291
501,8160
502,8010
503,7854
504,7725
505,7582
506,7449
507,7311
508,7177
509,7041
510,6913
511,6770
512,6622
513,6494
514,6358
515,6237
516,6135
517,6026
518,5900
519,5794
520,5681
521,5576
522,5469
523,5352
524,5232
525,5132
526,5025
527,4914
528,4794
529,4702
530,4578
531,4488
532,4399
533,4309
534,4217
535,4120
536,4038
537,3946
538,3855
539,3763
540,3664
541,3584
542,3501
543,3410
544,3331
545,3246
546,3169
547,3096
548,3032
549,2966
550,2892
551,2821
552,2754
553,2694
554,2625
555,2554
556,2499
557,2442
558,2374
559,2309
560,2252
561,2200
562,2140
563,2090
564,2029
565,1978
566,1922
567,1859
568,1799
569,1756
570,1709
571,1661
572,1617
573,1569
574,1528
575,1487
576,1448
577,1404
578,1360
579,1317
580,1278
581,1240
582,1196
583,1155
584,1114
585,1081
586,1049
587,1015
588,978
589,947
590,905
591,883
592,854
593,820
594,799
595,775
596,750
597,715
598,693
599,668
600,645
601,628
602,603
603,579
604,558
605,538
606,521
607,505
608,478
609,463
610,441
611,423
612,409
613,390
614,370
615,354
616,332
617,312
618,294
619,276
620,260
621,252
622,235
623,221
624,211
625,199
626,184
627,179
628,171
629,157
630,143
631,129
632,125
633,116
634,114
635,107
636,97
637,90
638,84
639,80
640,77
641,74
642,68
643,58
644,53
645,46
646,43
647,36
