score,rank
0,121443
1,120866
2,120866
3,120866
4,120866
5,120866
6,120866
7,120866
8,120866
9,120866
10,120866
11,120866
12,120866
13,120866
14,120866
15,120866
16,120866
17,120866
18,120866
19,120866
20,120866
21,120743
22,120742
23,120741
24,120741
25,120741
26,120741
27,120741
28,120741
29,120741
30,120741
31,120741
32,120741
33,120741
34,120741
35,120740
36,120740
37,120740
38,120740
39,120739
40,120739
41,120739
42,120739
43,120739
44,120739
45,120739
46,120739
47,120739
48,120739
49,120739
50,120737
51,120737
52,120737
53,120737
54,120736
55,120736
56,120736
57,120736
58,120736
59,120735
60,120735
61,120735
62,120735
63,120735
64,120735
65,120735
66,120735
67,120735
68,120734
69,120734
70,120734
71,120733
72,120733
73,120733
74,120733
75,120733
76,120733
77,120732
78,120732
79,120732
80,120732
81,120732
82,120732
83,120732
84,120730
85,120730
86,120729
87,120729
88,120729
89,120729
90,120729
91,120729
92,120728
93,120728
94,120727
95,120727
96,120725
97,120725
98,120725
99,120725
100,120725
101,120725
102,120724
103,120724
104,120724
105,120723
106,120723
107,120723
108,120723
109,120723
110,120722
111,120721
112,120720
113,120719
114,120719
115,120719
116,120718
117,120718
118,120718
119,120718
120,120718
121,120718
122,120718
123,120718
124,120718
125,120718
126,120718
127,120718
128,120718
129,120718
130,120718
131,120716
132,120716
133,120715
134,120715
135,120715
136,120715
137,120714
138,120714
139,120714
140,120712
141,120712
142,120711
143,120709
144,120709
145,120708
146,120707
147,120706
148,120706
149,120706
150,120706
151,120706
152,120706
153,120706
154,120706
155,120704
156,120704
157,120702
158,120702
159,120702
160,120702
161,120702
162,120701
163,120699
164,120698
165,120697
166,120697
167,120696
168,120695
169,120693
170,120692
171,120689
172,120689
173,120686
174,120686
175,120684
176,120682
177,120679
178,120679
179,120677
180,120677
181,120677
182,120677
183,120676
184,120673
185,120671
186,120670
187,120668
188,120663
189,120661
190,120660
191,120658
192,120652
193,120648
194,120644
195,120641
196,120637
197,120633
198,120627
199,120621
200,120614
201,120611
202,120605
203,120599
204,120596
205,120593
206,120590
207,120582
208,120575
209,120568
210,120560
211,120551
212,120543
213,120533
214,120529
215,120523
216,120513
217,120501
218,120496
219,120482
220,120466
221,120456
222,120442
223,120428
224,120418
225,120407
226,120393
227,120380
228,120364
229,120341
230,120320
231,120292
232,120275
233,120259
234,120236
235,120215
236,120193
237,120162
238,120132
239,120108
240,120080
241,120043
242,120016
243,119996
244,119959
245,119928
246,119894
247,119858
248,119818
249,119790
250,119756
251,119715
252,119671
253,119632
254,119589
255,119546
256,119502
257,119455
258,119403
259,119360
260,119307
261,119256
262,119207
263,119152
264,119088
265,119020
266,118961
267,118900
268,118842
269,118779
270,118697
271,118630
272,118564
273,118486
274,118407
275,118333
276,118262
277,118190
278,118110
279,118028
280,117969
281,117874
282,117777
283,117685
284,117601
285,117490
286,117389
287,117278
288,117182
289,117074
290,116951
291,116850
292,116734
293,116630
294,116515
295,116393
296,116258
297,116126
298,115999
299,115871
300,115709
301,115561
302,115413
303,115264
304,115122
305,114944
306,114781
307,114601
308,114430
309,114251
310,114088
311,113905
312,113733
313,113554
314,113384
315,113182
316,112992
317,112779
318,112565
319,112362
320,112131
321,111921
322,111688
323,111475
324,111252
325,111013
326,110767
327,110500
328,110244
329,110004
330,109775
331,109505
332,109238
333,108977
334,108694
335,108398
336,108109
337,107834
338,107562
339,107255
340,106956
341,106630
342,106313
343,106003
344,105681
345,105364
346,105017
347,104663
348,104311
349,103951
350,103598
351,103224
352,102901
353,102510
354,102160
355,101823
356,101450
357,101059
358,100639
359,100251
360,99817
361,99444
362,99040
363,98627
364,98242
365,97805
366,97387
367,96973
368,96541
369,96102
370,95631
371,95164
372,94734
373,94256
374,93788
375,93298
376,92810
377,92361
378,91898
379,91426
380,90931
381,90463
382,89958
383,89481
384,88949
385,88450
386,87942
387,87412
388,86922
389,86430
390,85910
391,85417
392,84863
393,84382
394,83835
395,83289
396,82744
397,82210
398,81669
399,81090
400,80544
401,80025
402,79499
403,78952
404,78377
405,77785
406,77244
407,76688
408,76099
409,75531
410,74946
411,74384
412,73809
413,73271
414,72726
415,72176
416,71627
417,71049
418,70480
419,69925
420,69386
421,68815
422,68229
423,67637
424,67046
425,66451
426,65882
427,65345
428,64800
429,64206
430,63625
431,63079
432,62505
433,61960
434,61414
435,60868
436,60287
437,59737
438,59171
439,58635
440,58062
441,57526
442,56955
443,56413
444,55876
445,55307
446,54689
447,54160
448,53621
449,53075
450,52553
451,51995
452,51458
453,50921
454,50387
455,49857
456,49288
457,48777
458,48246
459,47742
460,47226
461,46710
462,46200
463,45654
464,45138
465,44624
466,44088
467,43570
468,43097
469,42562
470,42082
471,41587
472,41085
473,40605
474,40132
475,39656
476,39174
477,38697
478,38211
479,37741
480,37267
481,36787
482,36344
483,35900
484,35445
485,35007
486,34567
487,34136
488,33715
489,33293
490,32829
491,32386
492,31985
493,31574
494,31111
495,30723
496,30242
497,29833
498,29446
499,29036
500,28644
501,28267
502,27864
503,27426
504,27001
505,26616
506,26228
507,25856
508,25459
509,25071
510,24702
511,24342
512,23940
513,23566
514,23242
515,22853
516,22513
517,22153
518,21796
519,21428
520,21080
521,20750
522,20406
523,20042
524,19705
525,19364
526,19010
527,18718
528,18409
529,18086
530,17767
531,17450
532,17127
533,16799
534,16472
535,16198
536,15954
537,15650
538,15378
539,15054
540,14775
541,14491
542,14212
543,13909
544,13642
545,13354
546,13112
547,12881
548,12633
549,12400
550,12163
551,11915
552,11675
553,11411
554,11185
555,10965
556,10774
557,10559
558,10311
559,10086
560,9859
561,9623
562,9403
563,9216
564,9014
565,8796
566,8597
567,8392
568,8188
569,8013
570,7812
571,7626
572,7459
573,7274
574,7097
575,6911
576,6725
577,6552
578,6392
579,6206
580,6066
581,5914
582,5756
583,5620
584,5447
585,5292
586,5134
587,4998
588,4867
589,4731
590,4600
591,4474
592,4335
593,4218
594,4098
595,3970
596,3846
597,3723
598,3578
599,3477
600,3366
601,3266
602,3183
603,3066
604,2962
605,2866
606,2761
607,2654
608,2554
609,2456
610,2357
611,2280
612,2185
613,2093
614,2003
615,1925
616,1848
617,1764
618,1682
619,1616
620,1536
621,1478
622,1407
623,1340
624,1286
625,1219
626,1153
627,1096
628,1033
629,980
630,926
631,889
632,852
633,805
634,771
635,728
636,689
637,653
638,611
639,571
640,531
641,501
642,464
643,434
644,408
645,376
646,348
647,329
648,307
649,283
650,265
651,239
652,225
653,205
654,182
655,169
656,158
657,147
658,133
659,119
660,111
661,98
662,88
663,77
664,71
665,65
666,58
667,50
668,44
669,41
670,37
