score,rank
120,83297
121,83295
126,83294
132,83293
134,83291
135,83290
136,83289
141,83288
143,83287
145,83285
146,83283
147,83282
148,83278
150,83277
151,83275
152,83273
153,83270
154,83269
155,83266
156,83263
158,83262
160,83258
161,83257
163,83256
164,83255
165,83252
167,83250
169,83248
170,83246
171,83243
172,83241
173,83238
174,83236
176,83235
177,83233
178,83232
179,83228
180,83225
181,83223
182,83221
183,83220
184,83217
185,83214
186,83207
187,83205
188,83201
189,83198
190,83192
191,83191
192,83188
193,83184
194,83179
195,83176
196,83171
197,83162
198,83153
199,83149
200,83144
201,83140
202,83134
203,83129
204,83124
205,83114
206,83107
207,83100
208,83093
209,83086
210,83071
211,83060
212,83050
213,83035
214,83027
215,83021
216,83003
217,82988
218,82973
219,82957
220,82941
221,82930
222,82919
223,82904
224,82886
225,82872
226,82845
227,82830
228,82807
229,82790
230,82771
231,82740
232,82715
233,82698
234,82668
235,82637
236,82608
237,82583
238,82555
239,82536
240,82503
241,82479
242,82437
243,82409
244,82377
245,82353
246,82318
247,82289
248,82248
249,82203
250,82172
251,82140
252,82101
253,82058
254,82018
255,81968
256,81923
257,81878
258,81836
259,81782
260,81728
261,81676
262,81616
263,81561
264,81506
265,81458
266,81382
267,81331
268,81270
269,81203
270,81137
271,81063
272,80992
273,80916
274,80846
275,80752
276,80676
277,80606
278,80528
279,80461
280,80367
281,80292
282,80224
283,80134
284,80056
285,79969
286,79868
287,79777
288,79682
289,79586
290,79500
291,79405
292,79282
293,79197
294,79080
295,78950
296,78826
297,78720
298,78591
299,78472
300,78324
301,78199
302,78066
303,77954
304,77822
305,77710
306,77584
307,77446
308,77303
309,77163
310,76998
311,76821
312,76673
313,76510
314,76361
315,76184
316,76008
317,75856
318,75709
319,75504
320,75317
321,75131
322,74933
323,74763
324,74564
325,74394
326,74213
327,73997
328,73801
329,73617
330,73407
331,73198
332,72986
333,72786
334,72580
335,72364
336,72128
337,71899
338,71652
339,71429
340,71187
341,70961
342,70732
343,70485
344,70246
345,70008
346,69739
347,69491
348,69239
349,68957
350,68681
351,68447
352,68200
353,67931
354,67648
355,67396
356,67104
357,66826
358,66590
359,66284
360,65967
361,65679
362,65402
363,65103
364,64796
365,64505
366,64146
367,63828
368,63508
369,63196
370,62886
371,62568
372,62218
373,61917
374,61596
375,61270
376,60934
377,60613
378,60259
379,59962
380,59633
381,59286
382,58948
383,58585
384,58255
385,57872
386,57512
387,57179
388,56859
389,56534
390,56190
391,55845
392,55481
393,55115
394,54743
395,54421
396,54098
397,53739
398,53354
399,53004
400,52622
401,52265
402,51884
403,51502
404,51199
405,50818
406,50426
407,50033
408,49686
409,49287
410,48920
411,48555
412,48190
413,47818
414,47435
415,47041
416,46691
417,46339
418,45955
419,45554
420,45146
421,44744
422,44370
423,44002
424,43606
425,43216
426,42833
427,42478
428,42106
429,41736
430,41360
431,40987
432,40627
433,40247
434,39865
435,39463
436,39058
437,38648
438,38283
439,37867
440,37505
441,37121
442,36755
443,36410
444,36034
445,35631
446,35228
447,34876
448,34484
449,34128
450,33751
451,33328
452,32921
453,32539
454,32146
455,31738
456,31358
457,30955
458,30577
459,30177
460,29802
461,29381
462,28990
463,28638
464,28289
465,27907
466,27564
467,27161
468,26790
469,26444
470,26073
471,25699
472,25354
473,25012
474,24681
475,24345
476,24021
477,23690
478,23372
479,23045
480,22693
481,22351
482,22071
483,21764
484,21447
485,21110
486,20734
487,20426
488,20100
489,19777
490,19447
491,19148
492,18847
493,18546
494,18247
495,17949
496,17660
497,17390
498,17104
499,16803
500,16509
501,16235
502,15947
503,15657
504,15382
505,15112
506,14841
507,14580
508,14297
509,14074
510,13821
511,13587
512,13348
513,13101
514,12860
515,12632
516,12390
517,12162
518,11936
519,11714
520,11510
521,11292
522,11067
523,10886
524,10669
525,10441
526,10249
527,10030
528,9816
529,9621
530,9425
531,9253
532,9069
533,8874
534,8694
535,8514
536,8345
537,8175
538,8013
539,7864
540,7689
541,7517
542,7377
543,7228
544,7085
545,6939
546,6763
547,6635
548,6495
549,6365
550,6241
551,6086
552,5946
553,5828
554,5684
555,5547
556,5433
557,5321
558,5203
559,5074
560,4957
561,4826
562,4699
563,4585
564,4470
565,4366
566,4255
567,4148
568,4041
569,3923
570,3815
571,3699
572,3619
573,3535
574,3460
575,3359
576,3275
577,3189
578,3101
579,3022
580,2926
581,2846
582,2780
583,2712
584,2631
585,2550
586,2480
587,2407
588,2340
589,2269
590,2202
591,2133
592,2054
593,1986
594,1924
595,1860
596,1802
597,1747
598,1690
599,1628
600,1571
601,1524
602,1479
603,1427
604,1369
605,1324
606,1274
607,1235
608,1186
609,1146
610,1099
611,1060
612,1018
613,979
614,945
615,917
616,884
617,830
618,800
619,764
620,729
621,692
622,659
623,627
624,589
625,562
626,524
627,490
628,461
629,434
630,412
631,388
632,353
633,328
634,307
635,290
636,271
637,254
638,235
639,222
640,211
641,185
642,177
643,165
644,147
645,141
646,129
647,121
648,108
649,99
650,93
651,84
652,81
653,74
654,69
655,61
656,56
657,53
658,49
659,43
660,38
661,34
