score,rank
0,207171
1,206267
2,206267
3,206265
4,206258
5,206258
6,206254
7,206235
8,206235
9,206203
10,206141
11,206139
12,206055
13,205962
14,205950
15,205830
16,205766
17,205737
18,205648
19,205575
20,205535
21,205470
22,205420
23,205373
24,205335
25,205290
26,205262
27,205238
28,205211
29,205197
30,205171
31,205157
32,205141
33,205140
34,205136
35,205132
36,205131
37,205129
38,205128
39,205128
40,205127
41,205126
42,205126
43,205126
44,205126
45,205125
46,205124
47,205122
48,205121
49,205121
50,205119
51,205119
52,205118
53,205118
54,205117
55,205117
56,205116
57,205116
58,205116
59,205116
60,205115
61,205113
62,205113
63,205113
64,205113
65,205113
66,205111
67,205110
68,205110
69,205110
70,205110
71,205108
72,205107
73,205107
74,205107
75,205106
76,205106
77,205103
78,205102
79,205102
80,205101
81,205100
82,205098
83,205098
84,205098
85,205098
86,205097
87,205096
88,205095
89,205095
90,205095
91,205094
92,205091
93,205090
94,205088
95,205088
96,205088
97,205088
98,205087
99,205087
100,205087
101,205086
102,205086
103,205083
104,205079
105,205078
106,205077
107,205077
108,205075
109,205074
110,205072
111,205072
112,205072
113,205072
114,205072
115,205072
116,205071
117,205070
118,205070
119,205069
120,205069
121,205069
122,205068
123,205067
124,205067
125,205066
126,205065
127,205063
128,205063
129,205062
130,205062
131,205061
132,205060
133,205059
134,205059
135,205059
136,205057
137,205055
138,205054
139,205053
140,205053
141,205052
142,205051
143,205051
144,205050
145,205048
146,205047
147,205046
148,205044
149,205044
150,205044
151,205040
152,205039
153,205038
154,205036
155,205036
156,205032
157,205030
158,205030
159,205029
160,205029
161,205026
162,205026
163,205025
164,205022
165,205021
166,205018
167,205016
168,205014
169,205012
170,205008
171,205005
172,205002
173,205000
174,204997
175,204995
176,204991
177,204989
178,204987
179,204983
180,204980
181,204976
182,204973
183,204971
184,204969
185,204967
186,204965
187,204958
188,204957
189,204954
190,204952
191,204948
192,204944
193,204940
194,204938
195,204932
196,204926
197,204919
198,204917
199,204911
200,204907
201,204903
202,204899
203,204889
204,204881
205,204876
206,204866
207,204853
208,204842
209,204831
210,204822
211,204811
212,204802
213,204792
214,204781
215,204767
216,204750
217,204737
218,204716
219,204706
220,204692
221,204678
222,204662
223,204639
224,204617
225,204596
226,204577
227,204555
228,204527
229,204508
230,204487
231,204465
232,204440
233,204411
234,204382
235,204355
236,204325
237,204292
238,204258
239,204215
240,204178
241,204138
242,204100
243,204062
244,204022
245,203973
246,203925
247,203873
248,203817
249,203769
250,203710
251,203645
252,203589
253,203537
254,203478
255,203402
256,203337
257,203265
258,203200
259,203135
260,203057
261,202983
262,202913
263,202840
264,202758
265,202667
266,202583
267,202497
268,202405
269,202318
270,202226
271,202133
272,202025
273,201912
274,201781
275,201683
276,201572
277,201460
278,201352
279,201240
280,201122
281,200987
282,200863
283,200733
284,200601
285,200463
286,200329
287,200180
288,200017
289,199868
290,199716
291,199558
292,199393
293,199237
294,199050
295,198873
296,198688
297,198517
298,198325
299,198136
300,197969
301,197779
302,197579
303,197385
304,197181
305,196966
306,196752
307,196536
308,196319
309,196113
310,195876
311,195637
312,195388
313,195151
314,194888
315,194630
316,194334
317,194058
318,193796
319,193515
320,193235
321,192932
322,192620
323,192337
324,192028
325,191717
326,191425
327,191092
328,190740
329,190408
330,190061
331,189727
332,189339
333,188986
334,188583
335,188204
336,187838
337,187442
338,187022
339,186611
340,186188
341,185723
342,185311
343,184893
344,184476
345,184013
346,183577
347,183130
348,182658
349,182193
350,181687
351,181223
352,180749
353,180228
354,179747
355,179168
356,178641
357,178094
358,177565
359,177037
360,176482
361,175929
362,175296
363,174716
364,174148
365,173561
366,172925
367,172317
368,171710
369,171024
370,170321
371,169656
372,169007
373,168320
374,167630
375,166925
376,166247
377,165542
378,164826
379,164083
380,163337
381,162620
382,161911
383,161162
384,160406
385,159605
386,158824
387,158061
388,157271
389,156411
390,155581
391,154787
392,153938
393,153018
394,152146
395,151262
396,150430
397,149587
398,148697
399,147808
400,146944
401,145989
402,145095
403,144206
404,143314
405,142447
406,141512
407,140524
408,139622
409,138665
410,137745
411,136817
412,135861
413,134931
414,133921
415,132875
416,131849
417,130882
418,129874
419,128879
420,127874
421,126811
422,125806
423,124735
424,123707
425,122735
426,121711
427,120731
428,119730
429,118729
430,117716
431,116698
432,115643
433,114632
434,113637
435,112602
436,111574
437,110581
438,109560
439,108537
440,107535
441,106476
442,105437
443,104395
444,103365
445,102305
446,101253
447,100238
448,99212
449,98180
450,97163
451,96155
452,95131
453,94097
454,93104
455,92112
456,91123
457,90131
458,89152
459,88141
460,87165
461,86202
462,85209
463,84273
464,83297
465,82304
466,81373
467,80387
468,79424
469,78451
470,77497
471,76559
472,75675
473,74754
474,73890
475,72987
476,72013
477,71177
478,70253
479,69406
480,68583
481,67733
482,66878
483,65977
484,65076
485,64257
486,63397
487,62573
488,61754
489,60955
490,60182
491,59438
492,58652
493,57863
494,57118
495,56344
496,55555
497,54802
498,54074
499,53355
500,52633
501,51895
502,51240
503,50530
504,49838
505,49105
506,48359
507,47672
508,46948
509,46290
510,45647
511,45002
512,44326
513,43663
514,43026
515,42339
516,41658
517,41036
518,40434
519,39825
520,39239
521,38677
522,38086
