score,rank
150,52453
151,52450
152,52446
153,52442
154,52437
155,52436
156,52431
158,52428
159,52425
160,52422
161,52414
162,52411
163,52408
164,52404
165,52400
166,52397
167,52392
168,52387
169,52385
170,52379
171,52373
172,52366
174,52359
175,52353
176,52347
177,52343
178,52335
179,52325
180,52318
181,52313
182,52305
183,52296
184,52288
185,52279
186,52267
187,52259
188,52252
189,52247
190,52232
191,52223
192,52217
193,52208
194,52196
195,52182
196,52169
197,52159
198,52151
199,52143
200,52131
201,52114
202,52098
203,52085
204,52065
205,52049
206,52033
207,52022
208,52004
209,51990
210,51979
211,51955
212,51939
213,51914
214,51891
215,51861
216,51830
217,51808
218,51781
219,51753
220,51718
221,51696
222,51668
223,51637
224,51606
225,51574
226,51549
227,51513
228,51479
229,51450
230,51414
231,51392
232,51351
233,51316
234,51280
235,51247
236,51210
237,51185
238,51135
239,51098
240,51051
241,51008
242,50962
243,50921
244,50881
245,50849
246,50798
247,50759
248,50709
249,50657
250,50609
251,50551
252,50504
253,50454
254,50405
255,50348
256,50287
257,50234
258,50162
259,50118
260,50058
261,50000
262,49917
263,49861
264,49806
265,49743
266,49663
267,49584
268,49530
269,49465
270,49388
271,49322
272,49243
273,49172
274,49100
275,49025
276,48946
277,48875
278,48806
279,48730
280,48662
281,48587
282,48505
283,48430
284,48336
285,48245
286,48157
287,48054
288,47961
289,47878
290,47781
291,47684
292,47607
293,47506
294,47410
295,47318
296,47240
297,47134
298,47055
299,46941
300,46839
301,46728
302,46640
303,46542
304,46439
305,46324
306,46227
307,46133
308,46013
309,45887
310,45793
311,45687
312,45570
313,45448
314,45358
315,45236
316,45094
317,44984
318,44860
319,44732
320,44619
321,44490
322,44356
323,44241
324,44124
325,44005
326,43844
327,43705
328,43562
329,43449
330,43312
331,43179
332,43060
333,42929
334,42778
335,42657
336,42504
337,42392
338,42244
339,42118
340,41987
341,41869
342,41737
343,41584
344,41438
345,41299
346,41137
347,40985
348,40843
349,40699
350,40531
351,40397
352,40235
353,40068
354,39898
355,39729
356,39587
357,39439
358,39293
359,39136
360,38971
361,38813
362,38614
363,38471
364,38293
365,38131
366,37978
367,37816
368,37647
369,37480
370,37309
371,37122
372,36936
373,36768
374,36602
375,36461
376,36278
377,36105
378,35946
379,35778
380,35614
381,35441
382,35248
383,35088
384,34905
385,34730
386,34539
387,34359
388,34200
389,34012
390,33823
391,33669
392,33479
393,33272
394,33102
395,32922
396,32740
397,32572
398,32402
399,32222
400,32053
401,31852
402,31668
403,31515
404,31313
405,31145
406,30956
407,30769
408,30579
409,30394
410,30231
411,30031
412,29856
413,29666
414,29488
415,29298
416,29122
417,28940
418,28765
419,28573
420,28370
421,28203
422,28021
423,27842
424,27666
425,27466
426,27285
427,27119
428,26951
429,26772
430,26566
431,26390
432,26215
433,26049
434,25856
435,25680
436,25484
437,25294
438,25097
439,24916
440,24741
441,24579
442,24410
443,24215
444,24023
445,23817
446,23634
447,23441
448,23247
449,23063
450,22887
451,22717
452,22546
453,22379
454,22200
455,22026
456,21852
457,21662
458,21477
459,21295
460,21113
461,20951
462,20768
463,20565
464,20399
465,20244
466,20061
467,19886
468,19701
469,19533
470,19359
471,19181
472,18995
473,18824
474,18657
475,18494
476,18317
477,18166
478,18009
479,17852
480,17702
481,17551
482,17386
483,17206
484,17002
485,16828
486,16652
487,16473
488,16294
489,16135
490,15957
491,15781
492,15605
493,15427
494,15259
495,15088
496,14918
497,14747
498,14612
499,14449
500,14278
501,14112
502,13962
503,13768
504,13609
505,13450
506,13264
507,13101
508,12944
509,12802
510,12623
511,12474
512,12306
513,12152
514,11969
515,11815
516,11691
517,11537
518,11397
519,11255
520,11096
521,10943
522,10816
523,10677
524,10548
525,10389
526,10233
527,10124
528,9974
529,9851
530,9714
531,9557
532,9419
533,9269
534,9121
535,8992
536,8856
537,8739
538,8626
539,8506
540,8383
541,8244
542,8124
543,7985
544,7867
545,7767
546,7632
547,7488
548,7360
549,7238
550,7108
551,6991
552,6865
553,6752
554,6604
555,6477
556,6351
557,6250
558,6133
559,6005
560,5894
561,5789
562,5670
563,5561
564,5459
565,5361
566,5230
567,5126
568,4996
569,4890
570,4792
571,4690
572,4579
573,4489
574,4388
575,4282
576,4179
577,4078
578,3985
579,3891
580,3802
581,3712
582,3619
583,3527
584,3446
585,3374
586,3292
587,3212
588,3126
589,3032
590,2963
591,2882
592,2807
593,2734
594,2660
595,2583
596,2515
597,2428
598,2353
599,2277
600,2200
601,2131
602,2073
603,2007
604,1939
605,1877
606,1814
607,1757
608,1701
609,1615
610,1558
611,1502
612,1445
613,1386
614,1337
615,1277
616,1235
617,1183
618,1137
619,1088
620,1042
621,1000
622,955
623,906
624,865
625,817
626,774
627,728
628,685
629,651
630,616
631,585
632,548
633,511
634,483
635,451
636,424
637,398
638,374
639,352
640,326
641,303
642,282
643,263
644,240
645,220
646,199
647,182
648,172
649,156
650,141
651,126
652,113
653,101
654,89
655,80
656,73
657,65
658,58
659,53
660,44
661,42
662,37
663,28
664,27
665,22
666,18
667,16
668,14
672,12
