score,rank
150,141691
152,141684
153,141682
154,141677
155,141670
156,141665
157,141660
158,141653
159,141650
160,141644
161,141640
162,141631
163,141623
164,141616
165,141612
166,141598
167,141590
168,141584
169,141574
170,141561
171,141556
172,141548
173,141537
174,141528
175,141518
176,141502
177,141489
178,141475
179,141462
180,141452
181,141433
182,141420
183,141408
184,141386
185,141368
186,141351
187,141334
188,141314
189,141293
190,141281
191,141253
192,141224
193,141208
194,141189
195,141164
196,141138
197,141116
198,141092
199,141063
200,141033
201,140993
202,140967
203,140932
204,140896
205,140869
206,140832
207,140799
208,140754
209,140712
210,140675
211,140625
212,140586
213,140545
214,140490
215,140432
216,140378
217,140335
218,140285
219,140222
220,140175
221,140112
222,140041
223,139976
224,139916
225,139849
226,139787
227,139720
228,139647
229,139575
230,139514
231,139457
232,139382
233,139303
234,139217
235,139147
236,139046
237,138963
238,138883
239,138806
240,138715
241,138632
242,138526
243,138433
244,138344
245,138251
246,138166
247,138081
248,137957
249,137866
250,137744
251,137631
252,137508
253,137412
254,137309
255,137183
256,137071
257,136959
258,136837
259,136719
260,136585
261,136453
262,136323
263,136204
264,136092
265,135942
266,135813
267,135662
268,135514
269,135351
270,135197
271,135049
272,134916
273,134792
274,134652
275,134506
276,134352
277,134198
278,134055
279,133908
280,133735
281,133532
282,133368
283,133201
284,133025
285,132864
286,132700
287,132540
288,132352
289,132168
290,131998
291,131813
292,131640
293,131466
294,131282
295,131070
296,130875
297,130692
298,130502
299,130314
300,130131
301,129928
302,129735
303,129524
304,129286
305,129074
306,128873
307,128642
308,128409
309,128204
310,127980
311,127784
312,127550
313,127321
314,127108
315,126899
316,126673
317,126428
318,126204
319,125966
320,125714
321,125481
322,125252
323,124996
324,124750
325,124486
326,124239
327,123950
328,123682
329,123379
330,123121
331,122836
332,122564
333,122276
334,121991
335,121693
336,121404
337,121087
338,120811
339,120529
340,120229
341,119964
342,119670
343,119379
344,119069
345,118765
346,118463
347,118160
348,117846
349,117528
350,117202
351,116895
352,116551
353,116249
354,115936
355,115632
356,115286
357,114961
358,114625
359,114290
360,113948
361,113650
362,113296
363,112956
364,112620
365,112282
366,111911
367,111545
368,111174
369,110811
370,110443
371,110101
372,109702
373,109310
374,108903
375,108481
376,108101
377,107698
378,107353
379,106965
380,106622
381,106228
382,105827
383,105452
384,105060
385,104648
386,104267
387,103849
388,103440
389,103064
390,102679
391,102277
392,101897
393,101519
394,101118
395,100712
396,100321
397,99865
398,99449
399,99057
400,98648
401,98199
402,97788
403,97367
404,96953
405,96504
406,96084
407,95648
408,95268
409,94854
410,94463
411,94018
412,93610
413,93170
414,92714
415,92292
416,91862
417,91440
418,90962
419,90530
420,90084
421,89629
422,89185
423,88791
424,88342
425,87899
426,87440
427,87013
428,86575
429,86112
430,85680
431,85226
432,84797
433,84359
434,83913
435,83472
436,83014
437,82572
438,82114
439,81652
440,81207
441,80765
442,80305
443,79831
444,79421
445,78967
446,78525
447,78059
448,77577
449,77081
450,76652
451,76170
452,75690
453,75214
454,74766
455,74327
456,73852
457,73393
458,72928
459,72461
460,71992
461,71554
462,71085
463,70644
464,70185
465,69714
466,69222
467,68750
468,68320
469,67830
470,67369
471,66916
472,66426
473,65960
474,65491
475,65012
476,64551
477,64093
478,63615
479,63156
480,62667
481,62204
482,61723
483,61285
484,60797
485,60315
486,59871
487,59419
488,58924
489,58459
490,57993
491,57539
492,57077
493,56659
494,56226
495,55772
496,55307
497,54846
498,54403
499,53926
500,53434
501,52987
502,52553
503,52086
504,51637
505,51208
506,50761
507,50289
508,49824
509,49373
510,48916
511,48480
512,48048
513,47618
514,47157
515,46698
516,46267
517,45794
518,45336
519,44924
520,44487
521,44033
522,43574
523,43147
524,42692
525,42238
526,41840
527,41379
528,40967
529,40561
530,40119
531,39691
532,39250
533,38814
534,38377
535,37976
536,37541
537,37124
538,36728
539,36294
540,35848
541,35456
542,35034
543,34614
544,34211
545,33791
546,33341
547,32913
548,32487
549,32101
550,31674
551,31268
552,30896
553,30473
554,30033
555,29685
556,29264
557,28884
558,28486
559,28129
560,27783
561,27422
562,27032
563,26682
564,26311
565,25945
566,25586
567,25221
568,24860
569,24475
570,24127
571,23787
572,23441
573,23076
574,22712
575,22366
576,22050
577,21680
578,21369
579,21051
580,20696
581,20312
582,19951
583,19611
584,19272
585,18922
586,18580
587,18245
588,17917
589,17617
590,17301
591,16997
592,16648
593,16342
594,16001
595,15711
596,15441
597,15095
598,14810
599,14512
600,14235
601,13928
602,13624
603,13337
604,13066
605,12790
606,12512
607,12218
608,11943
609,11677
610,11433
611,11178
612,10911
613,10657
614,10385
615,10145
616,9868
617,9612
618,9339
619,9085
620,8813
621,8571
622,8324
623,8049
624,7843
625,7602
626,7367
627,7126
628,6903
629,6673
630,6460
631,6245
632,6028
633,5843
634,5615
635,5436
636,5239
637,5026
638,4847
639,4666
640,4435
641,4265
642,4087
643,3919
644,3749
645,3581
646,3432
647,3291
648,3148
649,3011
650,2867
651,2712
652,2589
653,2451
654,2346
655,2223
656,2106
657,2005
658,1892
659,1789
660,1692
661,1592
662,1487
663,1389
664,1309
665,1226
666,1159
667,1078
668,999
669,918
670,861
671,799
672,745
673,687
674,635
675,591
676,542
677,510
678,475
679,438
680,404
681,366
682,344
683,307
684,277
685,246
686,220
687,197
688,183
689,164
690,143
691,127
692,111
693,87
694,76
695,70
696,62
697,53
698,49
699,45
700,41
701,39
702,37
703,30
704,26
705,20
706,16
707,14
708,10
