score,rank
180,69810
181,69807
182,69803
183,69795
184,69790
185,69786
186,69779
187,69777
188,69768
189,69760
190,69756
191,69748
192,69740
193,69732
194,69724
195,69717
196,69713
197,69703
198,69697
199,69683
200,69674
201,69670
202,69661
203,69649
204,69637
205,69628
206,69622
207,69612
208,69593
209,69586
210,69574
211,69562
212,69551
213,69533
214,69519
215,69501
216,69485
217,69470
218,69449
219,69434
220,69416
221,69390
222,69370
223,69353
224,69326
225,69312
226,69291
227,69262
228,69226
229,69199
230,69179
231,69150
232,69124
233,69089
234,69059
235,69026
236,68999
237,68972
238,68938
239,68909
240,68878
241,68843
242,68792
243,68764
244,68732
245,68697
246,68658
247,68614
248,68553
249,68503
250,68449
251,68398
252,68346
253,68307
254,68241
255,68189
256,68130
257,68062
258,68008
259,67957
260,67903
261,67847
262,67776
263,67709
264,67641
265,67587
266,67504
267,67446
268,67363
269,67277
270,67211
271,67140
272,67048
273,66963
274,66883
275,66799
276,66710
277,66635
278,66549
279,66468
280,66389
281,66302
282,66208
283,66115
284,66016
285,65903
286,65794
287,65675
288,65553
289,65435
290,65305
291,65204
292,65092
293,64959
294,64854
295,64739
296,64615
297,64503
298,64384
299,64260
300,64125
301,64000
302,63869
303,63744
304,63609
305,63473
306,63329
307,63189
308,63062
309,62899
310,62752
311,62592
312,62426
313,62271
314,62128
315,61963
316,61774
317,61611
318,61427
319,61269
320,61088
321,60904
322,60722
323,60546
324,60378
325,60187
326,60004
327,59837
328,59662
329,59469
330,59280
331,59105
332,58914
333,58722
334,58496
335,58317
336,58109
337,57914
338,57716
339,57518
340,57321
341,57153
342,56953
343,56758
344,56532
345,56354
346,56138
347,55905
348,55651
349,55440
350,55220
351,54986
352,54787
353,54571
354,54331
355,54120
356,53905
357,53697
358,53471
359,53276
360,53040
361,52805
362,52551
363,52306
364,52060
365,51833
366,51604
367,51343
368,51101
369,50885
370,50655
371,50394
372,50177
373,49901
374,49660
375,49437
376,49170
377,48916
378,48643
379,48385
380,48129
381,47887
382,47653
383,47396
384,47152
385,46904
386,46654
387,46397
388,46163
389,45897
390,45644
391,45383
392,45127
393,44857
394,44568
395,44315
396,44040
397,43750
398,43474
399,43197
400,42927
401,42668
402,42386
403,42117
404,41835
405,41575
406,41299
407,41057
408,40795
409,40561
410,40292
411,40034
412,39758
413,39487
414,39227
415,38962
416,38689
417,38412
418,38141
419,37913
420,37622
421,37362
422,37102
423,36841
424,36536
425,36278
426,36023
427,35765
428,35473
429,35215
430,34940
431,34714
432,34445
433,34176
434,33917
435,33641
436,33373
437,33107
438,32856
439,32561
440,32272
441,32009
442,31754
443,31462
444,31183
445,30915
446,30671
447,30413
448,30155
449,29876
450,29612
451,29366
452,29119
453,28875
454,28588
455,28336
456,28072
457,27816
458,27521
459,27257
460,27022
461,26764
462,26534
463,26293
464,26047
465,25796
466,25512
467,25266
468,25025
469,24796
470,24534
471,24309
472,24078
473,23818
474,23569
475,23317
476,23068
477,22825
478,22572
479,22345
480,22109
481,21850
482,21618
483,21381
484,21127
485,20897
486,20674
487,20438
488,20195
489,19970
490,19733
491,19507
492,19273
493,19066
494,18837
495,18605
496,18383
497,18137
498,17893
499,17671
500,17442
501,17218
502,16988
503,16751
504,16528
505,16314
506,16084
507,15871
508,15638
509,15417
510,15208
511,14999
512,14802
513,14603
514,14412
515,14201
516,13996
517,13785
518,13564
519,13356
520,13155
521,12957
522,12745
523,12545
524,12333
525,12111
526,11910
527,11719
528,11528
529,11356
530,11184
531,10984
532,10805
533,10582
534,10382
535,10190
536,10011
537,9830
538,9659
539,9480
540,9311
541,9150
542,8974
543,8806
544,8651
545,8478
546,8309
547,8139
548,7990
549,7846
550,7686
551,7531
552,7385
553,7240
554,7100
555,6939
556,6780
557,6640
558,6488
559,6350
560,6201
561,6073
562,5938
563,5807
564,5661
565,5541
566,5419
567,5289
568,5176
569,5055
570,4939
571,4822
572,4725
573,4631
574,4513
575,4412
576,4279
577,4155
578,4056
579,3956
580,3876
581,3793
582,3699
583,3609
584,3508
585,3418
586,3322
587,3236
588,3159
589,3074
590,2997
591,2918
592,2831
593,2738
594,2633
595,2560
596,2468
597,2378
598,2284
599,2213
600,2120
601,2054
602,1990
603,1922
604,1854
605,1789
606,1733
607,1675
608,1615
609,1563
610,1502
611,1433
612,1375
613,1326
614,1271
615,1227
616,1186
617,1141
618,1091
619,1047
620,990
621,948
622,913
623,865
624,831
625,795
626,763
627,725
628,700
629,659
630,621
631,585
632,560
633,539
634,515
635,485
636,462
637,445
638,426
639,399
640,379
641,355
642,331
643,310
644,293
645,273
646,254
647,235
648,220
649,206
650,189
651,177
652,168
653,158
654,147
655,140
656,132
657,122
658,108
659,97
660,89
661,78
662,68
663,60
