score,rank
180,135621
181,135619
182,135615
183,135610
184,135608
185,135602
186,135598
187,135594
189,135592
190,135591
191,135584
192,135573
193,135569
194,135563
195,135551
196,135549
197,135547
198,135542
199,135531
200,135516
201,135508
202,135497
203,135491
204,135483
205,135471
206,135456
207,135448
208,135437
209,135427
210,135412
211,135396
212,135385
213,135374
214,135364
215,135353
216,135340
217,135322
218,135304
219,135290
220,135268
221,135241
222,135226
223,135209
224,135188
225,135163
226,135141
227,135113
228,135073
229,135052
230,135030
231,135004
232,134981
233,134955
234,134922
235,134891
236,134855
237,134816
238,134780
239,134741
240,134707
241,134672
242,134626
243,134578
244,134540
245,134507
246,134471
247,134427
248,134376
249,134325
250,134285
251,134244
252,134188
253,134128
254,134073
255,134016
256,133967
257,133903
258,133834
259,133786
260,133735
261,133681
262,133632
263,133575
264,133512
265,133459
266,133399
267,133323
268,133277
269,133218
270,133143
271,133069
272,133005
273,132927
274,132857
275,132775
276,132706
277,132641
278,132570
279,132492
280,132400
281,132319
282,132232
283,132147
284,132068
285,131979
286,131896
287,131801
288,131724
289,131656
290,131557
291,131433
292,131337
293,131237
294,131122
295,131024
296,130914
297,130815
298,130718
299,130621
300,130516
301,130419
302,130296
303,130182
304,130069
305,129947
306,129840
307,129708
308,129598
309,129479
310,129359
311,129230
312,129113
313,128958
314,128832
315,128699
316,128567
317,128433
318,128289
319,128168
320,128030
321,127890
322,127727
323,127597
324,127450
325,127302
326,127162
327,127026
328,126866
329,126678
330,126517
331,126348
332,126170
333,125988
334,125807
335,125620
336,125443
337,125280
338,125104
339,124901
340,124687
341,124511
342,124317
343,124124
344,123927
345,123738
346,123539
347,123311
348,123096
349,122881
350,122691
351,122482
352,122245
353,122026
354,121826
355,121584
356,121370
357,121135
358,120889
359,120671
360,120434
361,120201
362,119953
363,119692
364,119434
365,119178
366,118922
367,118666
368,118446
369,118201
370,117964
371,117721
372,117458
373,117172
374,116915
375,116633
376,116351
377,116083
378,115810
379,115536
380,115242
381,114920
382,114638
383,114345
384,114045
385,113740
386,113432
387,113150
388,112857
389,112562
390,112264
391,111946
392,111605
393,111308
394,110992
395,110677
396,110355
397,110077
398,109743
399,109408
400,109068
401,108704
402,108368
403,108042
404,107679
405,107344
406,107000
407,106653
408,106315
409,105975
410,105630
411,105273
412,104904
413,104527
414,104130
415,103737
416,103362
417,102953
418,102553
419,102187
420,101811
421,101418
422,101064
423,100693
424,100308
425,99906
426,99500
427,99076
428,98645
429,98275
430,97870
431,97457
432,97011
433,96610
434,96178
435,95725
436,95292
437,94820
438,94438
439,94005
440,93583
441,93109
442,92649
443,92193
444,91743
445,91297
446,90838
447,90348
448,89887
449,89373
450,88930
451,88448
452,87972
453,87526
454,87065
455,86583
456,86129
457,85682
458,85224
459,84770
460,84342
461,83880
462,83397
463,82897
464,82410
465,81957
466,81484
467,80978
468,80480
469,79992
470,79472
471,79021
472,78496
473,77989
474,77435
475,76965
476,76457
477,75919
478,75386
479,74840
480,74294
481,73728
482,73201
483,72707
484,72154
485,71584
486,71058
487,70546
488,70035
489,69462
490,68916
491,68354
492,67817
493,67246
494,66672
495,66072
496,65519
497,64996
498,64421
499,63841
500,63249
501,62654
502,62090
503,61549
504,61001
505,60417
506,59841
507,59266
508,58711
509,58158
510,57602
511,57029
512,56491
513,55893
514,55286
515,54714
516,54108
517,53508
518,52890
519,52311
520,51732
521,51159
522,50596
523,49999
524,49391
525,48807
526,48267
527,47757
528,47196
529,46628
530,46055
531,45491
532,44900
533,44357
534,43785
535,43198
536,42650
537,42098
538,41498
539,40952
540,40375
541,39851
542,39343
543,38758
544,38229
545,37665
546,37144
547,36618
548,36109
549,35565
550,35015
551,34485
552,33934
553,33414
554,32890
555,32418
556,31929
557,31402
558,30908
559,30395
560,29894
561,29415
562,28913
563,28442
564,27928
565,27445
566,26954
567,26475
568,25998
569,25503
570,25044
571,24603
572,24100
573,23670
574,23180
575,22737
576,22307
577,21847
578,21419
579,20985
580,20545
581,20161
582,19770
583,19372
584,18981
585,18595
586,18162
587,17758
588,17339
589,16943
590,16595
591,16200
592,15777
593,15400
594,15005
595,14661
596,14306
597,13954
598,13609
599,13237
600,12895
601,12573
602,12260
603,11931
604,11591
605,11271
606,10944
607,10611
608,10337
609,10041
610,9744
611,9477
612,9166
613,8895
614,8626
615,8331
616,8064
617,7797
618,7535
619,7266
620,7023
621,6763
622,6536
623,6308
624,6109
625,5879
626,5671
627,5458
628,5255
629,5046
630,4839
631,4662
632,4455
633,4284
634,4122
635,3955
636,3795
637,3643
638,3492
639,3340
640,3203
641,3061
642,2907
643,2786
644,2646
645,2507
646,2374
647,2251
648,2127
649,2020
650,1912
651,1801
652,1692
653,1595
654,1494
655,1410
656,1320
657,1234
658,1156
659,1090
660,1011
661,951
662,909
663,859
664,801
665,746
666,696
667,644
668,595
669,555
670,518
671,472
672,449
673,411
674,372
675,344
676,318
677,295
678,268
679,250
680,228
681,210
682,194
683,179
684,157
