score,rank
103,70139
104,70136
105,70135
109,70134
111,70133
115,70132
116,70131
117,70130
118,70129
120,70127
123,70126
124,70124
125,70123
128,70120
131,70118
132,70117
133,70114
134,70113
135,70112
136,70111
137,70109
139,70108
141,70107
142,70104
143,70103
145,70102
146,70099
147,70098
148,70095
149,70094
150,70093
151,70091
152,70090
153,70089
154,70086
155,70084
156,70083
157,70081
158,70080
159,70079
160,70077
161,70076
162,70073
164,70069
165,70067
166,70064
167,70062
168,70060
169,70055
170,70052
171,70045
172,70042
173,70040
174,70037
175,70036
177,70034
178,70032
179,70028
180,70024
181,70018
182,70012
183,70007
184,70004
185,69993
186,69988
187,69984
188,69979
189,69975
190,69968
191,69959
192,69954
193,69948
194,69942
195,69938
196,69926
197,69920
198,69914
199,69910
200,69898
201,69889
202,69880
203,69868
204,69860
205,69850
206,69840
207,69832
208,69818
209,69813
210,69800
211,69788
212,69768
213,69753
214,69740
215,69726
216,69709
217,69687
218,69668
219,69657
220,69643
221,69626
222,69605
223,69594
224,69574
225,69552
226,69530
227,69508
228,69484
229,69457
230,69438
231,69409
232,69384
233,69352
234,69327
235,69306
236,69271
237,69240
238,69211
239,69170
240,69139
241,69112
242,69080
243,69045
244,69012
245,68975
246,68932
247,68883
248,68837
249,68781
250,68725
251,68671
252,68621
253,68557
254,68516
255,68448
256,68385
257,68321
258,68261
259,68199
260,68141
261,68075
262,68017
263,67949
264,67898
265,67824
266,67755
267,67683
268,67611
269,67546
270,67461
271,67375
272,67295
273,67225
274,67151
275,67072
276,66988
277,66887
278,66808
279,66715
280,66633
281,66532
282,66446
283,66336
284,66230
285,66126
286,66020
287,65926
288,65817
289,65717
290,65602
291,65503
292,65388
293,65270
294,65168
295,65058
296,64941
297,64826
298,64706
299,64594
300,64486
301,64369
302,64231
303,64089
304,63973
305,63842
306,63723
307,63607
308,63456
309,63314
310,63181
311,63040
312,62908
313,62757
314,62596
315,62436
316,62270
317,62118
318,61967
319,61795
320,61643
321,61479
322,61296
323,61145
324,60976
325,60808
326,60621
327,60434
328,60260
329,60074
330,59898
331,59718
332,59524
333,59333
334,59159
335,58980
336,58778
337,58582
338,58370
339,58169
340,57959
341,57738
342,57511
343,57314
344,57100
345,56873
346,56637
347,56380
348,56145
349,55913
350,55672
351,55424
352,55178
353,54931
354,54680
355,54437
356,54228
357,54013
358,53774
359,53558
360,53307
361,53076
362,52840
363,52585
364,52321
365,52045
366,51817
367,51573
368,51329
369,51049
370,50786
371,50545
372,50312
373,50033
374,49745
375,49491
376,49221
377,48971
378,48702
379,48428
380,48136
381,47851
382,47572
383,47297
384,46978
385,46708
386,46382
387,46100
388,45813
389,45506
390,45221
391,44925
392,44641
393,44339
394,43994
395,43730
396,43419
397,43133
398,42830
399,42533
400,42250
401,41940
402,41658
403,41378
404,41046
405,40756
406,40432
407,40129
408,39833
409,39544
410,39245
411,38939
412,38614
413,38328
414,38009
415,37710
416,37400
417,37074
418,36738
419,36442
420,36160
421,35825
422,35521
423,35228
424,34923
425,34613
426,34294
427,34025
428,33713
429,33401
430,33106
431,32813
432,32532
433,32238
434,31923
435,31613
436,31309
437,31020
438,30738
439,30461
440,30172
441,29916
442,29620
443,29340
444,29053
445,28765
446,28470
447,28171
448,27876
449,27546
450,27256
451,26980
452,26705
453,26415
454,26115
455,25827
456,25549
457,25269
458,24987
459,24714
460,24451
461,24207
462,23949
463,23704
464,23423
465,23174
466,22916
467,22644
468,22393
469,22129
470,21887
471,21615
472,21341
473,21095
474,20824
475,20523
476,20282
477,20038
478,19784
479,19536
480,19304
481,19065
482,18766
483,18524
484,18264
485,18030
486,17779
487,17550
488,17293
489,17032
490,16787
491,16550
492,16334
493,16100
494,15868
495,15642
496,15413
497,15211
498,14971
499,14747
500,14543
501,14342
502,14131
503,13909
504,13702
505,13510
506,13333
507,13150
508,12926
509,12732
510,12534
511,12326
512,12119
513,11917
514,11744
515,11566
516,11378
517,11204
518,11011
519,10838
520,10679
521,10487
522,10326
523,10156
524,9963
525,9799
526,9635
527,9455
528,9313
529,9134
530,8950
531,8790
532,8623
533,8489
534,8347
535,8171
536,8023
537,7872
538,7725
539,7564
540,7398
541,7256
542,7128
543,6979
544,6831
545,6678
546,6552
547,6421
548,6273
549,6126
550,5999
551,5884
552,5768
553,5655
554,5518
555,5397
556,5302
557,5187
558,5076
559,4982
560,4861
561,4761
562,4669
563,4563
564,4454
565,4346
566,4237
567,4114
568,4012
569,3918
570,3812
571,3715
572,3621
573,3539
574,3439
575,3336
576,3251
577,3172
578,3088
579,3019
580,2944
581,2864
582,2800
583,2713
584,2644
585,2567
586,2492
587,2420
588,2348
589,2289
590,2230
591,2176
592,2119
593,2051
594,1993
595,1942
596,1891
597,1831
598,1778
599,1726
600,1667
601,1601
602,1556
603,1503
604,1447
605,1408
606,1375
607,1331
608,1281
609,1236
610,1197
611,1146
612,1087
613,1049
614,1014
615,973
616,934
617,899
618,865
619,833
620,807
621,772
622,744
623,707
624,680
625,654
626,621
627,595
628,565
629,535
630,511
631,489
632,462
633,439
634,421
635,400
636,388
637,370
638,347
639,323
640,302
641,287
642,275
643,259
644,243
645,227
646,220
647,210
648,196
649,181
650,167
651,158
652,144
653,133
654,123
655,116
656,109
657,97
658,87
659,79
660,72
661,68
662,62
663,53
664,50
665,47
666,42
667,36
668,33
669,28
670,22
671,19
672,15
673,14
674,13
675,10
676,9
677,8
