score,rank
0,172468
101,169196
102,169195
103,169194
104,169194
105,169194
106,169194
107,169191
108,169191
109,169190
110,169188
111,169184
112,169184
113,169182
114,169182
115,169182
116,169180
117,169180
118,169180
119,169179
120,169176
121,169175
122,169175
123,169175
124,169173
125,169172
126,169169
127,169168
128,169167
129,169167
130,169167
131,169162
132,169159
133,169159
134,169158
135,169158
136,169156
137,169155
138,169153
139,169151
140,169149
141,169147
142,169143
143,169141
144,169139
145,169136
146,169136
147,169133
148,169130
149,169127
150,169124
151,169123
152,169119
153,169113
154,169112
155,169109
156,169108
157,169103
158,169097
159,169094
160,169093
161,169090
162,169087
163,169085
164,169084
165,169079
166,169078
167,169073
168,169069
169,169065
170,169060
171,169058
172,169056
173,169052
174,169050
175,169049
176,169046
177,169039
178,169033
179,169026
180,169018
181,169013
182,169008
183,169006
184,168996
185,168990
186,168982
187,168976
188,168966
189,168954
190,168948
191,168939
192,168927
193,168921
194,168909
195,168898
196,168885
197,168876
198,168865
199,168857
200,168847
201,168840
202,168821
203,168800
204,168778
205,168762
206,168736
207,168712
208,168682
209,168665
210,168634
211,168607
212,168584
213,168564
214,168535
215,168508
216,168477
217,168445
218,168412
219,168377
220,168335
221,168295
222,168252
223,168203
224,168165
225,168129
226,168073
227,168027
228,167982
229,167939
230,167886
231,167837
232,167789
233,167732
234,167672
235,167595
236,167536
237,167479
238,167420
239,167349
240,167290
241,167218
242,167149
243,167077
244,167008
245,166933
246,166848
247,166775
248,166682
249,166596
250,166521
251,166452
252,166356
253,166279
254,166197
255,166107
256,166017
257,165907
258,165811
259,165744
260,165659
261,165543
262,165463
263,165352
264,165244
265,165132
266,165014
267,164897
268,164790
269,164680
270,164583
271,164473
272,164346
273,164224
274,164109
275,163978
276,163856
277,163727
278,163587
279,163464
280,163362
281,163253
282,163126
283,162995
284,162863
285,162721
286,162594
287,162469
288,162330
289,162162
290,162019
291,161859
292,161711
293,161555
294,161408
295,161273
296,161115
297,160934
298,160788
299,160624
300,160465
301,160308
302,160147
303,159960
304,159797
305,159634
306,159440
307,159269
308,159068
309,158867
310,158693
311,158488
312,158304
313,158140
314,157930
315,157736
316,157536
317,157300
318,157086
319,156877
320,156637
321,156411
322,156188
323,155969
324,155753
325,155527
326,155280
327,155038
328,154782
329,154551
330,154311
331,154059
332,153822
333,153549
334,153269
335,152976
336,152707
337,152428
338,152175
339,151885
340,151594
341,151310
342,150997
343,150698
344,150391
345,150081
346,149738
347,149429
348,149096
349,148747
350,148418
