score,rank
105,15072
138,15071
148,15070
149,15069
162,15068
168,15066
170,15065
171,15064
172,15063
173,15062
174,15060
175,15057
176,15056
177,15053
179,15051
180,15047
181,15045
183,15042
184,15038
185,15033
186,15031
187,15028
188,15025
189,15021
190,15019
191,15017
192,15014
193,15008
195,15003
196,14996
197,14993
198,14982
199,14977
200,14973
201,14972
202,14965
203,14961
204,14958
205,14952
206,14946
207,14942
208,14935
209,14926
210,14922
211,14917
212,14914
213,14904
214,14899
215,14891
216,14884
217,14876
218,14867
219,14856
220,14849
221,14845
222,14832
223,14819
224,14806
225,14798
226,14775
227,14771
228,14763
229,14754
230,14741
231,14726
232,14705
233,14691
234,14682
235,14667
236,14651
237,14638
238,14624
239,14608
240,14594
241,14570
242,14552
243,14535
244,14515
245,14495
246,14478
247,14459
248,14438
249,14417
250,14395
251,14369
252,14354
253,14328
254,14304
255,14279
256,14259
257,14234
258,14205
259,14173
260,14135
261,14106
262,14077
263,14043
264,14008
265,13970
266,13944
267,13910
268,13877
269,13824
270,13790
271,13759
272,13723
273,13688
274,13644
275,13602
276,13543
277,13497
278,13448
279,13400
280,13348
281,13299
282,13253
283,13204
284,13148
285,13102
286,13062
287,13005
288,12955
289,12889
290,12833
291,12779
292,12732
293,12658
294,12603
295,12528
296,12475
297,12422
298,12357
299,12294
300,12224
301,12144
302,12084
303,11996
304,11938
305,11862
306,11797
307,11708
308,11641
309,11564
310,11508
311,11428
312,11355
313,11275
314,11193
315,11099
316,11016
317,10939
318,10860
319,10780
320,10684
321,10597
322,10509
323,10438
324,10351
325,10270
326,10188
327,10125
328,10051
329,9969
330,9876
331,9785
332,9713
333,9644
334,9534
335,9446
336,9356
337,9274
338,9200
339,9126
340,9034
341,8942
342,8859
343,8781
344,8690
345,8627
346,8543
347,8469
348,8400
349,8331
350,8240
351,8153
352,8077
353,7979
354,7909
355,7827
356,7747
357,7653
358,7582
359,7497
360,7407
361,7330
362,7261
363,7200
364,7124
365,7045
366,6953
367,6869
368,6795
369,6731
370,6656
371,6569
372,6477
373,6411
374,6334
375,6264
376,6185
377,6114
378,6039
379,5979
380,5904
381,5838
382,5763
383,5698
384,5626
385,5549
386,5487
387,5417
388,5340
389,5275
390,5209
391,5134
392,5076
393,5023
394,4953
395,4889
396,4837
397,4765
398,4704
399,4640
400,4572
401,4521
402,4466
403,4401
404,4346
405,4278
406,4220
407,4171
408,4114
409,4049
410,4007
411,3957
412,3905
413,3844
414,3779
415,3727
416,3677
417,3626
418,3585
419,3538
420,3487
421,3431
422,3393
423,3334
424,3285
425,3231
426,3189
427,3139
428,3080
429,3032
430,2993
431,2952
432,2909
433,2862
434,2809
435,2779
436,2736
437,2693
438,2649
439,2598
440,2562
441,2527
442,2482
443,2446
444,2402
445,2350
446,2303
447,2265
448,2232
449,2198
450,2157
451,2130
452,2096
453,2070
454,2037
455,2000
456,1965
457,1937
458,1898
459,1871
460,1844
461,1808
462,1772
463,1749
464,1723
465,1705
466,1676
467,1649
468,1614
469,1595
470,1568
471,1532
472,1506
473,1486
474,1470
475,1448
476,1422
477,1386
478,1357
479,1336
480,1307
481,1292
482,1272
483,1251
484,1227
485,1201
486,1182
487,1158
488,1138
489,1115
490,1091
491,1068
492,1047
493,1027
494,1009
495,986
496,967
497,947
498,927
499,906
500,891
501,877
502,856
503,838
504,827
505,801
506,781
507,763
508,750
509,738
510,721
511,704
512,685
513,672
514,660
515,647
516,638
517,622
518,607
519,599
520,583
521,572
522,562
523,551
524,537
525,519
526,505
527,495
528,482
529,475
530,464
531,452
532,439
533,431
534,426
535,417
536,409
537,398
538,393
539,389
540,379
541,369
542,364
543,354
544,345
545,339
546,333
547,329
548,323
549,313
550,303
551,295
552,287
553,279
554,273
555,262
556,255
557,247
558,240
559,233
560,228
561,220
562,215
563,210
564,205
565,203
566,196
567,193
568,187
569,182
570,177
571,170
572,162
573,156
574,151
575,147
576,144
577,142
578,139
579,135
580,131
581,127
582,119
583,112
584,109
585,108
586,106
587,102
588,98
589,93
590,90
591,87
592,83
593,79
594,78
595,77
596,73
597,71
598,67
599,64
600,61
601,60
602,57
603,54
604,48
605,44
606,41
607,38
608,37
609,34
610,32
611,28
612,27
613,26
614,25
615,22
617,19
618,16
619,15
620,14
623,13
624,12
625,11
