score,rank
131,31462
155,31461
168,31460
174,31459
181,31458
183,31457
187,31456
191,31455
192,31454
195,31453
197,31451
200,31450
201,31448
202,31447
203,31444
204,31441
206,31439
207,31438
208,31437
209,31433
210,31430
211,31427
212,31422
213,31417
214,31414
215,31410
216,31407
217,31404
218,31400
219,31398
220,31394
221,31389
222,31383
223,31375
224,31368
225,31362
226,31358
227,31351
228,31346
229,31338
230,31323
231,31312
232,31304
233,31292
234,31273
235,31252
236,31249
237,31226
238,31212
239,31193
240,31173
241,31155
242,31134
243,31115
244,31088
245,31066
246,31045
247,31021
248,30984
249,30942
250,30905
251,30870
252,30829
253,30793
254,30745
255,30705
256,30666
257,30620
258,30569
259,30520
260,30463
261,30414
262,30356
263,30317
264,30260
265,30196
266,30123
267,30056
268,29994
269,29934
270,29877
271,29804
272,29722
273,29653
274,29569
275,29495
276,29424
277,29325
278,29250
279,29171
280,29091
281,29008
282,28930
283,28848
284,28727
285,28621
286,28518
287,28404
288,28287
289,28193
290,28065
291,27963
292,27839
293,27731
294,27614
295,27497
296,27368
297,27244
298,27113
299,26989
300,26861
301,26740
302,26625
303,26503
304,26383
305,26273
306,26147
307,26028
308,25907
309,25778
310,25646
311,25514
312,25381
313,25246
314,25089
315,24926
316,24803
317,24671
318,24516
319,24389
320,24269
321,24114
322,23974
323,23821
324,23682
325,23540
326,23398
327,23242
328,23080
329,22915
330,22769
331,22615
332,22472
333,22310
334,22166
335,22007
336,21867
337,21729
338,21577
339,21424
340,21297
341,21124
342,20969
343,20802
344,20662
345,20487
346,20368
347,20227
348,20071
349,19919
350,19763
351,19615
352,19449
353,19297
354,19142
355,18984
356,18840
357,18694
358,18546
359,18379
360,18207
361,18036
362,17884
363,17740
364,17604
365,17438
366,17283
367,17144
368,16993
369,16857
370,16709
371,16574
372,16417
373,16270
374,16109
375,15970
376,15843
377,15701
378,15568
379,15433
380,15306
381,15174
382,15025
383,14878
384,14745
385,14618
386,14488
387,14339
388,14175
389,14053
390,13933
391,13801
392,13677
393,13538
394,13421
395,13282
396,13171
397,13060
398,12907
399,12785
400,12648
401,12530
402,12408
403,12290
404,12176
405,12061
406,11932
407,11814
408,11722
409,11608
410,11491
411,11367
412,11253
413,11138
414,11022
415,10914
416,10791
417,10682
418,10567
419,10458
420,10336
421,10243
422,10129
423,10017
424,9883
425,9800
426,9679
427,9586
428,9489
429,9382
430,9266
431,9175
432,9069
433,8984
434,8879
435,8762
436,8657
437,8563
438,8462
439,8375
440,8283
441,8191
442,8100
443,7997
444,7901
445,7821
446,7719
447,7628
448,7548
449,7441
450,7346
451,7245
452,7166
453,7080
454,6974
455,6903
456,6825
457,6745
458,6654
459,6558
460,6468
461,6395
462,6313
463,6231
464,6147
465,6081
466,5986
467,5914
468,5841
469,5765
470,5698
471,5617
472,5535
473,5462
474,5390
475,5311
476,5246
477,5182
478,5122
479,5056
480,4983
481,4916
482,4850
483,4777
484,4703
485,4636
486,4568
487,4505
488,4429
489,4377
490,4298
491,4230
492,4159
493,4105
494,4052
495,3996
496,3927
497,3875
498,3831
499,3789
500,3720
501,3664
502,3612
503,3567
504,3508
505,3442
506,3392
507,3337
508,3289
509,3240
510,3194
511,3122
512,3087
513,3044
514,2989
515,2938
516,2879
517,2823
518,2787
519,2747
520,2698
521,2661
522,2618
523,2582
524,2548
525,2515
526,2472
527,2425
528,2374
529,2335
530,2297
531,2255
532,2214
533,2170
534,2136
535,2089
536,2062
537,2025
538,1990
539,1945
540,1910
541,1881
542,1852
543,1815
544,1777
545,1744
546,1707
547,1674
548,1640
549,1613
550,1581
551,1543
552,1507
553,1481
554,1459
555,1427
556,1401
557,1372
558,1349
559,1325
560,1305
561,1272
562,1241
563,1217
564,1198
565,1178
566,1138
567,1111
568,1090
569,1068
570,1044
571,1020
572,997
573,973
574,952
575,938
576,917
577,898
578,875
579,852
580,828
581,816
582,799
583,778
584,754
585,736
586,722
587,698
588,675
589,660
590,639
591,626
592,609
593,594
594,578
595,563
596,544
597,526
598,509
599,494
600,484
601,467
602,457
603,444
604,430
605,414
606,397
607,390
608,372
609,362
610,350
611,340
612,322
613,308
614,298
615,291
616,283
617,274
618,267
619,254
620,243
621,239
622,228
623,218
624,206
625,197
626,193
627,184
628,178
629,171
630,165
631,158
632,146
633,141
635,132
637,127
638,124
639,118
640,111
641,101
642,98
643,91
644,88
645,84
646,80
647,73
648,69
649,67
650,62
651,59
653,54
654,51
655,47
656,46
657,43
658,41
659,38
660,37
661,32
662,31
663,27
664,26
665,25
667,23
668,22
670,20
671,19
672,17
674,15
675,12
676,11
