score,rank
150,44608
151,44599
152,44589
153,44578
154,44573
155,44558
156,44550
157,44543
158,44533
159,44526
160,44516
161,44506
162,44495
163,44487
164,44469
165,44457
166,44445
167,44427
168,44418
169,44409
170,44388
171,44375
172,44359
173,44345
174,44333
175,44312
176,44294
177,44284
178,44265
179,44243
180,44227
181,44211
182,44193
183,44174
184,44148
185,44132
186,44113
187,44089
188,44062
189,44040
190,44012
191,43993
192,43964
193,43940
194,43915
195,43891
196,43849
197,43820
198,43790
199,43749
200,43711
201,43666
202,43635
203,43599
204,43559
205,43510
206,43475
207,43425
208,43383
209,43344
210,43294
211,43253
212,43205
213,43158
214,43098
215,43046
216,42985
217,42929
218,42880
219,42824
220,42767
221,42702
222,42637
223,42582
224,42523
225,42465
226,42395
227,42337
228,42254
229,42193
230,42107
231,42026
232,41942
233,41863
234,41789
235,41707
236,41633
237,41551
238,41478
239,41407
240,41340
241,41260
242,41175
243,41086
244,41005
245,40918
246,40824
247,40733
248,40643
249,40544
250,40472
251,40376
252,40276
253,40166
254,40092
255,39996
256,39898
257,39814
258,39690
259,39579
260,39479
261,39377
262,39284
263,39160
264,39016
265,38907
266,38796
267,38677
268,38556
269,38443
270,38317
271,38203
272,38088
273,37974
274,37850
275,37705
276,37586
277,37477
278,37349
279,37211
280,37081
281,36961
282,36821
283,36691
284,36560
285,36433
286,36318
287,36192
288,36045
289,35892
290,35753
291,35602
292,35494
293,35364
294,35214
295,35067
296,34938
297,34801
298,34677
299,34537
300,34402
301,34277
302,34134
303,33985
304,33840
305,33686
306,33551
307,33418
308,33262
309,33102
310,32950
311,32801
312,32664
313,32501
314,32354
315,32191
316,32028
317,31897
318,31770
319,31614
320,31459
321,31328
322,31175
323,31024
324,30880
325,30727
326,30567
327,30405
328,30253
329,30107
330,29971
331,29820
332,29642
333,29483
334,29350
335,29174
336,29009
337,28861
338,28712
339,28555
340,28398
341,28247
342,28090
343,27941
344,27763
345,27570
346,27420
347,27286
348,27138
349,27002
350,26851
351,26689
352,26543
353,26373
354,26228
355,26079
356,25920
357,25757
358,25620
359,25476
360,25329
361,25155
362,25003
363,24852
364,24675
365,24520
366,24346
367,24188
368,24031
369,23876
370,23717
371,23586
372,23420
373,23276
374,23120
375,22973
376,22811
377,22632
378,22464
379,22323
380,22183
381,22000
382,21883
383,21716
384,21570
385,21417
386,21245
387,21089
388,20925
389,20759
390,20597
391,20457
392,20310
393,20177
394,20034
395,19886
396,19733
397,19589
398,19436
399,19301
400,19150
401,19003
402,18848
403,18716
404,18591
405,18452
406,18296
407,18152
408,17998
409,17871
410,17728
411,17583
412,17463
413,17321
414,17194
415,17060
416,16926
417,16779
418,16639
419,16488
420,16361
421,16235
422,16083
423,15970
424,15830
425,15678
426,15522
427,15395
428,15249
429,15120
430,14972
431,14834
432,14718
433,14600
434,14487
435,14358
436,14235
437,14100
438,13968
439,13828
440,13706
441,13582
442,13462
443,13324
444,13197
445,13070
446,12947
447,12825
448,12708
449,12581
450,12442
451,12291
452,12178
453,12035
454,11917
455,11795
456,11688
457,11577
458,11452
459,11323
460,11194
461,11070
462,10951
463,10840
464,10747
465,10628
466,10509
467,10405
468,10289
469,10169
470,10056
471,9926
472,9803
473,9677
474,9572
475,9462
476,9364
477,9247
478,9131
479,9043
480,8924
481,8805
482,8685
483,8563
484,8481
485,8369
486,8248
487,8152
488,8049
489,7950
490,7852
491,7764
492,7663
493,7548
494,7453
495,7352
496,7251
497,7160
498,7067
499,6980
500,6886
501,6797
502,6702
503,6593
504,6485
505,6407
506,6330
507,6222
508,6130
509,6030
510,5953
511,5866
512,5770
513,5678
514,5606
515,5519
516,5433
517,5379
518,5303
519,5236
520,5154
521,5073
522,5015
523,4952
524,4849
525,4782
526,4706
527,4626
528,4544
529,4457
530,4380
531,4314
532,4246
533,4173
534,4091
535,4013
536,3957
537,3881
538,3813
539,3749
540,3676
541,3604
542,3528
543,3467
544,3409
545,3339
546,3278
547,3207
548,3143
549,3083
550,3027
551,2956
552,2908
553,2848
554,2790
555,2729
556,2671
557,2604
558,2561
559,2513
560,2460
561,2415
562,2353
563,2311
564,2259
565,2204
566,2165
567,2110
568,2059
569,2012
570,1974
571,1921
572,1869
573,1823
574,1777
575,1744
576,1706
577,1657
578,1617
579,1575
580,1538
581,1488
582,1442
583,1400
584,1361
585,1325
586,1298
587,1261
588,1224
589,1196
590,1171
591,1139
592,1111
593,1079
594,1038
595,1000
596,969
597,933
598,909
599,884
600,857
601,834
602,806
603,771
604,746
605,719
606,690
607,664
608,643
609,616
610,591
611,572
612,556
613,533
614,510
615,486
616,467
617,450
618,427
619,409
620,393
621,381
622,369
623,357
624,346
625,336
626,321
627,306
628,287
629,272
630,257
631,245
632,234
633,224
634,211
635,197
636,178
637,174
638,166
639,154
640,149
641,141
642,132
643,128
644,122
645,117
646,111
647,101
648,97
649,91
650,81
651,75
652,71
653,68
654,66
655,60
656,54
657,50
658,46
659,43
660,38
661,35
662,32
663,29
665,25
666,23
667,20
668,18
669,17
670,15
