score,rank
150,109811
151,109807
152,109795
153,109790
154,109785
155,109781
156,109769
157,109762
158,109757
159,109752
160,109745
161,109734
162,109726
163,109718
164,109710
165,109699
166,109693
167,109683
168,109670
169,109656
170,109644
171,109631
172,109620
173,109604
174,109589
175,109577
176,109558
177,109545
178,109525
179,109507
180,109494
181,109472
182,109449
183,109424
184,109399
185,109374
186,109351
187,109327
188,109299
189,109267
190,109247
191,109221
192,109183
193,109151
194,109124
195,109088
196,109055
197,109018
198,108969
199,108933
200,108885
201,108838
202,108778
203,108727
204,108673
205,108620
206,108562
207,108503
208,108443
209,108377
210,108304
211,108232
212,108157
213,108071
214,107990
215,107905
216,107812
217,107734
218,107642
219,107556
220,107454
221,107345
222,107229
223,107117
224,107013
225,106915
226,106801
227,106702
228,106597
229,106493
230,106393
231,106271
232,106130
233,106007
234,105884
235,105738
236,105612
237,105488
238,105342
239,105205
240,105059
241,104919
242,104794
243,104670
244,104537
245,104372
246,104238
247,104067
248,103924
249,103768
250,103597
251,103428
252,103265
253,103086
254,102915
255,102722
256,102546
257,102390
258,102214
259,102034
260,101876
261,101711
262,101505
263,101320
264,101133
265,100939
266,100763
267,100532
268,100365
269,100147
270,99941
271,99762
272,99557
273,99371
274,99186
275,98994
276,98776
277,98564
278,98363
279,98162
280,97956
281,97751
282,97518
283,97292
284,97038
285,96783
286,96586
287,96386
288,96134
289,95911
290,95640
291,95403
292,95170
293,94946
294,94714
295,94466
296,94226
297,93992
298,93763
299,93524
300,93251
301,93023
302,92765
303,92501
304,92252
305,91977
306,91718
307,91494
308,91252
309,90976
310,90716
311,90470
312,90211
313,89970
314,89690
315,89466
316,89212
317,88950
318,88676
319,88405
320,88132
321,87868
322,87596
323,87321
324,87040
325,86755
326,86453
327,86181
328,85898
329,85639
330,85361
331,85114
332,84798
333,84486
334,84172
335,83891
336,83612
337,83301
338,83023
339,82731
340,82444
341,82159
342,81831
343,81545
344,81220
345,80922
346,80638
347,80355
348,80048
349,79763
350,79465
351,79161
352,78820
353,78523
354,78180
355,77849
356,77520
357,77181
358,76850
359,76547
360,76208
361,75903
362,75573
363,75228
364,74873
365,74549
366,74247
367,73939
368,73608
369,73267
370,72962
371,72654
372,72337
373,72005
374,71663
375,71334
376,70974
377,70648
378,70285
379,69944
380,69631
381,69266
382,68925
383,68601
384,68229
385,67888
386,67532
387,67230
388,66876
389,66538
390,66195
391,65855
392,65467
393,65117
394,64787
395,64421
396,64058
397,63704
398,63365
399,63044
400,62685
401,62364
402,62000
403,61673
404,61302
405,60957
406,60618
407,60291
408,59918
409,59559
410,59188
411,58813
412,58426
413,58065
414,57724
415,57389
416,57033
417,56720
418,56345
419,56003
420,55669
421,55328
422,54930
423,54607
424,54266
425,53908
426,53560
427,53208
428,52870
429,52489
430,52152
431,51824
432,51475
433,51111
434,50749
435,50433
436,50072
437,49733
438,49370
439,49021
440,48693
441,48347
442,47994
443,47658
444,47353
445,47016
446,46690
447,46321
448,46008
449,45668
450,45353
451,45034
452,44704
453,44361
454,44023
455,43660
456,43342
457,43000
458,42670
459,42337
460,41966
461,41597
462,41250
463,40961
464,40652
465,40309
466,39955
467,39629
468,39278
469,38904
470,38582
471,38267
472,37961
473,37652
474,37358
475,37028
476,36688
477,36364
478,36070
479,35765
480,35460
481,35158
482,34841
483,34542
484,34238
485,33901
486,33563
487,33276
488,32980
489,32678
490,32380
491,32066
492,31755
493,31459
494,31153
495,30870
496,30569
497,30263
498,29942
499,29627
500,29332
501,29060
502,28741
503,28446
504,28155
505,27845
506,27550
507,27255
508,26952
509,26681
510,26373
511,26097
512,25810
513,25519
514,25235
515,24960
516,24690
517,24424
518,24137
519,23867
520,23588
521,23359
522,23104
523,22855
524,22590
525,22302
526,22016
527,21763
528,21494
529,21242
530,20989
531,20736
532,20479
533,20206
534,19949
535,19712
536,19436
537,19183
538,18946
539,18697
540,18425
541,18168
542,17907
543,17687
544,17459
545,17233
546,17001
547,16734
548,16483
549,16238
550,15996
551,15741
552,15537
553,15321
554,15091
555,14847
556,14618
557,14396
558,14150
559,13939
560,13746
561,13535
562,13329
563,13108
564,12912
565,12707
566,12510
567,12293
568,12110
569,11943
570,11759
571,11551
572,11344
573,11135
574,10953
575,10761
576,10570
577,10400
578,10238
579,10044
580,9849
581,9691
582,9503
583,9310
584,9141
585,8960
586,8803
587,8642
588,8481
589,8294
590,8127
591,7957
592,7811
593,7637
594,7468
595,7319
596,7194
597,7040
598,6878
599,6723
600,6580
601,6426
602,6261
603,6095
604,5948
605,5791
606,5649
607,5494
608,5359
609,5226
610,5092
611,4944
612,4805
613,4689
614,4550
615,4415
616,4286
617,4150
618,4047
619,3933
620,3805
621,3687
622,3562
623,3449
624,3336
625,3228
626,3115
627,3005
628,2899
629,2792
630,2690
631,2597
632,2487
633,2405
634,2304
635,2205
636,2114
637,2021
638,1937
639,1849
640,1761
641,1699
642,1627
643,1564
644,1490
645,1429
646,1360
647,1294
648,1240
649,1193
650,1143
651,1098
652,1044
653,992
654,950
655,889
656,856
657,811
658,754
659,720
660,681
661,634
662,595
663,561
664,535
665,505
666,467
667,439
668,419
669,396
670,359
671,335
672,307
673,291
674,276
675,255
676,236
677,220
678,206
679,192
680,179
681,161
682,142
683,130
684,122
685,114
686,104
687,99
688,91
689,85
690,80
691,64
692,58
693,56
694,47
695,42
696,40
697,37
698,30
699,24
700,17
